No.,Title,Link
1,"Publisher Correction to: 3D Printing in Medicine, volume 5",http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-019-0051-1
2,Comparative assessment of anatomical details of thoracic limb bones of a horse to that of models produced via scanning and 3D printing,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-019-0050-2
3,Customized tracheal design using 3D printing of a polymer hydrogel: influence of UV laser cross-linking on mechanical properties,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-019-0049-8
4,Advanced 3D printed model of middle cerebral artery aneurysms for neurosurgery simulation,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-019-0048-9
5,Novel design and development of a 3D-printed conformal superficial brachytherapy device for the treatment of non-melanoma skin cancer and keloids,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-019-0045-z
6,A digital workflow for modeling of custom dental implants,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-019-0046-y
7,MRI-driven design of customised 3D printed gynaecological brachytherapy applicators with curved needle channels,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-019-0047-x
8,Assessment of body-powered 3D printed partial finger prostheses: a case study,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-019-0044-0
9,Methods for verification of 3D printed anatomic model accuracy using cardiac models as an example,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-019-0043-1
10,Analysis of biomechanical behavior of 3D printed mandibular graft with porous scaffold structure designed by topological optimization,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-019-0042-2
11,Patient-specific 3D printed and augmented reality kidney and prostate cancer models: impact on patient education,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-019-0041-3
12,Dose calibration of Gafchromic EBT3 film for Ir-192 brachytherapy source using 3D-printed PLA and ABS plastics,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-019-0040-4
13,Low cost additive manufacturing of microneedle masters,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-019-0039-x
14,Utility of virtual monoenergetic images from spectral detector computed tomography in improving image segmentation for purposes of 3D printing and modeling,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-019-0038-y
15,Abstracts from the 3dMed Australia Conference 2018,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-018-0036-5
16,3D printing of surgical hernia meshes impregnated with contrast agents: in vitro proof of concept with imaging characteristics on computed tomography,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-018-0037-4
17,"Exploration of time sequential, patient specific 3D heart unlocks clinical understanding",http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-018-0034-7
18,Using 3D models in orthopedic oncology: presenting personalized advantages in surgical planning and intraoperative outcomes,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-018-0035-6
19,High-throughput scaffold-free microtissues through 3D printing,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-018-0029-4
20,Radiological Society of North America (RSNA) 3D printing Special Interest Group (SIG): guidelines for medical 3D printing and appropriateness for clinical scenarios,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-018-0030-y
21,3D printing for congenital heart disease: a single site’s initial three-yearexperience,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-018-0033-8
22,Material characterization and selection for 3D-printed spine models,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-018-0032-9
23,Efficacy of using a 3D printed lumbosacral spine phantom in improving trainee proficiency and confidence in CT-guided spine procedures,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-018-0031-x
24,Utilizing a low-cost desktop 3D printer to develop a “one-stop 3D printing lab” for oral and maxillofacial surgery and dentistry fields,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-018-0028-5
25,Rapid customization system for 3D-printed splint using programmable modeling technique – a practical approach,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-018-0027-6
26,Low-cost customized cranioplasty using a 3D digital printing model: a case report,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-018-0026-7
27,"Patient-specific neurosurgical phantom: assessment of visual quality, accuracy, and scaling effects",http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-018-0025-8
28,On the optimization of low-cost FDM 3D printers for accurate replication of patient-specific abdominal aortic aneurysm geometry,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-017-0023-2
29,Feasibility study applying a parametric model as the design generator for 3D–printed orthosis for fracture immobilization,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-017-0024-1
30,Preoperative planning and tracheal stent design in thoracic surgery: a primer for the 2017 Radiological Society of North America (RSNA) hands-on course in 3D printing,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-017-0022-3
31,Creating three dimensional models of Alzheimer’s disease,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-017-0020-5
32,Design and fabrication of a 3D–printed oral stent for head and neck radiotherapy from routine diagnostic imaging,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-017-0021-4
33,Application of 3D–printed and patient-specific cast for the treatment of distal radius fractures: initial experience,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-017-0019-y
34,3D-printed phantom study for investigating stent abutment during gastroduodenal stent placement for gastric outlet obstruction,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-017-0017-0
35,Development of a 3D printed device to support long term intestinal culture as an alternative to hyperoxic chamber methods,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-017-0018-z
36,Using computed tomography and 3D printing to construct custom prosthetics attachments and devices,http://threedmedprint.biomedcentral.com/track/pdf/10.1186/s41205-017-0016-1
