No.,Title,Link
1,"Darunavir/cobicistat/emtricitabine/tenofovir alafenamide in treatment-experienced, virologically suppressed patients with HIV-1: subgroup analyses of the phase 3 EMERALD study",http://aidsrestherapy.biomedcentral.com/track/pdf/10.1186/s12981-019-0235-1
2,Adherence to antiretroviral therapy and the associated factors among people living with HIV/AIDS in Northern Peru: a cross-sectional study,http://aidsrestherapy.biomedcentral.com/track/pdf/10.1186/s12981-019-0238-y
3,Positioning of darunavir/cobicistat-containing antiretroviral regimens in real life: results from a large multicentre observational prospective cohort (SCOLTA),http://aidsrestherapy.biomedcentral.com/track/pdf/10.1186/s12981-019-0236-0
4,"Impact of HIV testing and treatment services on risky sexual behaviour in the uMgungundlovu District, KwaZulu-Natal, South Africa: a cross-sectional study",http://aidsrestherapy.biomedcentral.com/track/pdf/10.1186/s12981-019-0237-z
5,"Antiretroviral treatment, government policy and economy of HIV/AIDS in Brazil: is it time for HIV cure in the country?",http://aidsrestherapy.biomedcentral.com/track/pdf/10.1186/s12981-019-0234-2
6,Differences in HIV testing and receipt of results between adolescent and non-adolescent women in Uganda,http://aidsrestherapy.biomedcentral.com/track/pdf/10.1186/s12981-019-0233-3
7,Social barriers in accessing care by clients who returned to HIV care after transient loss to follow-up,http://aidsrestherapy.biomedcentral.com/track/pdf/10.1186/s12981-019-0231-5
8,Primary cutaneous actinomycosis: a diagnosis consideration in people living with HIV/AIDS,http://aidsrestherapy.biomedcentral.com/track/pdf/10.1186/s12981-019-0232-4
9,Remission of an HHV8-related extracavitary primary effusion lymphoma in an HIV-positive patient during antiretroviral treatment containing dolutegravir,http://aidsrestherapy.biomedcentral.com/track/pdf/10.1186/s12981-019-0230-6
10,Spatiotemporal analysis and epidemiological characterization of the human immunodeficiency virus (HIV) in Libya within a twenty five year  period: 1993–2017,http://aidsrestherapy.biomedcentral.com/track/pdf/10.1186/s12981-019-0228-0
11,"HIV risk, risk perception and uptake of HIV testing and counseling among youth men who have sex with men attending a gay sauna",http://aidsrestherapy.biomedcentral.com/track/pdf/10.1186/s12981-019-0229-z
12,Tenofovir-associated kidney disease in Africans: a systematic review,http://aidsrestherapy.biomedcentral.com/track/pdf/10.1186/s12981-019-0227-1
13,Statins and aspirin in the prevention of cardiovascular disease among HIV-positive patients between controversies and unmet needs: review of the literature and suggestions for a friendly use,http://aidsrestherapy.biomedcentral.com/track/pdf/10.1186/s12981-019-0226-2
14,Immunogenicity and safety of 4 vs. 3 standard doses of HBV vaccination in HIV-infected adults with isolated anti-HBc antibody,http://aidsrestherapy.biomedcentral.com/track/pdf/10.1186/s12981-019-0225-3
15,Development of a neurocognitive test battery for HIV-associated neurocognitive disorder (HAND) screening: suggested solutions for resource-limited clinical settings,http://aidsrestherapy.biomedcentral.com/track/pdf/10.1186/s12981-019-0224-4
16,Feasibility and yield of HIV screening among adult trauma patients presenting to an urban emergency department of a tertiary referral hospital in Tanzania,http://aidsrestherapy.biomedcentral.com/track/pdf/10.1186/s12981-019-0223-5
17,Efficacy and improvement of lipid profile after switching to rilpivirine in resource limited setting: real life clinical practice,http://aidsrestherapy.biomedcentral.com/track/pdf/10.1186/s12981-019-0222-6
18,HIV late presentation and advanced HIV disease among patients with newly diagnosed HIV/AIDS in Southwestern China: a large-scale cross-sectional study,http://aidsrestherapy.biomedcentral.com/track/pdf/10.1186/s12981-019-0221-7
19,High rates of transmitted NNRTI resistance among persons with acute HIV infection in Malawi: implications for first-line dolutegravir scale-up,http://aidsrestherapy.biomedcentral.com/track/pdf/10.1186/s12981-019-0220-8
