No.,Title,Link
1,"Intraventricular meningiomas frequently harbor NF2 mutations but lack common genetic alterations in TRAF7, AKT1, SMO, KLF4, PIK3CA, and TERT",http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0793-4
2,Telomere alterations in neurofibromatosis type 1-associated solid tumors,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0792-5
3,"Clinical, histological, and genetic characterization of PYROXD1-related myopathy",http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0781-8
4,Downregulation of Nodal inhibits metastatic progression in retinoblastoma,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0785-4
5,Retraction Note: Unique RNA signature of different lesion types in the brain white matter in progressive multiple sclerosis,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0790-7
6,Ischemic axonal injury up-regulates MARK4 in cortical neurons and primes tau phosphorylation and aggregation,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0783-6
7,Retinal ischemia induces α-SMA-mediated capillary pericyte contraction coincident with perivascular glycogen depletion,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0761-z
8,Response of the neurovascular unit to brain metastatic breast cancer cells,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0788-1
9,Transcriptome clarifies mechanisms of lesion genesis versus progression in models of Ccm3 cerebral cavernous malformations,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0789-0
10,"Publisher Correction to: Acta Neuropathologica Communications, volume 7",http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0784-5
11,The landscape of myeloid and astrocyte phenotypes in acute multiple sclerosis lesions,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0779-2
12,Therapeutic antibody targeting microtubule-binding domain prevents neuronal internalization of extracellular tau via masking neuron surface proteoglycans,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0770-y
13,TERT expression is susceptible to BRAF and ETS-factor inhibition in BRAFV600E/TERT promoter double-mutated glioma,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0775-6
14,Correction to: Optic nerve thinning and neurosensory retinal degeneration in the rTg4510 mouse model of frontotemporal dementia,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0780-9
15,Glial pathology and retinal neurotoxicity in the anterior visual pathway in experimental autoimmune encephalomyelitis,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0767-6
16,A soluble tau fragment generated by caspase-2 is associated with dementia in Lewy body disease,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0765-8
17,Phase I and phase II sonidegib and vismodegib clinical trials for the treatment of paediatric and adult MB patients: a systemic review and meta-analysis,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0773-8
18,A soluble truncated tau species related to cognitive dysfunction and caspase-2 is elevated in the brain of Huntington’s disease patients,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0764-9
19,Correction to: Chronic traumatic encephalopathy in two former Australian National Rugby League players,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0772-9
20,Establishing a prognostic threshold for total copy number variation within adult IDH-mutant grade II/III astrocytomas,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0778-3
21,Soluble aggregates present in cerebrospinal fluid change in size and mechanism of toxicity during Alzheimer’s disease progression,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0777-4
22,Dramatic response of BRAF V600E-mutant epithelioid glioblastoma to combination therapy with BRAF and MEK inhibitor: establishment and xenograft of a cell line to predict clinical efficacy,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0774-7
23,Mice deficient in the C-terminal domain of TAR DNA-binding protein 43 develop age-dependent motor dysfunction associated with impaired Notch1−Akt signaling pathway,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0776-5
24,Cross-examining candidate genes implicated in multiple system atrophy,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0769-4
25,Key role of UBQLN2 in pathogenesis of amyotrophic lateral sclerosis and frontotemporal dementia,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0758-7
26,Retinal pathology in experimental optic neuritis is characterized by retrograde degeneration and gliosis,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0768-5
27,C9orf72 intermediate expansions of 24–30 repeats are associated with ALS,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0724-4
28,Reduction of ephrin-A5 aggravates disease progression in amyotrophic lateral sclerosis,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0759-6
29,Understanding the pathogenesis of multiple system atrophy: state of the art and future perspectives,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0730-6
30,Complement-independent bystander injury in AQP4-IgG seropositive neuromyelitis optica produced by antibody-dependent cellular cytotoxicity,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0766-7
31,COX2 expression is associated with proliferation and tumor extension in vestibular schwannoma but is not influenced by acetylsalicylic acid intake,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0760-0
32,An unusual recurrent high-grade glioneuronal tumor with MAP2K1 mutation and CDKN2A/B homozygous deletion,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0763-x
33,Intersection of pathological tau and microglia at the synapse,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0754-y
34,Nanomedicine-driven neuropathic pain relief in a rat model is associated with macrophage polarity and mast cell activation,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0762-y
35,Restoration of histone acetylation ameliorates disease and metabolic abnormalities in a FUS mouse model,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0750-2
36,Loss of USP18 in microglia induces white matter pathology,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0757-8
37,Alzheimer’s disease frequency peaks in the tenth decade and is lower afterwards,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0752-0
38,"Response to the Letter from Garcia-Montojo and colleagues concerning our paper entitled, Quantitative analysis of human endogenous retrovirus-K transcripts in postmortem premotor cortex fails to confirm elevated expression of HERV-K RNA in amyotrophic lateral sclerosis",http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0756-9
39,Technical considerations in detection of HERV-K in amyotrophic lateral sclerosis: selection of controls and the perils of qPCR,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0753-z
40,C-terminal and full length TDP-43 specie differ according to FTLD-TDP lesion type but not genetic mutation,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0755-x
41,Chronic traumatic encephalopathy in two former Australian National Rugby League players,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0751-1
42,Distribution differences in prognostic copy number alteration profiles in IDH-wild-type glioblastoma cause survival discrepancies across cohorts,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0749-8
43,Sporadic Creutzfeldt-Jakob disease prion infection of human cerebral organoids,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0742-2
44,Intrathecal delivery of recombinant AAV1 encoding hepatocyte growth factor improves motor functions and protects neuromuscular system in the nerve crush and SOD1-G93A transgenic mouse models,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0737-z
45,In vivo real-time dynamics of ATP and ROS production in axonal mitochondria show decoupling in mouse models of peripheral neuropathies,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0740-4
46,Neutrophil extracellular trap induced by HMGB1 exacerbates damages in the ischemic brain,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0747-x
47,Total copy number variation as a prognostic factor in adult astrocytoma subtypes,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0746-y
48,"An integrative radiological, histopathological and molecular analysis of pediatric pontine histone-wildtype glioma with MYCN amplification (HGG-MYCN)",http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0738-y
49,Resistance and resilience to Alzheimer’s disease pathology are associated with reduced cortical pTau and absence of limbic-predominant age-related TDP-43 encephalopathy in a community-based cohort,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0743-1
50,Predictive MGMT status in a homogeneous cohort of IDH wildtype glioblastoma patients,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0745-z
51,"Intraventricular meningiomas frequently harbor NF2 mutations but lack common genetic alterations in TRAF7, AKT1, SMO, KLF4, PIK3CA, and TERT",http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0793-4
52,Telomere alterations in neurofibromatosis type 1-associated solid tumors,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0792-5
53,"Clinical, histological, and genetic characterization of PYROXD1-related myopathy",http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0781-8
54,Downregulation of Nodal inhibits metastatic progression in retinoblastoma,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0785-4
55,Retraction Note: Unique RNA signature of different lesion types in the brain white matter in progressive multiple sclerosis,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0790-7
56,Ischemic axonal injury up-regulates MARK4 in cortical neurons and primes tau phosphorylation and aggregation,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0783-6
57,Retinal ischemia induces α-SMA-mediated capillary pericyte contraction coincident with perivascular glycogen depletion,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0761-z
58,Response of the neurovascular unit to brain metastatic breast cancer cells,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0788-1
59,Transcriptome clarifies mechanisms of lesion genesis versus progression in models of Ccm3 cerebral cavernous malformations,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0789-0
60,"Publisher Correction to: Acta Neuropathologica Communications, volume 7",http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0784-5
61,The landscape of myeloid and astrocyte phenotypes in acute multiple sclerosis lesions,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0779-2
62,Therapeutic antibody targeting microtubule-binding domain prevents neuronal internalization of extracellular tau via masking neuron surface proteoglycans,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0770-y
63,TERT expression is susceptible to BRAF and ETS-factor inhibition in BRAFV600E/TERT promoter double-mutated glioma,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0775-6
64,Correction to: Optic nerve thinning and neurosensory retinal degeneration in the rTg4510 mouse model of frontotemporal dementia,http://actaneurocomms.biomedcentral.com/track/pdf/10.1186/s40478-019-0780-9
