No.,Title,Link
1,Evaluation of humoral immune responses to enterotropic lentogenic VG/GA vaccine of Newcastle disease in commercial turkey poults (Meleagris gallopavo),http://actavetscand.biomedcentral.com/track/pdf/10.1186/s13028-019-0476-y
2,Development of a zoomorphic test specimen for constancy testing on digital X-ray systems in veterinary radiology,http://actavetscand.biomedcentral.com/track/pdf/10.1186/s13028-019-0475-z
3,Computed tomography angiography of a congenital extrahepatic splenocaval shunt in a foal,http://actavetscand.biomedcentral.com/track/pdf/10.1186/s13028-019-0474-0
4,Comparison of a qualitative immunochromatographic test with two quantitative serological assays for the detection of antibodies to Leishmania infantum in dogs,http://actavetscand.biomedcentral.com/track/pdf/10.1186/s13028-019-0473-1
5,Concurrent pulmonary hypoplasia and congenital lobar emphysema in a young dog with tension pneumothorax: a rare congenital pulmonary anomaly,http://actavetscand.biomedcentral.com/track/pdf/10.1186/s13028-019-0472-2
6,Acute phase response in bovine coronavirus positive post-weaned calves with diarrhea,http://actavetscand.biomedcentral.com/track/pdf/10.1186/s13028-019-0471-3
7,Thromboelastography-guided transfusion in dogs with hypocoagulable disorders: a case series,http://actavetscand.biomedcentral.com/track/pdf/10.1186/s13028-019-0469-x
8,Validation of an automated assay for measurement of bovine plasma ceruloplasmin,http://actavetscand.biomedcentral.com/track/pdf/10.1186/s13028-019-0470-4
9,"How target-orientated is the use of homeopathy in dairy farming?—A survey in France, Germany and Spain",http://actavetscand.biomedcentral.com/track/pdf/10.1186/s13028-019-0463-3
10,Changes in canine C-reactive protein levels following orthopaedic surgery: a prospective study,http://actavetscand.biomedcentral.com/track/pdf/10.1186/s13028-019-0468-y
11,Multiple cartilaginous exostoses in a Swiss Mountain dog causing thoracolumbar compressive myelopathy,http://actavetscand.biomedcentral.com/track/pdf/10.1186/s13028-019-0467-z
12,Novel encephalomyelitis-associated astrovirus in a muskox (Ovibos moschatus): a surprise from the archives,http://actavetscand.biomedcentral.com/track/pdf/10.1186/s13028-019-0466-0
13,Adaptation of the Canine Orthopaedic Index to evaluate chronic elbow osteoarthritis in Swedish dogs,http://actavetscand.biomedcentral.com/track/pdf/10.1186/s13028-019-0465-1
14,Disposition and effect of intra-articularly administered dexamethasone on lipopolysaccharide induced equine synovitis,http://actavetscand.biomedcentral.com/track/pdf/10.1186/s13028-019-0464-2
15,A liver core needle biopsy technique in guinea pigs (Cavia porcellus),http://actavetscand.biomedcentral.com/track/pdf/10.1186/s13028-019-0462-4
