No.,Title,Link
1,"Development of a tailored, telehealth intervention to address chronic pain and heavy drinking among people with HIV infection: integrating perspectives of patients in HIV care",http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0165-1
2,Physicians’ satisfaction with providing buprenorphine treatment,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0163-3
3,Commentary on physicians’ satisfaction with providing buprenorphine treatment by Knudsen et al.,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0164-2
4,An online alcohol and risky sex prevention program for college students studying abroad: study protocol for a randomized controlled trial,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0162-4
5,Medicaid expansion and treatment for opioid use disorders in Oregon: an interrupted time-series analysis,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0160-6
6,Does an adapted Dialectical Behaviour Therapy skills training programme result in positive outcomes for participants with a dual diagnosis? A mixed methods study,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0156-2
7,Rural access to MAT in Pennsylvania (RAMP): a hybrid implementation study protocol for medication assisted treatment adoption among rural primary care providers,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0154-4
8,Correction to: Emergency department screening and interventions for substance use disorders,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0155-3
9,Factors associated with willingness to wear an electronic overdose detection device,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0153-5
10,Short screening tools for risky drinking in Aboriginal and Torres Strait Islander Australians: modified AUDIT-C and a new approach,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0152-6
11,HIV care provider perceptions and approaches to managing unhealthy alcohol use in primary HIV care settings: a qualitative study,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0150-8
12,Low barrier buprenorphine treatment for persons experiencing homelessness and injecting heroin in San Francisco,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0149-1
13,Primary care engagement is associated with increased pharmacotherapy prescribing for alcohol use disorder (AUD),http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0147-3
14,Buprenorphine unobserved “home” induction: a survey of Ontario’s addiction physicians,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0146-4
15,Asking about the last four drinking occasions on a tablet computer as a way to record alcohol consumption in Aboriginal and Torres Strait Islander Australians: a validation,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0148-2
16,A conceptual model for understanding post-release opioid-related overdose risk,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0145-5
17,Intervention for alcohol use disorders at an HIV care clinic in Harare: a pilot and feasibility study,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0143-7
18,“They didn’t give up on me”: a women’s transitions clinic from the perspective of re-entering women,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0142-8
19,Development of a social media-based intervention targeting tobacco use and heavy episodic drinking in young adults,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0141-9
20,Increased demand for amphetamine treatment in rural Australia,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0144-6
21,Provider and patient perspectives on barriers to buprenorphine adherence and the acceptability of video directly observed therapy to enhance adherence,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0139-3
22,Identification and management of alcohol use and illicit substance use in outpatient psychiatric clinics in Sweden: a national survey of clinic directors and staff,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0140-x
23,Utilization of addiction treatment among U.S. adults with history of incarceration and substance use disorders,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0138-4
24,Linking women experiencing incarceration to community-based HIV pre-exposure prophylaxis care: protocol of a pilot trial,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0137-5
25,Illicit substance use after release from prison among formerly incarcerated primary care patients: a cross-sectional study,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0136-6
26,Study protocol for a pragmatic trial of the Consult for Addiction Treatment and Care in Hospitals (CATCH) model for engaging patients in opioid use disorder treatment,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0135-7
27,Strategies to increase implementation of pharmacotherapy for alcohol use disorders: a structured review of care delivery and implementation interventions,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0134-8
28,An evaluation of the maintenance to abstinence (MTA) program in achieving abstinence in opioid users and improving mental health and quality of life,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0132-x
29,Patient and provider perspectives on implementation barriers and facilitators of an integrated opioid treatment and HIV care intervention,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0133-9
30,"Tobacco use among non-elderly adults with and without criminal justice involvement in the past year: United States, 2008–2016",http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-019-0131-y
31,Receipt of pharmacotherapy for alcohol use disorder by justice-involved women in the Veterans Health Administration,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-018-0129-x
32,"Study protocol testing toolkit versus usual care for implementation of screening, brief intervention, referral to treatment in hospitals: a phased cluster randomized approach",http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-018-0130-4
33,The SUMMIT ambulatory-ICU primary care model for medically and socially complex patients in an urban federally qualified health center: study design and rationale,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-018-0128-y
34,Frequency and associated risk factors of non-fatal overdose reported by pregnant women with opioid use disorder,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-018-0126-0
35,Advancing pharmacological treatments for opioid use disorder (ADaPT-OUD): protocol for testing a novel strategy to improve implementation of medication-assisted treatment for veterans with opioid use disorders in low-performing facilities,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-018-0127-z
36,Alcohol misuse and outpatient follow-up after hospital discharge: a retrospective cohort study,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-018-0125-1
37,Clinician identified barriers to treatment for individuals in Appalachia with opioid use disorder following release from prison: a social ecological approach,http://ascpjournal.biomedcentral.com/track/pdf/10.1186/s13722-018-0124-2
