No.,Title,Link
1,Relationship of rheumatoid arthritis and coronary artery disease in the Korean population: a nationwide cross-sectional study,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0084-6
2,Prolotherapy for knee osteoarthritis using hypertonic dextrose vs other interventional treatments: systematic review of clinical trials,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0083-7
3,Altered Tregs and oxidative stress in pregnancy associated lupus,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0082-8
4,Benzbromarone in the treatment of gout,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0080-x
5,"Impact of C4, C4A and C4B gene copy number variation in the susceptibility, phenotype and progression of systemic lupus erythematosus",http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0076-6
6,Panniculitides of particular interest to the rheumatologist,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0077-5
7,The effect of therapies on the quality of life of patients with systemic lupus erythematosus: a meta-analysis of randomized trials,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0074-8
8,Sonographic elbow scanning is not yoga exercise,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0079-3
9,"Prevalence of juvenile idiopathic arthritis in schoolchildren from the city of São Paulo, the largest city in Latin America",http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0078-4
10,Clinical characteristics and risk factors for gout flare during the postsurgical period,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0075-7
11,"CD4+CD69+ T cells and CD4+CD25+FoxP3+ Treg cells imbalance in peripheral blood, spleen and peritoneal lavage from pristane-induced systemic lupus erythematosus (SLE) mice",http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0072-x
12,Clinical and epidemiologic characterization of patients with systemic lupus erythematosus admitted to an intensive care unit in Colombia,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0073-9
13,V Brazilian consensus guidelines for detection of anti-cell autoantibodies on hep-2 cells,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0069-5
14,Frequency and clinical relevance of anti-Mi-2 autoantibody in adult Brazilian patients with dermatomyositis,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0071-y
15,Ultrasound inflammatory parameters and Treg/Th17 cell profiles in established rheumatoid arthritis,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0070-z
16,Functional status and severity of osteoarthritis in elderly is associated to the polymorphism of TNFA gene,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0068-6
17,Gender-specific risk factors for gout: a systematic review of cohort studies,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0067-7
18,"Correlation of enthesitis indices with disease activity and function in axial and peripheral spondyloarthritis: a cross-sectional study comparing MASES, SPARCC and LEI",http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0066-8
19,Letter to the Editor Re: Effect of food intake and ambient air pollution exposure on ankylosing spondylitis disease activity,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0065-9
20,The profile and clinical outcomes of patients with renal involvement due to IgA vasculitis: is azathioprine a good option for treatment?,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0064-x
21,"Comparison among ACR1997, SLICC and the new EULAR/ACR classification criteria in childhood-onset systemic lupus erythematosus",http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0062-z
22,Anti-collagen type v: a marker of early systemic sclerosis?,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0063-y
23,Incidence of Cytomegalovirus Antigenemia in patients with autoimmune rheumatic diseases: a 3-year retrospective study,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0061-0
24,Brazilian recommendations on the safety and effectiveness of the yellow fever vaccination in patients with chronic immune-mediated inflammatory diseases,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0056-x
25,Lack of association between dietary inflammatory index and low impact fractures in the Brazilian population: the Brazilian Osteoporosis Study (BRAZOS),http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0059-7
26,"Methotrexate use, not interleukin 33, is associated with lower carotid intima-media thickness in patients with rheumatoid arthritis",http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0060-1
27,Risk of digital ulcers occurrence in systemic sclerosis: a cross-sectional study,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0057-9
28,Sexual function in female juvenile idiopathic arthritis patients,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0058-8
29,Risk factors for cytomegalovirus disease in systemic lupus erythematosus (SLE): a systematic review,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0055-y
30,A single simple position for ultrasound assessment of both common extensor and common flexor origin at the elbow,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0053-0
31,Association of anti-nuclesome and anti C1q antibodies with lupus nephritis in an Egyptian cohort of patients with systemic lupus erythematosus,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0054-z
32,Effect of food intake and ambient air pollution exposure on ankylosing spondylitis disease activity,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0051-2
33,Axial Spondyloarthritis after bariatric surgery: a 7-year retrospective analysis,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0050-3
34,Gait in children and adolescents with idiopathic musculoskeletal pain,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0052-1
35,Guidelines of the Brazilian Society of Rheumatology for the treatment of systemic autoimmune myopathies,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0048-x
36,"Position article and guidelines 2018 recommendations of the Brazilian Society of Rheumatology for the indication, interpretation and performance of nailfold capillaroscopy",http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-018-0046-4
37,"Psychoanalytic psychotherapy improves quality of life, depression, anxiety and coping in patients with systemic lupus erythematosus: a controlled randomized clinical trial",http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0047-y
38,Panniculitis in childhood-onset systemic lupus erythematosus: a multicentric cohort study,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-019-0049-9
39,Clinical and pathophysiologic relevance of autoantibodies in rheumatoid arthritis,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-018-0042-8
40,Nailfold capillaroscopy as a risk factor for pulmonary arterial hypertension in systemic lupus erythematosus patients,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-018-0045-5
41,Autoimmune hepatitis in 847 childhood-onset systemic lupus erythematosus population: a multicentric cohort study,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-018-0043-7
42,Could obesity be considered as risk factor for non-vertebral low-impact fractures?,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-018-0044-6
43,"Multicenter, randomized, double-blind clinical trial to evaluate efficacy and safety of combined glucosamine sulfate and chondroitin sulfate capsules for treating knee osteoarthritis",http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-018-0041-9
44,Factors associated with ASDAS remission in a long-term study of ankylosing spondylitis patients under tumor necrosis factor inhibitors,http://advancesinrheumatology.biomedcentral.com/track/pdf/10.1186/s42358-018-0040-x
