No.,Title,Link
1,Simulation-based clinical systems testing for healthcare spaces: from intake through implementation,http://advancesinsimulation.biomedcentral.com/track/pdf/10.1186/s41077-019-0108-7
2,“Please let me know when I do not realize it myself”: a qualitative analysis of senior simulated patients’ experiences,http://advancesinsimulation.biomedcentral.com/track/pdf/10.1186/s41077-019-0109-6
3,Commissioning simulations to test new healthcare facilities: a proactive and innovative approach to healthcare system safety,http://advancesinsimulation.biomedcentral.com/track/pdf/10.1186/s41077-019-0107-8
4,Expert opinions on the authenticity of moulage in simulation: a Delphi study,http://advancesinsimulation.biomedcentral.com/track/pdf/10.1186/s41077-019-0103-z
5,Selected abstracts from the 25th Annual Meeting of the Society in Europe for Simulation Applied to Medicine,http://advancesinsimulation.biomedcentral.com/track/pdf/10.1186/s41077-019-0104-y
6,Bug Busters: Who you gonna call? Professional development for healthcare simulation technology specialists,http://advancesinsimulation.biomedcentral.com/track/pdf/10.1186/s41077-019-0105-x
7,Beyond the clinical team: evaluating the human factors-oriented training of non-clinical professionals working in healthcare contexts,http://advancesinsimulation.biomedcentral.com/track/pdf/10.1186/s41077-019-0101-1
8,Improving the relational aspects of trauma care through translational simulation,http://advancesinsimulation.biomedcentral.com/track/pdf/10.1186/s41077-019-0100-2
9,Simulation versus real-world performance: a direct comparison of emergency medicine resident resuscitation entrustment scoring,http://advancesinsimulation.biomedcentral.com/track/pdf/10.1186/s41077-019-0099-4
10,Words matter: towards a new lexicon for ‘nontechnical skills’ training,http://advancesinsimulation.biomedcentral.com/track/pdf/10.1186/s41077-019-0098-5
11,Correction to: A systematic literature review of simulation models for non-technical skill training in healthcare logistics,http://advancesinsimulation.biomedcentral.com/track/pdf/10.1186/s41077-019-0094-9
12,Introduction of an undergraduate interprofessional simulation based skills training program in obstetrics and gynaecology in India,http://advancesinsimulation.biomedcentral.com/track/pdf/10.1186/s41077-019-0096-7
13,Psychometric testing of a checklist for procedural training of peripheral intravenous insertion,http://advancesinsimulation.biomedcentral.com/track/pdf/10.1186/s41077-019-0092-y
14,Defining and measuring quality in acute paediatric trauma stabilisation: a phenomenographic study,http://advancesinsimulation.biomedcentral.com/track/pdf/10.1186/s41077-019-0091-z
15,Research challenges in prehospital care: the need for a simulation-based prehospital research laboratory,http://advancesinsimulation.biomedcentral.com/track/pdf/10.1186/s41077-019-0090-0
