No.,Title,Link
1,"Assessment of food insecurity and its determinants in the rural households in Damot Gale Woreda, Wolaita zone, southern Ethiopia",http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-019-0254-0
2,Men and women’s perception of yellow-root cassava among rural farmers in eastern Uganda,http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-019-0253-1
3,Assessment of Ficus thonningii tree production and utilization for livestock feed by smallholder farmers in northwestern Ethiopia,http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0247-4
4,"Comparative analysis of technical efficiency of catfish farms using different technologies in Lagos State, Nigeria: a Data Envelopment Analysis (DEA) approach",http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-019-0252-2
5,"Does coal mining affect household food security? An empirical study of Dhanbad, India",http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0244-7
6,"Bioactive compounds, health benefits and utilization of Rhododendron: a comprehensive review",http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-019-0251-3
7,Yield loss of ginger (Zingiber officinale) due to bacterial wilt (Ralstonia solanacearum) in different wilt management systems in Ethiopia,http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0245-6
8,Early growth trend and performance of three Ethiopian goat ecotypes under smallholder management systems,http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0249-2
9,"The status and constraints of food barley production in the North Gondar highlands, North Western Ethiopia",http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0248-3
10,Salinity stress and PGPR effects on essential oil changes in Rosmarinus officinalis L.,http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0246-5
11,"Analysis of technical efficiency of small holder wheat-growing farmers of Jamma district, Ethiopia",http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0250-9
12,Effect of split application of different N rates on productivity and nitrogen use efficiency of bread wheat (Triticum aestivum L.),http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0242-9
13,"Factors affecting market outlet choice of wheat producers in North Gondar Zone, Ethiopia",http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0241-x
14,Morpho-agronomic performance of vetch species and their accessions grown under nitosol and vertisol conditions in the central highlands of Ethiopia,http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0243-8
15,"Evaluation of morphological characteristics, yield and nutritive value of Brachiaria grass ecotypes in northwestern Ethiopia",http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0239-4
16,"Evaluation of biomass yield and nutritional quality of oats–vetch mixtures at different harvesting stage under residual moisture in Fogera District, Ethiopia",http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0240-y
17,Determinants of seasonal food security among smallholder farmers in south-central Uganda,http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0237-6
18,Agro-morphological diversity of Nepalese naked barley landraces,http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0238-5
19,Influence of productive resources on bean production in male- and female-headed households in selected bean corridors of Kenya,http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0236-7
20,"Effect of inter- and intra-row spacing on yield and yield components of mung bean (Vigna radiata L.) under rain-fed condition at Metema District, northwestern Ethiopia",http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0234-9
21,Survey of mushroom consumption and the possible use of gamma irradiation for sterilization of compost for its cultivation in Southern Ghana,http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0235-8
22,Crop diversification and household food security status: evidence from rural Benin,http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0233-x
23,"Field efficacy of genetically modified FK 95 Bollgard II cotton for control of bollworms, Lepidoptera, in Ghana",http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0232-y
24,Effect of climate-smart agricultural practices on household food security in smallholder production systems: micro-level evidence from Kenya,http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0230-0
25,Climate change and potential impacts on agriculture in Bhutan: a discussion of pertinent issues,http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0229-6
26,Effect of nitrogen fertilizer rates on grain yield and nitrogen uptake and use efficiency of bread wheat (Triticum aestivum L.) varieties on the Vertisols of central highlands of Ethiopia,http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0231-z
27,"Nutrient intake, digestibility, growth performance and carcass characteristics of Farta sheep fed urea-treated rice straw supplemented with graded levels of dried Sesbania sesban leaves",http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0226-9
28,Variation among banana weevil Cosmopolites sordidus (Germar) populations in Uganda as revealed by AFLP markers and corm damage differences,http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0227-8
29,Agricultural history nexus food security and policy framework in Tanzania,http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0228-7
30,Agricultural extension and its effects on farm productivity and income: insight from Northern Ghana,http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0225-x
31,Corm damage caused by banana weevils Cosmopolites sordidus (Germar) collected from different banana growing regions in Uganda,http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0224-y
32,"GIS modeling of potentially suitable sites for aquaculture development in the Lake Tana basin, Northwest Ethiopia",http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0222-0
33,Achieving sustainable development goals on no poverty and zero hunger: Does technical efficiency of Ghana’s maize farmers matter?,http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0223-z
34,"Transitory coping strategies of food-insecure smallholder farmer households: the case of Ilu Gelan District, West Shoa Zone, Oromia Reginal State, Ethiopia",http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0204-2
35,Public buffer stocks as agricultural output price stabilization policy in Ghana,http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0221-1
36,Nutritive values of seven high priority indigenous fodder tree species in pastoral and agro-pastoral areas in Eastern Ethiopia,http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0216-y
37,"Predictors of food insecurity and coping strategies of women asylum seekers and refugees in Durban, South Africa",http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0220-2
38,Determinants of inadequate minimum dietary diversity among children aged 6–23 months in Ethiopia: secondary data analysis from Ethiopian Demographic and Health Survey 2016,http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0219-8
39,Food insecurity of rural households in Boset district of Ethiopia: a suite of indicators analysis,http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0217-x
40,"Small ruminant fattening practices in Amhara region, Ethiopia",http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0218-9
41,Lessons for promotion of new agricultural technology: a case of Vijay wheat variety in Nepal,http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0215-z
42,Determinants of livelihood diversification strategies in Eastern Tigray Region of Ethiopia,http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0214-0
43,Brain drain of agriculture and veterinary graduates to abroad: evidence from Nepal,http://agricultureandfoodsecurity.biomedcentral.com/track/pdf/10.1186/s40066-018-0213-1
