No.,Title,Link
1,"A branching process for homology distribution-based inference of polyploidy, speciation and loss",http://almob.biomedcentral.com/track/pdf/10.1186/s13015-019-0153-8
2,A multi-labeled tree dissimilarity measure for comparing “clonal trees” of tumor progression,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-019-0152-9
3,A cubic algorithm for the generalized rank median of three genomes,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-019-0150-y
4,A general framework for genome rearrangement with biological constraints,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-019-0149-4
5,Statistically consistent divide-and-conquer pipelines for phylogeny estimation using NJMerge,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-019-0151-x
6,Prefix-free parsing for building big BWTs,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-019-0148-5
7,Linear time minimum segmentation enables scalable founder reconstruction,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-019-0147-6
8,An average-case sublinear forward algorithm for the haploid Li and Stephens model,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-019-0144-9
9,Differentially mutated subnetworks discovery,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-019-0146-7
10,Repairing Boolean logical models from time-series data using Answer Set Programming,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-019-0145-8
11,Kermit: linkage map guided long read assembly,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-019-0143-x
12,Reconciling multiple genes trees via segmental duplications and losses,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-019-0139-6
13,External memory BWT and LCP computation for sequence collections with applications,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-019-0140-0
14,Connectivity problems on heterogeneous graphs,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-019-0141-z
15,Semi-nonparametric modeling of topological domain formation from epigenetic data,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-019-0142-y
16,SNPs detection by eBWT positional clustering,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-019-0137-8
17,Constrained incremental tree building: new absolute fast converging phylogeny estimation methods with improved scalability and accuracy,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-019-0136-9
18,Automated partial atomic charge assignment for drug-like molecules: a fast knapsack approach,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-019-0138-7
19,Regmex: a statistical tool for exploring motifs in ranked sequence lists from genomics experiments,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-018-0135-2
20,Superbubbles revisited,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-018-0134-3
21,Coordinate systems for supergenomes,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-018-0133-4
22,Improved de novo peptide sequencing using LC retention time information,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-018-0132-5
23,Sorting signed circular permutations by super short operations,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-018-0131-6
24,Split-inducing indels in phylogenomic analysis,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-018-0130-7
25,Locus-aware decomposition of gene trees with respect to polytomous species trees,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-018-0128-1
26,A fast and accurate enumeration-based algorithm for haplotyping a triploid individual,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-018-0129-0
27,Finding local genome rearrangements,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-018-0127-2
28,FSH: fast spaced seed hashing exploiting adjacent hashes,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-018-0125-4
29,Outlier detection in BLAST hits,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-018-0126-3
30,OCTAL: Optimal Completion of gene trees in polynomial time,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-018-0124-5
31,Derivative-free neural network for optimizing the scoring functions associated with dynamic programming of pairwise-profile alignment,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-018-0123-6
32,Fast phylogenetic inference from typing data,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-017-0119-7
33,A safe and complete algorithm for metagenomic assembly,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-018-0122-7
34,Time-consistent reconciliation maps and forbidden time travel,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-018-0121-8
35,Gene tree parsimony for incomplete gene trees: addressing true biological loss,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-017-0120-1
36,Phylogeny reconstruction based on the length distribution of k-mismatch common substrings,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-017-0118-8
37,Generalized enhanced suffix array construction in external memory,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-017-0117-9
38,HAlign-II: efficient ultra-large multiple sequence alignment and phylogenetic tree reconstruction with distributed and parallel computing,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-017-0116-x
39,Algorithms for matching partially labelled sequence graphs,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-017-0115-y
40,"Biologically feasible gene trees, reconciliation maps and informative triples",http://almob.biomedcentral.com/track/pdf/10.1186/s13015-017-0114-z
41,Partially local three-way alignments and the sequence signatures of mitochondrial genome rearrangements,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-017-0113-0
42,A hybrid parameter estimation algorithm for beta mixtures and applications to methylation state classification,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-017-0112-1
43,ASP-based method for the enumeration of attractors in non-deterministic synchronous and asynchronous multi-valued networks,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-017-0111-2
44,Identification of bifurcation transitions in biological regulatory networks using Answer-Set Programming,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-017-0110-3
45,A graph extension of the positional Burrows–Wheeler transform and its applications,http://almob.biomedcentral.com/track/pdf/10.1186/s13015-017-0109-9
