No.,Title,Link
1,Hypersensitivity reactions to high osmolality Total Parenteral Nutrition: a case report,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0364-z
2,Structural alterations and markers of endothelial activation in pulmonary and bronchial arteries in fatal asthma,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0363-0
3,Subcutaneous C1 inhibitor for prevention of attacks of hereditary angioedema: additional outcomes and subgroup analysis of a placebo-controlled randomized study,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0362-1
4,"Short-term pulmonary infiltrate with eosinophilia caused by asthma: a phenotype of severe, eosinophilic asthma? Five cases and a review of the literature",http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0358-x
5,Graft versus host disease and microchimerism in a JAK3 deficient patient,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0361-2
6,Sestrin2 is involved in asthma: a case–control study,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0360-3
7,Abstracts of 11th C1-inhibitor Deficiency & Angioedema Workshop,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0355-0
8,Endogenous stimulation is responsible for the high frequency of IL-17A-producing neutrophils in patients with rheumatoid arthritis,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0359-9
9,Epigenome-wide association study of asthma and wheeze characterizes loci within HK1,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0356-z
10,Allergen sensitization pattern of allergic adults and children in southern China: a survey based on real life data,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0357-y
11,Clinical and pulmonary function changes in cough variant asthma with small airway disease,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0354-1
12,Proceedings of the Canadian Society of Allergy and Clinical Immunology Annual Scientific Meeting 2018: Part Two,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0350-5
13,Maternal diet before and during pregnancy and risk of asthma and allergic rhinitis in children,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0353-2
14,Inflammatory patterns of antrochoanal polyps in the pediatric age group,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0352-3
15,Risk factors and prognosis of recurrent wheezing in Chinese young children: a prospective cohort study,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0351-4
16,Outcomes following mepolizumab treatment discontinuation: real-world experience from an open-label trial,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0348-z
17,Sinobronchial allergic mycosis syndrome in an elderly male,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0349-y
18,Chronic idiopathic systemic capillary leak syndrome: a case report,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0347-0
19,Pleiotropic microRNA-21 in pulmonary remodeling: novel insights for molecular mechanism and present advancements,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0345-2
20,Genotype-first analysis of a generally healthy population cohort supports genetic testing for diagnosis of hereditary angioedema of unknown cause,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0346-1
21,Health effects of diesel engine exhaust emissions exposure (DEEE) can mimic allergic asthma and rhinitis,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0342-5
22,Stability of peripheral blood immune markers in patients with asthma,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0343-4
23,Association of molds and metrological parameters to frequency of severe asthma exacerbation,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0323-8
24,Variants in the IL17 pathway genes are associated with atopic asthma and atopy makers in a South American population,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0340-7
25,Sublingual immunotherapy tablet for the treatment of house dust mite allergic rhinitis in Canada: an alternative to minimize treatment costs?,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0344-3
26,"Evaluation of eczema, asthma, allergic rhinitis and allergies among the grade-7 children of Iqaluit",http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0341-6
27,Autoimmune thyroid disease and urticarial vasculitis: is there a significant association?,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0339-0
28,The complex pathophysiology of allergic rhinitis: scientific rationale for the development of an alternative treatment option,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-018-0314-1
29,Enhanced interleukin-8 production in mononuclear cells in severe pediatric obstructive sleep apnea,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0338-1
30,Correction to: Eosinophilic esophagitis,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0336-3
31,Proceedings of AllerGen 2019 Research Conference,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0330-9
32,Omalizumab in patients with severe asthma and persistent sputum eosinophilia,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0337-2
33,Variability in total serum IgE over 1 year in severe asthmatics,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0331-8
34,Severe anaphylaxis after pelvic examination: a case report of dual latex and chlorhexidine allergies,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0335-4
35,Pruritus in patients with amyopathic dermatomyositis,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0334-5
36,Association between abdominal obesity and asthma: a meta-analysis,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0333-6
37,Tumor necrosis factor-alpha and Fas/Fas ligand signaling pathways in chronic spontaneous urticaria,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0332-7
38,Availability and affordability of medicines and diagnostic tests recommended for management of asthma and chronic obstructive pulmonary disease in sub-Saharan Africa: a systematic review,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0329-2
39,Indirect comparison of intravenous vs. subcutaneous C1-inhibitor placebo-controlled trials for routine prevention of hereditary angioedema attacks,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0328-3
40,Proceedings of the Canadian Society of Allergy and Clinical Immunology Annual Scientific Meeting 2018,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0322-9
41,"Mediastinal abscess, an unusual way of presentation of eosinophilic esophagitis",http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-018-0313-2
42,Acquired cow’s milk sensitization after liver transplant in an adult: “clinical implications” and future strategies,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0326-5
43,A systematic review of epinephrine stability and sterility with storage in a syringe,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0324-7
44,"Immediate hypersensitivity to polyethylene glycols in unrelated products: when standardization in the nomenclature of the components of drugs, cosmetics, and food becomes necessary",http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0327-4
45,Changing the culture is a marathon not a sprint,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0325-6
46,"Retrospective analysis of aeroallergen’s sensitization patterns in Edmonton, Canada",http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0320-y
47,West Nile virus encephalitis in GATA2 deficiency,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0321-x
48,Dermatomyositis associated with omalizumab therapy for severe asthma: a case report,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0319-4
49,A retrospective study of clinical features of cough variant asthma in Chinese adults,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0318-5
50,IL2RG hypomorphic mutation: identification of a novel pathogenic mutation in exon 8 and a review of the literature,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-018-0317-y
51,Hypersensitivity reactions to high osmolality Total Parenteral Nutrition: a case report,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0364-z
52,Structural alterations and markers of endothelial activation in pulmonary and bronchial arteries in fatal asthma,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0363-0
53,Subcutaneous C1 inhibitor for prevention of attacks of hereditary angioedema: additional outcomes and subgroup analysis of a placebo-controlled randomized study,http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0362-1
54,"Short-term pulmonary infiltrate with eosinophilia caused by asthma: a phenotype of severe, eosinophilic asthma? Five cases and a review of the literature",http://aacijournal.biomedcentral.com/track/pdf/10.1186/s13223-019-0358-x
