No.,Title,Link
1,Acoustic tag retention rate varies between juvenile green and hawksbill sea turtles,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-019-0177-3
2,Deep learning accurately predicts white shark locomotor activity from depth data,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-019-0175-5
3,Validation of ECG-derived heart rate recordings in Atlantic cod (Gadus morhua L.) with an implantable data logging system,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-019-0176-4
4,Movements of electronically tagged shortfin mako sharks (Isurus oxyrinchus) in the eastern North Pacific Ocean,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-019-0174-6
5,Implications of tag positioning and performance on the analysis of cetacean movement,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-019-0173-7
6,Habitat selection by American beaver at multiple spatial scales,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-019-0172-8
7,A field evaluation of the growth and survival of age-0 Oncorhynchus mykiss tagged with 8-mm passive integrated transponder (PIT) tags,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-019-0171-9
8,The Wolff–Chaikoff effect ameliorates heat stress in rats,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-019-0170-x
9,Automated peak detection method for behavioral event identification: detecting Balaenoptera musculus and Grampus griseus feeding attempts,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-019-0169-3
10,The Gain Reduction Method for manual tracking of radio-tagged fish in streams,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-019-0168-4
11,Mind the gap—optimizing satellite tag settings for time series analysis of foraging dives in Cuvier’s beaked whales (Ziphius cavirostris),http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-019-0167-5
12,Improving emergence location estimates for Argos pop-up transmitters,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-019-0166-6
13,Inner space: translating advances in human medicine to minimise the invasiveness of marine tagging procedures,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-019-0165-7
14,The need for aquatic tracking networks: the Permanent Belgian Acoustic Receiver Network,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-019-0164-8
15,Potential detection of illegal fishing by passive acoustic telemetry,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-019-0163-9
16,Evaluating outcomes of long-term satellite tag attachment on leatherback sea turtles,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-018-0161-3
17,A standardised framework for analysing animal detections from automated tracking arrays,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-018-0162-2
18,Detection efficiency of acoustic biotelemetry sensors on Wave Gliders,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-018-0160-4
19,Autumn migration and wintering site of a wood warbler Phylloscopus sibilatrix breeding in Denmark identified using geolocation,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-018-0159-x
20,Assessing the utility and limitations of accelerometers and machine learning approaches in classifying behaviour during lactation in a phocid seal,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-018-0158-y
21,Development and utilization of implantable cardiac monitors in free-ranging American black and Eurasian brown bears: system evolution and lessons learned,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-018-0157-z
22,A review of acoustic telemetry in Europe and the need for a regional aquatic telemetry network,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-018-0156-0
23,Sea turtles and survivability in demersal trawl fisheries: Do comatose olive ridley sea turtles survive post-release?,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-018-0155-1
24,Characterizing activity and assessing bycatch survival of Pacific halibut with accelerometer Pop-up Satellite Archival Tags,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-018-0154-2
25,Correction to: Revealing the full ocean migration of individual Atlantic salmon,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-018-0148-0
26,"Movement patterns of a commercially important, free-ranging marine invertebrate in the vicinity of a bait source",http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-018-0152-4
27,"Effects of harness-attached tracking devices on survival, migration, and reproduction in three species of migratory waterfowl",http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-018-0153-3
28,Passive kHz lidar for the quantification of insect activity and dispersal,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-018-0151-5
29,Joining the dots: reconstructing 3D environments and movement paths using animal-borne devices,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-018-0150-6
30,Correction to: Interpreting vertical movement behavior with holistic examination of depth distribution: a novel method reveals cryptic diel activity patterns of Chinook salmon in the Salish Sea,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-018-0149-z
31,Long-term PIT tag retention rates in Atlantic salmon (Salmo salar),http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-018-0147-1
32,Revealing the full ocean migration of individual Atlantic salmon,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-018-0146-2
33,Evaluating GPS biologging technology for studying spatial ecology of large constricting snakes,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-018-0145-3
34,"Performance of a low-cost, solar-powered pop-up satellite archival tag for assessing post-release mortality of Atlantic bluefin tuna (Thunnus thynnus) caught in the US east coast light-tackle recreational fishery",http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-017-0144-9
35,Double tagging clarifies post-release fate of great hammerheads (Sphyrna mokarran),http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-017-0143-x
36,"A test of the detection range of acoustic transmitters and receivers deployed in deep waters of Southeast Alaska, USA",http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-017-0142-y
37,Residency and long-distance movements of sevengill sharks (Notorhynchus cepedianus) tagged in San Francisco Bay,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-017-0141-z
38,Animal-borne behaviour classification for sheep (Dohne Merino) and Rhinoceros (Ceratotherium simum and Diceros bicornis),http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-017-0140-0
39,Reduction in adverse effects of tracking devices on waterfowl requires better measuring and reporting,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-017-0139-6
40,Behavior of satellite-tracked Antarctic minke whales (Balaenoptera bonaerensis) in relation to environmental factors around the western Antarctic Peninsula,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-017-0138-7
41,Real-time nodes permit adaptive management of endangered species of fishes,http://animalbiotelemetry.biomedcentral.com/track/pdf/10.1186/s40317-017-0136-9
