No.,Title,Link
1,A systematic review of the impact of antifungal stewardship interventions in the United States,http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-019-0323-z
2,Hepatosplenic abscesses in an immunocompetent child with cat-scratch disease from Peru,http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-019-0322-0
3,Prevalence of Shigella species and its drug resistance pattern in Ethiopia: a systematic review and meta-analysis,http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-019-0321-1
4,CRISPR-cas system: biological function in microbes and its use to treat antimicrobial resistant pathogens,http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-019-0317-x
5,Antimicrobial consumption in three pediatric and neonatal intensive care units in Saudi Arabia: 33-month surveillance study,http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-019-0320-2
6,A prospective multicenter study on the evaluation of antimicrobial resistance and molecular epidemiology of multidrug-resistant Acinetobacter baumannii infections in intensive care units with clinical and environmental features,http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-019-0319-8
7,Association of prenatal antibiotics with measures of infant adiposity and the gut microbiome,http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-019-0318-9
8,Microsporidial keratitis retrospectively diagnosed by ultrastructural study of formalin-fixed paraffin-embedded corneal tissue: a case report,http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-019-0316-y
9,Whole-genome sequencing and characterization of an antibiotic resistant Neisseria meningitidis B isolate from a military unit in Vietnam,http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-019-0315-z
10,Late prosthetic valve endocarditis with Mycobacterium tuberculosis after the Bentall procedure,http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-019-0314-0
11,"Streptococcus agalactiae maternal colonization, antibiotic resistance and serotype profiles in Africa: a meta-analysis",http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-019-0313-1
12,"Comparative evaluation of isavuconazonium sulfate, voriconazole, and posaconazole for the management of invasive fungal infections in an academic medical center",http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-019-0311-3
13,Surface colonization and subsequent development of infections with multi drug resistant organisms in a neonatal intensive care unit,http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-019-0312-2
14,Frugivorous bats in the Colombian Caribbean region are reservoirs of the rabies virus,http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-019-0308-y
15,Plasma cell-free DNA: a potential biomarker for early prediction of severe dengue,http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-019-0309-x
16,Migration crisis in Venezuela and its impact on HIV in other countries: the case of Colombia,http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-019-0310-4
17,Characterization of the clonal profile of methicillin resistant Staphylococcus aureus isolated from patients with early post-operative orthopedic implant based infections,http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-019-0307-z
18,Accurate identification and epidemiological characterization of Burkholderia cepacia complex: an update,http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-019-0306-0
19,Antimicrobial stewardship program (ASP): an effective implementing technique for the therapy efficiency of meropenem and vancomycin antibiotics in Iranian pediatric patients,http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-019-0305-1
20,The effect of malaria rapid diagnostic tests results on antimicrobial prescription practices of health care workers in Burkina Faso,http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-019-0304-2
21,"Hypervirulent Klebsiella pneumoniae (hypermucoviscous and aerobactin positive) infection over 6 years in the elderly in China: antimicrobial resistance patterns, molecular epidemiology and risk factor",http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-018-0302-9
22,"Streptococcus agalactiae from Ethiopian pregnant women; prevalence, associated factors and antimicrobial resistance: alarming for prophylaxis",http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-019-0303-3
23,Application of next-generation sequencing to detect variants of drug-resistant Mycobacterium tuberculosis: genotype–phenotype correlation,http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-018-0300-y
24,"Prevalence of Acinetobacter baumannii in Saudi Arabia: risk factors, antimicrobial resistance patterns and mechanisms of carbapenem resistance",http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-018-0301-x
25,Cerebrospinal fluid penetration of very high-dose meropenem: a case report,http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-018-0299-0
26,In vivo efficacy of tobramycin-loaded synthetic calcium phosphate beads in a rabbit model of staphylococcal osteomyelitis,http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-018-0296-3
27,Metagenomic next-generation sequencing as a diagnostic tool for toxoplasmic encephalitis,http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-018-0298-1
28,Detection of bacterial DNA from central venous catheter removed from patients by next generation sequencing: a preliminary clinical study,http://ann-clinmicrob.biomedcentral.com/track/pdf/10.1186/s12941-018-0297-2
