No.,Title,Link
1,"Suicide prevention by emergency nurses: perceived self-efficacy in assessment, management and referral at Kenyatta National Hospital in Kenya",http://annals-general-psychiatry.biomedcentral.com/track/pdf/10.1186/s12991-019-0240-8
2,The prevalence of childhood trauma in psychiatric outpatients,http://annals-general-psychiatry.biomedcentral.com/track/pdf/10.1186/s12991-019-0239-1
3,Intergenerational transmission of war-related trauma assessed 40 years after exposure,http://annals-general-psychiatry.biomedcentral.com/track/pdf/10.1186/s12991-019-0238-2
4,Leveraging the utility of pharmacogenomics in psychiatry through clinical decision support: a focus group study,http://annals-general-psychiatry.biomedcentral.com/track/pdf/10.1186/s12991-019-0237-3
5,Factor structure and diagnostic efficiency of the Myanmar version BDI-II among substance users,http://annals-general-psychiatry.biomedcentral.com/track/pdf/10.1186/s12991-019-0236-4
6,Coping behaviors and depressive status in individuals with type 2 diabetes mellitus,http://annals-general-psychiatry.biomedcentral.com/track/pdf/10.1186/s12991-019-0235-5
7,"Burden among caregivers of people with mental illness at Jimma University Medical Center, Southwest Ethiopia: a cross-sectional study",http://annals-general-psychiatry.biomedcentral.com/track/pdf/10.1186/s12991-019-0233-7
8,“It’s not a life of war and conflict”: experienced therapists’ views on negotiating a therapeutic alliance in involuntary treatment,http://annals-general-psychiatry.biomedcentral.com/track/pdf/10.1186/s12991-019-0234-6
9,Positive psychological well-being predicts lower severe pain in the general population: a 2-year follow-up study of the SwePain cohort,http://annals-general-psychiatry.biomedcentral.com/track/pdf/10.1186/s12991-019-0231-9
10,Critical appraisal of major depression with suicidal ideation,http://annals-general-psychiatry.biomedcentral.com/track/pdf/10.1186/s12991-019-0232-8
11,Analysis of the SNP rs3747333 and rs3747334 in NLGN4X gene in autism spectrum disorder: a meta-analysis,http://annals-general-psychiatry.biomedcentral.com/track/pdf/10.1186/s12991-019-0227-5
12,Application of a multidimensional computerized adaptive test for a Clinical Dementia Rating Scale through computer-aided techniques,http://annals-general-psychiatry.biomedcentral.com/track/pdf/10.1186/s12991-019-0228-4
