No.,Title,Link
1,The rise in vancomycin-resistant Enterococcus faecium in Germany: data from the German Antimicrobial Resistance Surveillance (ARS),http://aricjournal.biomedcentral.com/track/pdf/10.1186/s13756-019-0594-3
2,Dutch guideline for preventing nosocomial transmission of highly-resistant micro-organisms (HRMO) in long-term care facilities (LTCFs),http://aricjournal.biomedcentral.com/track/pdf/10.1186/s13756-019-0586-3
3,"Incidence of healthcare-associated infections in a tertiary hospital in Beijing, China: results from a real-time surveillance system",http://aricjournal.biomedcentral.com/track/pdf/10.1186/s13756-019-0582-7
4,Risk factors and outcomes in non-transplant patients with extended-spectrum beta-lactamase-producing Escherichia coli bacteremia: a retrospective study from 2013 to 2016,http://aricjournal.biomedcentral.com/track/pdf/10.1186/s13756-019-0599-y
5,Antimicrobial susceptibility and molecular characteristics of Mycoplasma pneumoniae isolates across different regions of China,http://aricjournal.biomedcentral.com/track/pdf/10.1186/s13756-019-0576-5
6,"Perception, attitude, knowledge and learning style preference on challenges of antimicrobial resistance and antimicrobial overuse among first year doctors in training and final year medical students",http://aricjournal.biomedcentral.com/track/pdf/10.1186/s13756-019-0597-0
7,Correction to: Lymphocytic choriomeningitis virus meningitis after needlestick injury: a case report,http://aricjournal.biomedcentral.com/track/pdf/10.1186/s13756-019-0600-9
8,blaNDM-5 carried by a hypervirulent Klebsiella pneumoniae with sequence type 29,http://aricjournal.biomedcentral.com/track/pdf/10.1186/s13756-019-0596-1
9,Efficacy of disinfectant-impregnated wipes used for surface disinfection in hospitals: a review,http://aricjournal.biomedcentral.com/track/pdf/10.1186/s13756-019-0595-2
10,Exploring healthcare providers’ mental models of the infection prevention “patient zone” - a concept mapping study,http://aricjournal.biomedcentral.com/track/pdf/10.1186/s13756-019-0593-4
11,Early-life gut microbiome modulation reduces the abundance of antibiotic-resistant bacteria,http://aricjournal.biomedcentral.com/track/pdf/10.1186/s13756-019-0583-6
12,Economic burden of antibiotic resistance in ESKAPE organisms: a systematic review,http://aricjournal.biomedcentral.com/track/pdf/10.1186/s13756-019-0590-7
