No.,Title,Link
1,Effects of tumor biobank storage on polysome stability,http://appliedcr.biomedcentral.com/track/pdf/10.1186/s41241-019-0077-0
2,Use of uracil-DNA glycosylase enzyme to reduce DNA-related artifacts from formalin-fixed and paraffin-embedded tissues in diagnostic routine,http://appliedcr.biomedcentral.com/track/pdf/10.1186/s41241-019-0075-2
3,Knowledge about mammography screening in Germany by education and migrant status – results of a cross-sectional study (InEMa),http://appliedcr.biomedcentral.com/track/pdf/10.1186/s41241-019-0076-1
4,Low p27kip1 expression in head and neck squamous cell carcinoma: association with risk factors and adverse outcomes,http://appliedcr.biomedcentral.com/track/pdf/10.1186/s41241-019-0074-3
5,Clinical outcome of sodium alginate therapy in radiation-induced pharyngeal mucositis: experience of a single Japanese institution,http://appliedcr.biomedcentral.com/track/pdf/10.1186/s41241-019-0073-4
6,The correlation between PER3 rs2640908 polymorphism and colorectal Cancer in the Japanese population,http://appliedcr.biomedcentral.com/track/pdf/10.1186/s41241-019-0072-5
7,PTEN loss in Gleason grade 7 prostate tumors exhibits intratumoral heterogeneity and is associated with unfavorable pathological features,http://appliedcr.biomedcentral.com/track/pdf/10.1186/s41241-018-0071-y
8,Prognostic utility of epidermal growth factor receptor (EGFR) expression in prostatic acinar adenocarcinoma,http://appliedcr.biomedcentral.com/track/pdf/10.1186/s41241-018-0069-5
9,High dose rate (HDR) brachytherapy in gynecologic cancer regression: a review of the literature,http://appliedcr.biomedcentral.com/track/pdf/10.1186/s41241-018-0070-z
10,Splicing isoform-specific functional genomic in cancer cells,http://appliedcr.biomedcentral.com/track/pdf/10.1186/s41241-018-0068-6
11,Use of interval-censored survival data as an alternative to Kaplan-Meier survival curves: studies of oral lesion occurrence in liver transplants and cancer recurrence,http://appliedcr.biomedcentral.com/track/pdf/10.1186/s41241-018-0067-7
12,"Physicians’ knowledge, perceived barriers, and practices regarding cancer pain management: a cross-sectional study from Palestine",http://appliedcr.biomedcentral.com/track/pdf/10.1186/s41241-018-0066-8
13,Language as a barrier to cancer clinical trial accrual: assessing consenting team knowledge and practices for cancer clinical trial consent among low English fluency patients,http://appliedcr.biomedcentral.com/track/pdf/10.1186/s41241-018-0065-9
