No.,Title,Link
1,Review of scoliosis-specific exercise methods used to correct adolescent idiopathic scoliosis,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-019-0060-9
2,Benefits and challenges with gamified multi-media physiotherapy case studies: a mixed method study,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-019-0059-2
3,Bringing context to balance: development of a reactive balance test within the injury prevention and return to sport domain,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-019-0057-4
4,Societá Italiana de Fisioterapia and the Physiotherapy Evidence Database (PEDro),http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-019-0058-3
5,Questioning the “SPIN and SNOUT” rule in clinical testing,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-019-0056-5
6,The validity of spatiotemporal gait analysis using dual laser range sensors: a cross-sectional study,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-019-0055-6
7,"Do alterations in muscle strength, flexibility, range of motion, and alignment predict lower extremity injury in runners: a systematic review",http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-019-0054-7
8,Can action observation modulate balance performance in healthy subjects?,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-018-0053-0
9,Which factors are associated with the functional recovery in patients undergoing endoprosthetic knee reconstruction following bone tumour resection? – A observational study,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-018-0052-1
10,Predictors of mobility domain of health-related quality of life after rehabilitation in Parkinson’s disease: a pilot study,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-018-0051-2
11,An ultrasonographic analysis of the activation patterns of abdominal muscles in children with spastic type cerebral palsy and in typically developing individuals: a comparative study,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-018-0048-x
12,Ethics reporting practices in randomized controlled trials of physical therapy interventions after stroke,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-018-0049-9
13,Towards an integrated clinical framework for patient with shoulder pain,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-018-0050-3
14,Exploring cued and non-cued motor imagery interventions in people with multiple sclerosis: a randomised feasibility trial and reliability study,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-018-0045-0
15,Rasch analysis of the patient-rated wrist evaluation questionnaire,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-018-0046-z
16,Mirror therapy for an adult with central post-stroke pain: a case report,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-018-0047-y
17,The necessary conditions of engagement for the therapeutic relationship in physiotherapy: an interpretive description study,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-018-0044-1
18,Physiotherapy for people with mental health problems in Sub-Saharan African countries: a systematic review,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-018-0043-2
19,Are they publishing? A descriptive cross-sectional profile and bibliometric analysis of the journal publication productivity of Italian physiotherapists,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-017-0042-8
20,Participation in physical activities for children with cerebral palsy: feasibility and effectiveness of physical activity on prescription,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-017-0041-9
21,How to diagnose cervicogenic dizziness,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-017-0040-x
22,Physiotherapy in upper abdominal surgery – what is current practice in Australia?,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-017-0039-3
23,Side alternating vibration training in patients with mitochondrial disease: a pilot study,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-017-0038-4
24,Effectiveness of three modes of kinetic-chain exercises on quadriceps muscle strength and thigh girth among individuals with knee osteoarthritis,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-017-0036-6
25,"Exploring barriers to accessing physiotherapy services for stroke patients at Tema general hospital, Ghana",http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-017-0037-5
26,Developing the content of a locomotor disability scale for adults in Bangladesh: a qualitative study,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-017-0035-7
27,Using Xbox kinect motion capture technology to improve clinical rehabilitation outcomes for balance and cardiovascular health in an individual with chronic TBI,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-017-0033-9
28,A survey of physicians and physiotherapists on physical activity promotion in Nigeria,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-017-0034-8
29,Depicting individual responses to physical therapist led chronic pain self-management support with pain science education and exercise in primary health care: multiple case studies,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-017-0032-x
30,Content validity and test-retest reliability of a low back pain questionnaire in Zimbabwean adolescents,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-017-0031-y
31,Hemodynamics and tissue oxygenation effects after increased in positive end-expiratory pressure in coronary artery bypass surgery,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0030-4
32,A therapist-focused knowledge translation intervention for improving patient adherence in musculoskeletal physiotherapy practice,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0029-x
33,"Combined treatment with paraffin, manual therapy, pegboard and splinting in a patient with post-traumatic stiff hand",http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0028-y
34,Measurement properties of the upright motor control test for adults with stroke: a systematic review,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0027-z
35,Implementation of the physical function ICU test tool in a resource constrained intensive care unit to promote early mobilisation of critically ill patients- a feasibility study,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0026-0
36,5th National Congress of the Italian Society of Physiotherapy,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0022-4
37,Use of social media among Italian physiotherapists: a new opportunity for the profession or an unfavorable trend toward guruism?,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0025-1
38,Patient-reported outcome measures for non-specific neck pain validated in the Italian-language: a systematic review,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0024-2
39,Consequences and management of neck pain by female office workers: results of a survey and clinical assessment,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0023-3
40,"A cross-sectional study investigating impressions and opinions of medical rehabilitation professionals on the effectiveness of the Ponseti method for treatment of clubfoot in Harare, Zimbabwe",http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0021-5
41,At discharge gait speed and independence of patients provides a challenges for rehabilitation after total joint arthroplasty: an observational study,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0020-6
42,Motor rehabilitation should be based on knowledge of motor control,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0019-z
43,Acknowledgement of manuscript reviewers 2015,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0018-0
44,Erratum to: Physical fitness of Ghanaian physiotherapists and its correlation with age and exercise engagement: a pilot study,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0017-1
45,Physical fitness of Ghanaian physiotherapists and its correlation with age and exercise engagement: a pilot study,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0016-2
46,Aerosol delivery practice in Italian Cystic Fibrosis centres: a national survey,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0015-3
47,Action observation training to improve motor function recovery: a systematic review,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-015-0013-x
48,Differences in personal and lifestyle characteristics among Zimbabwean high school adolescents with and without recurrent non-specific low back pain: a two part cross-sectional study,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-015-0014-9
49,Effects of walking on bilateral differences in spatial attention control: a cross-over design,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-015-0012-y
50,Interrater and intrarater reliability and minimal detectable change of the Wisconsin Gait Scale when used to examine videotaped gait in individuals post-stroke,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-015-0011-z
51,Review of scoliosis-specific exercise methods used to correct adolescent idiopathic scoliosis,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-019-0060-9
52,Benefits and challenges with gamified multi-media physiotherapy case studies: a mixed method study,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-019-0059-2
53,Bringing context to balance: development of a reactive balance test within the injury prevention and return to sport domain,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-019-0057-4
54,Societá Italiana de Fisioterapia and the Physiotherapy Evidence Database (PEDro),http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-019-0058-3
55,Questioning the “SPIN and SNOUT” rule in clinical testing,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-019-0056-5
56,The validity of spatiotemporal gait analysis using dual laser range sensors: a cross-sectional study,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-019-0055-6
57,"Do alterations in muscle strength, flexibility, range of motion, and alignment predict lower extremity injury in runners: a systematic review",http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-019-0054-7
58,Can action observation modulate balance performance in healthy subjects?,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-018-0053-0
59,Which factors are associated with the functional recovery in patients undergoing endoprosthetic knee reconstruction following bone tumour resection? – A observational study,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-018-0052-1
60,Predictors of mobility domain of health-related quality of life after rehabilitation in Parkinson’s disease: a pilot study,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-018-0051-2
61,An ultrasonographic analysis of the activation patterns of abdominal muscles in children with spastic type cerebral palsy and in typically developing individuals: a comparative study,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-018-0048-x
62,Ethics reporting practices in randomized controlled trials of physical therapy interventions after stroke,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-018-0049-9
63,Towards an integrated clinical framework for patient with shoulder pain,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-018-0050-3
64,Exploring cued and non-cued motor imagery interventions in people with multiple sclerosis: a randomised feasibility trial and reliability study,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-018-0045-0
65,Rasch analysis of the patient-rated wrist evaluation questionnaire,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-018-0046-z
66,Mirror therapy for an adult with central post-stroke pain: a case report,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-018-0047-y
67,The necessary conditions of engagement for the therapeutic relationship in physiotherapy: an interpretive description study,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-018-0044-1
68,Physiotherapy for people with mental health problems in Sub-Saharan African countries: a systematic review,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-018-0043-2
69,Are they publishing? A descriptive cross-sectional profile and bibliometric analysis of the journal publication productivity of Italian physiotherapists,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-017-0042-8
70,Participation in physical activities for children with cerebral palsy: feasibility and effectiveness of physical activity on prescription,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-017-0041-9
71,How to diagnose cervicogenic dizziness,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-017-0040-x
72,Physiotherapy in upper abdominal surgery – what is current practice in Australia?,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-017-0039-3
73,Side alternating vibration training in patients with mitochondrial disease: a pilot study,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-017-0038-4
74,Effectiveness of three modes of kinetic-chain exercises on quadriceps muscle strength and thigh girth among individuals with knee osteoarthritis,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-017-0036-6
75,"Exploring barriers to accessing physiotherapy services for stroke patients at Tema general hospital, Ghana",http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-017-0037-5
76,Developing the content of a locomotor disability scale for adults in Bangladesh: a qualitative study,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-017-0035-7
77,Using Xbox kinect motion capture technology to improve clinical rehabilitation outcomes for balance and cardiovascular health in an individual with chronic TBI,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-017-0033-9
78,A survey of physicians and physiotherapists on physical activity promotion in Nigeria,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-017-0034-8
79,Depicting individual responses to physical therapist led chronic pain self-management support with pain science education and exercise in primary health care: multiple case studies,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-017-0032-x
80,Content validity and test-retest reliability of a low back pain questionnaire in Zimbabwean adolescents,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-017-0031-y
81,Hemodynamics and tissue oxygenation effects after increased in positive end-expiratory pressure in coronary artery bypass surgery,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0030-4
82,A therapist-focused knowledge translation intervention for improving patient adherence in musculoskeletal physiotherapy practice,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0029-x
83,"Combined treatment with paraffin, manual therapy, pegboard and splinting in a patient with post-traumatic stiff hand",http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0028-y
84,Measurement properties of the upright motor control test for adults with stroke: a systematic review,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0027-z
85,Implementation of the physical function ICU test tool in a resource constrained intensive care unit to promote early mobilisation of critically ill patients- a feasibility study,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0026-0
86,5th National Congress of the Italian Society of Physiotherapy,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0022-4
87,Use of social media among Italian physiotherapists: a new opportunity for the profession or an unfavorable trend toward guruism?,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0025-1
88,Patient-reported outcome measures for non-specific neck pain validated in the Italian-language: a systematic review,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0024-2
89,Consequences and management of neck pain by female office workers: results of a survey and clinical assessment,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0023-3
90,"A cross-sectional study investigating impressions and opinions of medical rehabilitation professionals on the effectiveness of the Ponseti method for treatment of clubfoot in Harare, Zimbabwe",http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0021-5
91,At discharge gait speed and independence of patients provides a challenges for rehabilitation after total joint arthroplasty: an observational study,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0020-6
92,Motor rehabilitation should be based on knowledge of motor control,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0019-z
93,Acknowledgement of manuscript reviewers 2015,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0018-0
94,Erratum to: Physical fitness of Ghanaian physiotherapists and its correlation with age and exercise engagement: a pilot study,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0017-1
95,Physical fitness of Ghanaian physiotherapists and its correlation with age and exercise engagement: a pilot study,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0016-2
96,Aerosol delivery practice in Italian Cystic Fibrosis centres: a national survey,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-016-0015-3
97,Action observation training to improve motor function recovery: a systematic review,http://archivesphysiotherapy.biomedcentral.com/track/pdf/10.1186/s40945-015-0013-x
