No.,Title,Link
1,Attitude of primiparous women towards their preference for delivery method: a qualitative content analysis,http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0364-y
2,Prevalence and determinants of gestational diabetes mellitus in Africa based on the updated international diagnostic criteria: a systematic review and meta-analysis,http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0362-0
3,Perspectives of paddy workers regarding the use of sunscreen: a theory-based qualitative research,http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0361-1
4,EFSA’s toxicological assessment of aspartame: was it even-handedly trying to identify possible unreliable positives and unreliable negatives?,http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0355-z
5,Prevalence rate of undiagnosed tuberculosis in the community in Ethiopia from 2001 to 2014: systematic review and meta-analysis,http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0360-2
6,Proceedings of the Simulation Congress 2019,http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0359-8
7,"Evaluating carbapenem restriction practices at a private hospital in Manila, Philippines as a strategy for antimicrobial stewardship",http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0358-9
8,"Antenatal care and mothers’ education improved iron-folic acid adherence at Denbiya district health centers, Northwest Ethiopia: using pills count method",http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0356-y
9,"Characteristics of HPV-unvaccinated undergraduate health students in Switzerland, a cross sectional study",http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0348-y
10,Ability of the Nutri-Score front-of-pack nutrition label to discriminate the nutritional quality of foods in the German food market and consistency with nutritional recommendations,http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0357-x
11,The experience of motivation and adherence to group-based exercise of Norwegians aged 80 and more: a qualitative study,http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0354-0
12,Conceptualizing sexual and gender-based violence in European asylum reception centers,http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0351-3
13,"Design and evaluation of a coalition-led obesity initiative to promote healthy eating and physical activity in low-income, ethnically diverse communities: the Go! Austin/Vamos! Austin initiative",http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0350-4
14,"The impact of unconditional child cash grant on child malnutrition and its immediate and underlying causes in five districts of the Karnali Zone, Nepal – A trend analysis",http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0352-2
15,"Effects of a health education intervention on hypertension-related knowledge, prevention and self-care practices in Nigerian retirees: a quasi-experimental study",http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0349-x
16,An allied research paradigm for epidemiology research with Indigenous peoples,http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0353-1
17,The determinants of anti-diabetic medication adherence based on the experiences of patients with type 2 diabetes,http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0347-z
18,The development of an Android platform to undertake a discrete choice experiment in a low resource setting,http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0346-0
19,Occupational burnout and lifestyle in Kazakhstan cardiologists,http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0345-1
20,Habitual food consumption of the Belgian population in 2014-2015 and adherence to food-based dietary guidelines,http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0343-3
21,Nothing about me without me: why an EU health literacy strategy embracing the role of citizens and patients is needed,http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0342-4
22,"Letter to the editor regarding the article ‘individual and household risk factors of severe acute malnutrition among underfive children in Mao, Chad: a matched casecontrol study’",http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0336-2
23,"Letter to the editor regarding the comment by Gupta and Goswami about our article “individual and household risk factors of severe acute malnutrition among under-five children in Mao, Chad: a matched case-control study”",http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0344-2
24,Testing compliance to WHO guidelines for physical activity in Flanders: insights from time-use diaries,http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0341-5
25,The EMPCAN study: protocol of a population-based cohort study on the evolution of the socio-economic position of workers with cancer,http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0337-1
26,Self-evaluated anxiety in the Norwegian population: prevalence and associated factors,http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0338-0
27,Stable socioeconomic inequalities in ischaemic heart disease mortality during the economic crisis: a time trend analysis in 2 Spanish settings,http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0339-z
28,Factors influencing unmet need for family planning among Ghanaian married/union women: a multinomial mixed effects logistic regression modelling approach,http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0340-6
29,Doctoral School Day in Public Health,http://archpublichealth.biomedcentral.com/track/pdf/10.1186/s13690-019-0333-5
