No.,Title,Link
1,Respiratory viral infections and the risk of rheumatoid arthritis,http://arthritis-research.biomedcentral.com/track/pdf/10.1186/s13075-019-1977-9
2,CCR6+ group 3 innate lymphoid cells accumulate in inflamed joints in rheumatoid arthritis and produce Th17 cytokines,http://arthritis-research.biomedcentral.com/track/pdf/10.1186/s13075-019-1984-x
3,A patient-reported questionnaire developed in a German early arthritis cohort to assess periodontitis in patients with rheumatoid arthritis,http://arthritis-research.biomedcentral.com/track/pdf/10.1186/s13075-019-1982-z
4,Risk of immune-mediated inflammatory diseases in newly diagnosed ankylosing spondylitis patients: a population-based matched cohort study,http://arthritis-research.biomedcentral.com/track/pdf/10.1186/s13075-019-1980-1
5,Deletion at 2q14.3 is associated with worse response to TNF-α blockers in patients with rheumatoid arthritis,http://arthritis-research.biomedcentral.com/track/pdf/10.1186/s13075-019-1983-y
6,Integrating transcriptome-wide study and mRNA expression profiles yields novel insights into the biological mechanism of chondropathies,http://arthritis-research.biomedcentral.com/track/pdf/10.1186/s13075-019-1978-8
7,Curcumin attenuates MSU crystal-induced inflammation by inhibiting the degradation of IκBα and blocking mitochondrial damage,http://arthritis-research.biomedcentral.com/track/pdf/10.1186/s13075-019-1974-z
8,Prognostic factors for progression of osteoarthritis of the hip: a systematic review,http://arthritis-research.biomedcentral.com/track/pdf/10.1186/s13075-019-1969-9
9,Abrogation of lysophosphatidic acid receptor 1 ameliorates murine vasculitis,http://arthritis-research.biomedcentral.com/track/pdf/10.1186/s13075-019-1973-0
10,Efficacy and safety of intravenous golimumab plus methotrexate in patients with rheumatoid arthritis aged < 65 years and those ≥ 65 years of age,http://arthritis-research.biomedcentral.com/track/pdf/10.1186/s13075-019-1968-x
11,Clinical features of central nervous system infections and experience in differential diagnosis from neuropsychiatric lupus erythematosus in a cohort of 8491 patients with systemic lupus erythematosus,http://arthritis-research.biomedcentral.com/track/pdf/10.1186/s13075-019-1971-2
12,11β-HSD1 plays a critical role in trabecular bone loss associated with systemic glucocorticoid therapy,http://arthritis-research.biomedcentral.com/track/pdf/10.1186/s13075-019-1972-1
13,Alcohol consumption as a predictor of the progression of spinal structural damage in axial spondyloarthritis: data from the Catholic Axial Spondyloarthritis COhort (CASCO),http://arthritis-research.biomedcentral.com/track/pdf/10.1186/s13075-019-1970-3
14,Up-regulation of circulating microRNA-17 is associated with lumbar radicular pain following disc herniation,http://arthritis-research.biomedcentral.com/track/pdf/10.1186/s13075-019-1967-y
15,"Correction to: Urinary pro-thrombotic, anti-thrombotic, and fibrinolytic molecules as biomarkers of lupus nephritis",http://arthritis-research.biomedcentral.com/track/pdf/10.1186/s13075-019-1966-z
16,Tofacitinib facilitates the expansion of myeloid-derived suppressor cells and ameliorates interstitial lung disease in SKG mice,http://arthritis-research.biomedcentral.com/track/pdf/10.1186/s13075-019-1963-2
17,"Comparison of baricitinib, upadacitinib, and tofacitinib mediated regulation of cytokine signaling in human leukocyte subpopulations",http://arthritis-research.biomedcentral.com/track/pdf/10.1186/s13075-019-1964-1
18,Therapeutic glucocorticoids prevent bone loss but drive muscle wasting when administered in chronic polyarthritis,http://arthritis-research.biomedcentral.com/track/pdf/10.1186/s13075-019-1962-3
19,"Proteomic and histopathological characterisation of sicca subjects and primary Sjögren’s syndrome patients reveals promising tear, saliva and extracellular vesicle disease biomarkers",http://arthritis-research.biomedcentral.com/track/pdf/10.1186/s13075-019-1961-4
20,"Local ice cryotherapy decreases synovial interleukin 6, interleukin 1β, vascular endothelial growth factor, prostaglandin-E2, and nuclear factor kappa B p65 in human knee arthritis: a controlled study",http://arthritis-research.biomedcentral.com/track/pdf/10.1186/s13075-019-1965-0
21,Bio-optimized Curcuma longa extract is efficient on knee osteoarthritis pain: a double-blind multicenter randomized placebo controlled three-arm study,http://arthritis-research.biomedcentral.com/track/pdf/10.1186/s13075-019-1960-5
22,Disease interception with interleukin-17 inhibition in high-risk psoriasis patients with subclinical joint inflammation—data from the prospective IVEPSA study,http://arthritis-research.biomedcentral.com/track/pdf/10.1186/s13075-019-1957-0
23,Smoking status and cause-specific discontinuation of tumour necrosis factor inhibitors in axial spondyloarthritis,http://arthritis-research.biomedcentral.com/track/pdf/10.1186/s13075-019-1958-z
24,"Urinary pro-thrombotic, anti-thrombotic, and fibrinolytic molecules as biomarkers of lupus nephritis",http://arthritis-research.biomedcentral.com/track/pdf/10.1186/s13075-019-1959-y
25,Differential effects of specific cathepsin S inhibition in biocompartments from patients with primary Sjögren syndrome,http://arthritis-research.biomedcentral.com/track/pdf/10.1186/s13075-019-1955-2
