No.,Title,Link
1,Epidemiology and utilization of primary health care services in Qatar by asthmatic children 5–12 years old: secondary data analysis 2016–2017,http://asthmarp.biomedcentral.com/track/pdf/10.1186/s40733-019-0050-4
2,Is asthma in the elderly different? Functional and clinical characteristics of asthma in individuals aged 65 years and older,http://asthmarp.biomedcentral.com/track/pdf/10.1186/s40733-019-0049-x
3,Factors associated with exacerbations among adults with asthma according to electronic health record data,http://asthmarp.biomedcentral.com/track/pdf/10.1186/s40733-019-0048-y
4,What is safe enough - asthma in pregnancy - a review of current literature and recommendations,http://asthmarp.biomedcentral.com/track/pdf/10.1186/s40733-018-0046-5
5,Biomarkers in asthma: state of the art,http://asthmarp.biomedcentral.com/track/pdf/10.1186/s40733-018-0047-4
6,Exhaled biomarkers in childhood asthma: old and new approaches,http://asthmarp.biomedcentral.com/track/pdf/10.1186/s40733-018-0045-6
7,Assessment of predictors for acute asthma attack in asthmatic patients visiting an Ethiopian hospital: are the potential factors still a threat?,http://asthmarp.biomedcentral.com/track/pdf/10.1186/s40733-018-0044-7
8,Effect of adjusting the combination of budesonide/formoterol on the alleviation of asthma symptoms,http://asthmarp.biomedcentral.com/track/pdf/10.1186/s40733-018-0043-8
9,"Associations of physical activity with childhood asthma, a population study based on the WHO - health behaviour in school-aged children survey",http://asthmarp.biomedcentral.com/track/pdf/10.1186/s40733-018-0042-9
10,Clinical characteristics and comorbidities of elderly asthmatics who attend allergy clinics,http://asthmarp.biomedcentral.com/track/pdf/10.1186/s40733-018-0041-x
11,"Single nucleotide polymorphisms in asthma candidate genes TBXA2R, ADAM33 FCER1B and ORMDL3 in Pakistani asthmatics a case control study",http://asthmarp.biomedcentral.com/track/pdf/10.1186/s40733-018-0039-4
12,Inhalation of hydrogen gas attenuates airway inflammation and oxidative stress in allergic asthmatic mice,http://asthmarp.biomedcentral.com/track/pdf/10.1186/s40733-018-0040-y
13,Assessment of knowledge and education relating to asthma during pregnancy among women of childbearing age,http://asthmarp.biomedcentral.com/track/pdf/10.1186/s40733-017-0038-x
14,Microbiome and asthma,http://asthmarp.biomedcentral.com/track/pdf/10.1186/s40733-017-0037-y
15,Identifying the hidden burden of allergic rhinitis (AR) in community pharmacy: a global phenomenon,http://asthmarp.biomedcentral.com/track/pdf/10.1186/s40733-017-0036-z
16,"Non adherence to inhalational medications and associated factors among patients with asthma in a referral hospital in Ethiopia, using validated tool TAI",http://asthmarp.biomedcentral.com/track/pdf/10.1186/s40733-017-0035-0
17,Ambient ozone and asthma hospital admissions in Texas: a time-series analysis,http://asthmarp.biomedcentral.com/track/pdf/10.1186/s40733-017-0034-1
18,Associations between serum 25(OH)D concentrations and prevalent asthma among children living in communities with differing levels of urbanization: a cross-sectional study,http://asthmarp.biomedcentral.com/track/pdf/10.1186/s40733-017-0033-2
19,Asthma: epidemiology of disease control in Latin America – short review,http://asthmarp.biomedcentral.com/track/pdf/10.1186/s40733-017-0032-3
20,"Asthma in the elderly: a double-blind, placebo-controlled study of the effect of montelukast",http://asthmarp.biomedcentral.com/track/pdf/10.1186/s40733-017-0031-4
21,Gender-specific determinants of asthma among U.S. adults,http://asthmarp.biomedcentral.com/track/pdf/10.1186/s40733-017-0030-5
22,Asthma costs and social impact,http://asthmarp.biomedcentral.com/track/pdf/10.1186/s40733-016-0029-3
23,Preacutionary labelling of cross-reactive foods: The case of rapeseed,http://asthmarp.biomedcentral.com/track/pdf/10.1186/s40733-016-0028-4
24,Manifesto on small airway involvement and management in asthma and chronic obstructive pulmonary disease: an Interasma (Global Asthma Association - GAA) and World Allergy Organization (WAO) document endorsed by Allergic Rhinitis and its Impact on Asthma (ARIA) and Global Allergy and Asthma European Network (GA2LEN),http://asthmarp.biomedcentral.com/track/pdf/10.1186/s40733-016-0027-5
25,Asthma phenotypes: the intriguing selective intervention with Montelukast,http://asthmarp.biomedcentral.com/track/pdf/10.1186/s40733-016-0026-6
26,The management of asthmatic smokers,http://asthmarp.biomedcentral.com/track/pdf/10.1186/s40733-016-0025-7
27,Potential of molecular based diagnostics and its impact on allergen immunotherapy,http://asthmarp.biomedcentral.com/track/pdf/10.1186/s40733-016-0024-8
