No.,Title,Link
1,"Brain atrophy in multiple sclerosis: mechanisms, clinical relevance and treatment options",http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1186/s13317-019-0117-5
2,The clinical significance of atypical indirect immunofluorescence patterns on primate cerebellum in paraneoplastic antibody screening,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1186/s13317-019-0116-6
3,A new M23-based ELISA assay for anti-aquaporin 4 autoantibodies: diagnostic accuracy and clinical correlation,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1186/s13317-019-0115-7
4,Neutrophil/lymphocyte ratio and lymphocyte/monocyte ratio in ulcerative colitis as non-invasive biomarkers of disease activity and severity,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1186/s13317-019-0114-8
5,Anti-β2-glycoprotein I and anti-phosphatidylserine/prothrombin antibodies exert similar pro-thrombotic effects in peripheral blood monocytes and endothelial cells,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1186/s13317-019-0113-9
6,Association of HLA-B27 and Behcet’s disease: a systematic review and meta-analysis,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1186/s13317-019-0112-x
7,Protective effect of TSLP and IL-33 cytokines in ulcerative colitis,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1186/s13317-019-0110-z
8,Regulatory B and T lymphocytes in multiple sclerosis: friends or foes?,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1007/s13317-018-0109-x
9,Performance analysis of automated evaluation of antinuclear antibody indirect immunofluorescent tests in a routine setting,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1007/s13317-018-0108-y
10,Remission of aggressive autoimmune disease (dermatomyositis) with removal of infective jaw pathology and ozone therapy: review and case report,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1007/s13317-018-0107-z
11,Anti-phospholipid IgG antibodies detected by line immunoassay differentiate patients with anti-phospholipid syndrome and other autoimmune diseases,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1007/s13317-018-0106-0
12,Rhabdomyolysis secondary to systemic lupus erythematosus,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1007/s13317-018-0105-1
13,Isolated acute lupus pneumonitis as the initial presentation of systemic lupus erythematosus in an 8-year-old girl,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1007/s13317-018-0104-2
14,Diagnostic accuracy of a new fluoroenzyme immunoassay for the detection of TSH receptor autoantibodies in Graves’ disease,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1007/s13317-018-0102-4
15,Platelet-activating factor acetylhydrolase in primary antiphospholipid syndrome,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1007/s13317-018-0103-3
16,Role of vitamin D deficiency in systemic lupus erythematosus incidence and aggravation,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1007/s13317-017-0101-x
17,Next-generation anti-CD20 monoclonal antibodies in autoimmune disease treatment,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1007/s13317-017-0100-y
18,"HLA-DQ2 and -DQ8 haplotypes frequency and diagnostic utility in celiac disease patients of Gaza strip, Palestine",http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1007/s13317-017-0099-0
19,Personalized medicine in rheumatology: the paradigm of serum autoantibodies,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1007/s13317-017-0098-1
20,Chemiluminescent immunoassay technology: what does it change in autoantibody detection?,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1007/s13317-017-0097-2
21,Definition of the upper reference limit for thyroglobulin antibodies according to the National Academy of Clinical Biochemistry guidelines: comparison of eleven different automated methods,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1007/s13317-017-0096-3
22,Induction of IL-10 cytokine and the suppression of T cell proliferation by specific peptides from red cell band 3 and in vivo effects of these peptides on autoimmune hemolytic anemia in NZB mice,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1007/s13317-017-0095-4
23,A case of sarcoidosis with isolated hepatosplenic onset and development of inflammatory bowel disease during recovery stage,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1007/s13317-017-0094-5
24,Exploring the plasmatic platelet-activating factor acetylhydrolase activity in patients with anti-phospholipid antibodies,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1007/s13317-017-0092-7
25,The universe of ANA testing: a case for point-of-care ANA testing,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1007/s13317-017-0093-6
26,Analysis of DFS70 pattern and impact on ANA screening using a novel HEp-2 ELITE/DFS70 knockout substrate,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1007/s13317-017-0091-8
27,Structure and activation of the TSH receptor transmembrane domain,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1007/s13317-016-0090-1
28,Detection of autoantibodies to DSF70/LEDGFp75 in Mexican Hispanics using multiple complementary assay platforms,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1007/s13317-016-0089-7
29,"Development and evaluation of a standardized ELISA for the determination of autoantibodies against cN-1A (Mup44, NT5C1A) in sporadic inclusion body myositis",http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1007/s13317-016-0088-8
30,Anti-rods/rings autoantibody seropositivity does not affect response to telaprevir treatment for chronic hepatitis C infection,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1007/s13317-016-0087-9
31,Intraepithelial lymphocytes subsets in different forms of celiac disease,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1007/s13317-016-0085-y
32,Infections as a cause of autoimmune rheumatic diseases,http://autoimmunhighlights.biomedcentral.com/track/pdf/10.1007/s13317-016-0086-x
