No.,Title,Link
1,"Population dynamics and habitat use of the Black-necked Crane (Grus nigricollis) in the Yarlung Tsangpo River basin, Tibet, China",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0170-9
2,Disturbance increases high tide travel distance of a roosting shorebird but only marginally affects daily energy expenditure,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0171-8
3,A global consistent positive effect of urban green area size on bird richness,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0168-3
4,Size matters: wintering ducks stay longer and use fewer habitats on largest Chinese lakes,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0167-4
5,Migration routes and strategies of Grey Plovers (Pluvialis squatarola) on the East Atlantic Flyway as revealed by satellite tracking,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0166-5
6,Combined effects of habitat and interspecific interaction define co-occurrence patterns of sympatric Galliformes,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0169-2
7,Function of the uropygial gland in eiders (Somateria mollissima),http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0163-8
8,Diel and seasonal patterns of variation in the singing behaviour of Savannah Sparrows (Passerculus sandwichensis),http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0165-6
9,Spatiotemporal distribution of seasonal bird assemblages on land-bridge islands: linking dynamic and static views of metacommunities,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0164-7
10,"Egg laying and incubation rhythm of the Chinese Grouse (Tetrastes sewerzowi) at Lianhuashan, Gansu, China",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0161-x
11,Multispecies hybridization in birds,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0159-4
12,"Using remotely sensed and climate data to predict the current and potential future geographic distribution of a bird at multiple scales: the case of Agelastes meleagrides, a western African forest endemic",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0160-y
13,"Bird diversity and waterbird habitat preferences in relation to wetland restoration at Dianchi Lake, south-west China",http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0162-9
14,Spring migration duration exceeds that of autumn migration in Far East Asian Greater White-fronted Geese (Anser albifrons),http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0157-6
15,Is male condition corrected with song features in Dusky Warblers (Phylloscopus fuscatus),http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0158-5
16,Geographical location affects size and materials used in the construction of European Pied Flycatcher (Ficedula hypoleuca) nests,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0156-7
17,Effects of capture and captivity on plasma corticosterone and metabolite levels in breeding Eurasian Tree Sparrows,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0155-8
18,Multi-species habitat models highlight the key importance of flooded reedbeds for inland wetland birds: implications for management and conservation,http://avianres.biomedcentral.com/track/pdf/10.1186/s40657-019-0154-9
