No.,Title,Link
1,Lateral femoral cutaneous nerve block with different volumes of Ropivacaine: a randomized trial in healthy volunteers,http://bmcanesthesiol.biomedcentral.com/track/pdf/10.1186/s12871-019-0833-4
2,"A small dose of remifentanil pretreatment suppresses sufentanil-induced cough during general anesthesia induction: a randomized, double-blind, placebo-controlled trial",http://bmcanesthesiol.biomedcentral.com/track/pdf/10.1186/s12871-019-0836-1
3,A comparison between the Disposcope endoscope and fibreoptic bronchoscope for nasotracheal intubation: a randomized controlled trial,http://bmcanesthesiol.biomedcentral.com/track/pdf/10.1186/s12871-019-0834-3
4,Epidural analgesia and avoidance of blood transfusion are associated with reduced mortality in patients with postoperative pulmonary complications following thoracotomic esophagectomy: a retrospective cohort study of 335 patients,http://bmcanesthesiol.biomedcentral.com/track/pdf/10.1186/s12871-019-0832-5
5,"Impact of brief prewarming on anesthesia-related core-temperature drop, hemodynamics, microperfusion and postoperative ventilation in cytoreductive surgery of ovarian cancer: a randomized trial",http://bmcanesthesiol.biomedcentral.com/track/pdf/10.1186/s12871-019-0828-1
6,Failure of reversion of neuromuscular block with sugammadex in patient with myasthenia gravis: case report and brief review of literature,http://bmcanesthesiol.biomedcentral.com/track/pdf/10.1186/s12871-019-0829-0
7,"Palonosetron versus ondansetron for prevention of nausea and vomiting after total abdominal hysterectomy under spinal anesthesia with intrathecal morphine: a double-blind, randomized controlled trial",http://bmcanesthesiol.biomedcentral.com/track/pdf/10.1186/s12871-019-0830-7
8,Effect of neck extension on the advancement of tracheal tubes from the nasal cavity to the oropharynx in nasotracheal intubation: a randomized controlled trial,http://bmcanesthesiol.biomedcentral.com/track/pdf/10.1186/s12871-019-0831-6
9,"Comparison of the effect of sevoflurane or propofol anesthesia on the regional cerebral oxygen saturation in patients undergoing carotid endarterectomy: a prospective, randomized controlled study",http://bmcanesthesiol.biomedcentral.com/track/pdf/10.1186/s12871-019-0820-9
10,Effects of a metabolic optimized fast track concept (MOFA) on bowel function and recovery after surgery in patients undergoing elective colon or liver resection: a randomized controlled trial,http://bmcanesthesiol.biomedcentral.com/track/pdf/10.1186/s12871-019-0823-6
