No.,Title,Link
1,Application of WST-8 based colorimetric NAD(P)H detection for quantitative dehydrogenase assays,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-019-0108-1
2,Association of TM6SF2 rs58542926 gene polymorphism with the risk of non-alcoholic fatty liver disease and colorectal adenoma in Chinese Han population,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-019-0106-3
3,The active role of the transcription factor Sp1 in NFATc2-mediated gene regulation in pancreatic cancer,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-019-0105-4
4,Role of the highly conserved G68 residue in the yeast phosphorelay protein Ypd1: implications for interactions between histidine phosphotransfer (HPt) and response regulator proteins,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-019-0104-5
5,Up-regulation of DcR3 in microbial toxins-stimulated HUVECs involves NF-κB signalling,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-018-0102-z
6,Soluble expression of recombinant midgut zymogen (native propeptide) proteases from the Aedes aegypti Mosquito Utilizing E. coli as a host,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-018-0101-0
7,Identification of the major diacylglycerol acyltransferase mRNA in mouse adipocytes and macrophages,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-018-0103-y
8,Purification and characterization of cysteine protease from miswak Salvadora persica,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-018-0100-1
9,Effect of IAPP on the proteome of cultured Rin-5F cells,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-018-0099-3
10,"Structure and function of a lignostilbene-α,β-dioxygenase orthologue from Pseudomonas brassicacearum",http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-018-0098-4
11,Simple spectrophotometric assay for measuring catalase activity in biological tissues,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-018-0097-5
12,Establishment of a detection assay for DNA endonuclease activity and its application in the screening and prognosis of malignant lymphoma,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-018-0096-6
13,Isolation of quercetin and mandelic acid from Aesculus indica fruit and their biological activities,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-018-0095-7
14,Purification and characterization of α-amylase from Trichoderma pseudokoningii,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-018-0094-8
15,Identification and characterization of smallest pore-forming protein in the cell wall of pathogenic Corynebacterium urealyticum DSM 7109,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-018-0093-9
16,Characterization of association of human mitochondrial lysyl-tRNA synthetase with HIV-1 Pol and tRNA3Lys,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-018-0092-x
17,Feruloyl esterase immobilization in mesoporous silica particles and characterization in hydrolysis and transesterification,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-018-0091-y
18,Characterization of sulfhydryl oxidase from Aspergillus tubingensis,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-017-0090-4
19,Glycyl-alanyl-histidine protects PC12 cells against hydrogen peroxide toxicity,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-017-0089-x
20,Antiproliferative factor (APF) binds specifically to sites within the cytoskeleton-associated protein 4 (CKAP4) extracellular domain,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-017-0088-y
21,Use of a special Brazilian red-light emitting railroad worm Luciferase in bioassays of NEK7 protein Kinase and Creatine Kinase,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-017-0087-z
22,"Dacin, one metalloproteinase from Deinagkistrodon acutus venom inhibiting contraction of mouse ileum muscle",http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-017-0086-0
23,Serendipitous discovery of light-induced (In Situ) formation of an Azo-bridged dimeric sulfonated naphthol as a potent PTP1B inhibitor,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-017-0083-3
24,"Chemical and structural characterization of α-N-acetylgalactosaminidase I and II from starfish, asterina amurensis",http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-017-0085-1
25,Structural insight into the inactivation of Mycobacterium tuberculosis non-classical transpeptidase LdtMt2 by biapenem and tebipenem,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-017-0082-4
26,Structural similarities and functional differences clarify evolutionary relationships between tRNA healing enzymes and the myelin enzyme CNPase,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-017-0084-2
27,CrMAPK3 regulates the expression of iron-deficiency-responsive genes in Chlamydomonas reinhardtii,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-017-0081-5
28,Binding of smoothelin-like 1 to tropomyosin and calmodulin is mutually exclusive and regulated by phosphorylation,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-017-0080-6
29,Increased enzymatic hydrolysis of sugarcane bagasse by a novel glucose- and xylose-stimulated β-glucosidase from Anoxybacillus flavithermus subsp. yunnanensis E13T,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-017-0079-z
30,Interactions of histatin-3 and histatin-5 with actin,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-017-0078-0
31,Systematic substitutions at BLIP position 50 result in changes in binding specificity for class A β-lactamases,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-017-0077-1
32,Copper chelation and interleukin-6 proinflammatory cytokine effects on expression of different proteins involved in iron metabolism in HepG2 cell line,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-017-0076-2
33,Knockdown of GGCT inhibits cell proliferation and induces late apoptosis in human gastric cancer,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-016-0075-8
34,Identification of replication-dependent and replication-independent linker histone complexes: Tpr specifically promotes replication-dependent linker histone stability,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-016-0074-9
35,Avoiding false discovery in biomarker research,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-016-0073-x
36,Computational studies of human class V alcohol dehydrogenase - the odd sibling,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-016-0072-y
37,Effect of mutations to amino acid A301 and F361 in thermostability and catalytic activity of the β-galactosidase from Bacillus subtilis VTCC-DVN-12-01,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-016-0070-0
38,Sustained activation of mTORC1 in macrophages increases AMPKα-dependent autophagy to maintain cellular homeostasis,http://bmcbiochem.biomedcentral.com/track/pdf/10.1186/s12858-016-0069-6
