No.,Title,Link
1,Determination of growth-coupling strategies and their underlying principles,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2946-7
2,Measuring rank robustness in scored protein interaction networks,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3036-6
3,Reverse active learning based atrous DenseNet for pathological image classification,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2979-y
4,Epi-GTBN: an approach of epistasis mining based on genetic Tabu algorithm and Bayesian network,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3022-z
5,Fine-grained alignment of cryo-electron subtomograms based on MPI parallel optimization,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3003-2
6,Three-dimensional tumor growth in time-varying chemical fields: a modeling framework and theoretical study,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2997-9
7,An equivalence approach to the integrative analysis of feature lists,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3008-x
8,fagin: synteny-based phylostratigraphy and finer classification of young genes,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3023-y
9,Correction to: The Kendrick modelling platform: language abstractions and tools for epidemiology,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2986-z
10,Target-small decoy search strategy for false discovery rate estimation,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3034-8
11,Influence of batch effect correction methods on drug induced differential gene expression profiles,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3028-6
12,Shared data science infrastructure for genomics data,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2967-2
13,Measuring similarity between gene interaction profiles,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3024-x
14,Prediction of regulatory targets of alternative isoforms of the epidermal growth factor receptor in a glioblastoma cell line,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2944-9
15,An elastic-net logistic regression approach to generate classifiers and gene signatures for types of immune cells and T helper cell subsets,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2994-z
16,VOLARE: visual analysis of disease-associated microbiome-immune system interplay,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3021-0
17,A model of pulldown alignments from SssI-treated DNA improves DNA methylation prediction,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3011-2
18,Mapping anatomical related entities to human body parts based on wikipedia in discharge summaries,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3005-0
19,VIST - a Variant-Information Search Tool for precision oncology,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2958-3
20,RF_Purify: a novel tool for comprehensive analysis of tumor-purity in methylation array data based on random forest regression,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3014-z
21,Multitask learning for biomedical named entity recognition with cross-sharing structure,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3000-5
22,Multiple-kernel learning for genomic data mining and prediction,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2992-1
23,Indirect association and ranking hypotheses for literature based discovery,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2989-9
24,FQStat: a parallel architecture for very high-speed assessment of sequencing quality metrics,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3015-y
25,Additional Neural Matrix Factorization model for computational drug repositioning,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2983-2
26,UNIPred-Web: a web tool for the integration and visualization of biomolecular networks for protein function prediction,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2959-2
27,Yanagi: Fast and interpretable segment-based alternative splicing and gene expression analysis,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2947-6
28,LSX: automated reduction of gene-specific lineage evolutionary rate heterogeneity for multi-gene phylogeny inference,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3020-1
29,Estimating statistical significance of local protein profile-profile alignments,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2913-3
30,Guide for library design and bias correction for large-scale transcriptome studies using highly multiplexed RNAseq methods,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3017-9
31,DynOVis: a web tool to study dynamic perturbations for capturing dose-over-time effects in biological networks,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2995-y
32,Novel deep learning model for more accurate prediction of drug-drug interaction effects,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3013-0
33,DROPA: DRIP-seq optimized peak annotator,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3009-9
34,LncRNA HOTAIR-mediated Wnt/β-catenin network modeling to predict and validate therapeutic targets for cartilage damage,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2981-4
35,Stochastic Lanczos estimation of genomic variance components for linear mixed-effects models,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2978-z
36,HIV drug resistance prediction with weighted categorical kernel functions,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2991-2
37,IRESpy: an XGBoost model for prediction of internal ribosome entry sites,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2999-7
38,Improving prediction of phenotypic drug response on cancer cell lines using deep convolutional network,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2910-6
39,ROBOT: A Tool for Automating Ontology Workflows,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3002-3
40,"Magic-BLAST, an accurate RNA-seq aligner for long and short reads",http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2996-x
41,Prediction and interpretation of miRNA-disease associations based on miRNA target genes using canonical correlation analysis,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2998-8
42,Soybean-VCF2Genomes: a database to identify the closest accession in soybean germplasm collection,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2859-5
43,Drug repurposing with network reinforcement,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2858-6
44,Pathogenic Protist Transmembranome database (PPTdb): a web-based platform for searching and analysis of protist transmembrane proteins,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2857-7
45,PS-MCL: parallel shotgun coarsened Markov clustering of protein interaction networks,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2856-8
46,Chemical-induced disease relation extraction via attention-based distant supervision,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2884-4
47,JPhyloIO: a Java library for event-based reading and writing of different phylogenetic file formats through a common interface,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2982-3
48,Visualizing complex feature interactions and feature sharing in genomic deep neural networks,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2957-4
49,FunFam protein families improve residue level molecular function prediction,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2988-x
50,The MultiOmics Explainer: explaining omics results in the context of a pathway/genome database,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2971-6
51,Determination of growth-coupling strategies and their underlying principles,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2946-7
52,Measuring rank robustness in scored protein interaction networks,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3036-6
53,Reverse active learning based atrous DenseNet for pathological image classification,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2979-y
54,Epi-GTBN: an approach of epistasis mining based on genetic Tabu algorithm and Bayesian network,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3022-z
55,Fine-grained alignment of cryo-electron subtomograms based on MPI parallel optimization,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3003-2
56,Three-dimensional tumor growth in time-varying chemical fields: a modeling framework and theoretical study,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2997-9
57,An equivalence approach to the integrative analysis of feature lists,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3008-x
58,fagin: synteny-based phylostratigraphy and finer classification of young genes,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3023-y
59,Correction to: The Kendrick modelling platform: language abstractions and tools for epidemiology,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2986-z
60,Target-small decoy search strategy for false discovery rate estimation,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3034-8
61,Influence of batch effect correction methods on drug induced differential gene expression profiles,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3028-6
62,Shared data science infrastructure for genomics data,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2967-2
63,Measuring similarity between gene interaction profiles,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3024-x
64,Prediction of regulatory targets of alternative isoforms of the epidermal growth factor receptor in a glioblastoma cell line,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2944-9
65,An elastic-net logistic regression approach to generate classifiers and gene signatures for types of immune cells and T helper cell subsets,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2994-z
66,VOLARE: visual analysis of disease-associated microbiome-immune system interplay,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3021-0
67,A model of pulldown alignments from SssI-treated DNA improves DNA methylation prediction,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3011-2
68,Mapping anatomical related entities to human body parts based on wikipedia in discharge summaries,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-3005-0
69,VIST - a Variant-Information Search Tool for precision oncology,http://bmcbioinformatics.biomedcentral.com/track/pdf/10.1186/s12859-019-2958-3
