No.,Title,Link
1,Metagenomes and metatranscriptomes shed new light on the microbial-mediated sulfur cycle in a Siberian soda lake,http://bmcbiol.biomedcentral.com/track/pdf/10.1186/s12915-019-0688-7
2,Functional annotation of the cattle genome through systematic discovery and characterization of chromatin states and butyrate-induced variations,http://bmcbiol.biomedcentral.com/track/pdf/10.1186/s12915-019-0687-8
3,Analysis of the genetically tractable crustacean Parhyale hawaiensis reveals the organisation of a sensory system for low-resolution vision,http://bmcbiol.biomedcentral.com/track/pdf/10.1186/s12915-019-0676-y
4,Sodium channels enable fast electrical signaling and regulate phagocytosis in the retinal pigment epithelium,http://bmcbiol.biomedcentral.com/track/pdf/10.1186/s12915-019-0681-1
5,"Rapid identification of species, sex and maturity by mass spectrometric analysis of animal faeces",http://bmcbiol.biomedcentral.com/track/pdf/10.1186/s12915-019-0686-9
6,"MARPLE, a point-of-care, strain-level disease diagnostics and surveillance tool for complex fungal pathogens",http://bmcbiol.biomedcentral.com/track/pdf/10.1186/s12915-019-0684-y
7,Synthetic Biology Goes Cell-Free,http://bmcbiol.biomedcentral.com/track/pdf/10.1186/s12915-019-0685-x
8,Ancient role of vasopressin/oxytocin-type neuropeptides as regulators of feeding revealed in an echinoderm,http://bmcbiol.biomedcentral.com/track/pdf/10.1186/s12915-019-0680-2
9,Mechanistic interpretation of non-coding variants for discovering transcriptional regulators of drug response,http://bmcbiol.biomedcentral.com/track/pdf/10.1186/s12915-019-0679-8
10,FoxH1 represses miR-430 during early embryonic development of zebrafish via non-canonical regulation,http://bmcbiol.biomedcentral.com/track/pdf/10.1186/s12915-019-0683-z
11,Viral hijacking of cellular metabolism,http://bmcbiol.biomedcentral.com/track/pdf/10.1186/s12915-019-0678-9
12,mTORC1/AMPK responses define a core gene set for developmental cell fate switching,http://bmcbiol.biomedcentral.com/track/pdf/10.1186/s12915-019-0673-1
13,Exploiting metabolic vulnerabilities for personalized therapy in acute myeloid leukemia,http://bmcbiol.biomedcentral.com/track/pdf/10.1186/s12915-019-0670-4
14,RNA processing errors triggered by cadmium and integrator complex disruption are signals for environmental stress,http://bmcbiol.biomedcentral.com/track/pdf/10.1186/s12915-019-0675-z
