No.,Title,Link
1,User perspective and higher cognitive task-loads influence movement and performance in immersive training environments,http://bmcbiomedeng.biomedcentral.com/track/pdf/10.1186/s42490-019-0021-0
2,Treadmill training augmented with real-time visualisation feedback and function electrical stimulation for gait rehabilitation after stroke: a feasibility study,http://bmcbiomedeng.biomedcentral.com/track/pdf/10.1186/s42490-019-0020-1
3,Telemetry-controlled simultaneous stimulation-and-recording device (SRD) to study interhemispheric cortical circuits in rat primary somatosensory (SI) cortex,http://bmcbiomedeng.biomedcentral.com/track/pdf/10.1186/s42490-019-0019-7
4,Perfusion culture maintained with an air-liquid interface to stimulate epithelial cell organization in renal organoids in vitro,http://bmcbiomedeng.biomedcentral.com/track/pdf/10.1186/s42490-019-0017-9
5,Skin substitutes are more potent than dermal or epidermal substitutes in stimulating endothelial cell sprouting,http://bmcbiomedeng.biomedcentral.com/track/pdf/10.1186/s42490-019-0018-8
6,Overcoming the limitations of locally administered oncolytic virotherapy,http://bmcbiomedeng.biomedcentral.com/track/pdf/10.1186/s42490-019-0016-x
7,"A high content, phenotypic ‘scar-in-a-jar’ assay for rapid quantification of collagen fibrillogenesis using disease-derived pulmonary fibroblasts",http://bmcbiomedeng.biomedcentral.com/track/pdf/10.1186/s42490-019-0014-z
8,Osteogenic potential of heterogeneous and CD271-enriched mesenchymal stromal cells cultured on apatite-wollastonite 3D scaffolds,http://bmcbiomedeng.biomedcentral.com/track/pdf/10.1186/s42490-019-0015-y
9,Iterative Bayesian denoising based on variance stabilization using Contourlet Transform with Sharp Frequency Localization: application to EFTEM images,http://bmcbiomedeng.biomedcentral.com/track/pdf/10.1186/s42490-019-0013-0
10,Robots in laparoscopic surgery: current and future status,http://bmcbiomedeng.biomedcentral.com/track/pdf/10.1186/s42490-019-0012-1
11,A biomechanical test model for evaluating osseous and osteochondral tissue adhesives,http://bmcbiomedeng.biomedcentral.com/track/pdf/10.1186/s42490-019-0011-2
12,Analysis of a poly(ε-decalactone)/silver nanowire composite as an electrically conducting neural interface biomaterial,http://bmcbiomedeng.biomedcentral.com/track/pdf/10.1186/s42490-019-0010-3
13,Image improvement in linear-array photoacoustic imaging using high resolution coherence factor weighting technique,http://bmcbiomedeng.biomedcentral.com/track/pdf/10.1186/s42490-019-0009-9
14,Compressed sensing MRI: a review from signal processing perspective,http://bmcbiomedeng.biomedcentral.com/track/pdf/10.1186/s42490-019-0006-z
15,Assessment of frailty: a survey of quantitative and clinical methods,http://bmcbiomedeng.biomedcentral.com/track/pdf/10.1186/s42490-019-0007-y
16,Spiropyran as a potential molecular diagnostic tool for double-stranded RNA detection,http://bmcbiomedeng.biomedcentral.com/track/pdf/10.1186/s42490-019-0008-x
17,Battling adhesions: from understanding to prevention,http://bmcbiomedeng.biomedcentral.com/track/pdf/10.1186/s42490-019-0005-0
18,Fully convolutional architecture vs sliding-window CNN for corneal endothelium cell segmentation,http://bmcbiomedeng.biomedcentral.com/track/pdf/10.1186/s42490-019-0003-2
19,An upper body garment with integrated sensors for people with neurological disorders – early development and evaluation,http://bmcbiomedeng.biomedcentral.com/track/pdf/10.1186/s42490-019-0002-3
20,Robotic and laparoscopic surgery of the pancreas: an historical review,http://bmcbiomedeng.biomedcentral.com/track/pdf/10.1186/s42490-019-0001-4
21,BMC Biomedical Engineering: a home for all biomedical engineering research,http://bmcbiomedeng.biomedcentral.com/track/pdf/10.1186/s42490-019-0004-1
