No.,Title,Link
1,Covalent linkage of bacterial voltage-gated sodium channels,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-019-0049-5
2,Role of protein interactions in stabilizing canonical DNA features in simulations of DNA in crowded environments,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-018-0048-y
3,A discontinuous Galerkin model for fluorescence loss in photobleaching of intracellular polyglutamine protein aggregates,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-018-0046-0
4,Phenylalanine intercalation parameters for liquid-disordered phase domains – a membrane model study,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-018-0047-z
5,Jörg Langowski: his scientific legacy and the future it promises,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-018-0045-1
6,Transport of charged small molecules after electropermeabilization — drift and diffusion,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-018-0044-2
7,Synaptic neuron-astrocyte communication is supported by an order of magnitude analysis of inositol tris-phosphate diffusion at the nanoscale in a model of peri-synaptic astrocyte projection,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-018-0043-3
8,"Thermal decomposition of the amino acids glycine, cysteine, aspartic acid, asparagine, glutamic acid, glutamine, arginine and histidine",http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-018-0042-4
9,GPMVs in variable physiological conditions: could they be used for therapy delivery?,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-017-0041-x
10,Human S100A5 binds Ca2+ and Cu2+ independently,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-017-0040-y
11,Kinetic and thermodynamic studies reveal chemokine homologues CC11 and CC24 with an almost identical tertiary structure have different folding pathways,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-017-0039-4
12,Kinematic difference between a biological cell and an artificial vesicle in a strong DC electric field – a “shell” membrane model study,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-017-0038-5
13,Modeling of RAS complexes supports roles in cancer for less studied partners,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-017-0037-6
14,DNA secondary structure formation by DNA shuffling of the conserved domains of the Cry protein of Bacillus thuringiensis,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-017-0036-7
15,Accuracy of the detection of binding events using 3D single particle tracking,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-017-0035-8
16,BFPTool: a software tool for analysis of Biomembrane Force Probe experiments,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-016-0033-2
17,Native flexibility of structurally homologous proteins: insights from anisotropic network model,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-017-0034-9
18,Structure and domain dynamics of human lactoferrin in solution and the influence of Fe(III)-ion ligand binding,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-016-0032-3
19,Exploring in vivo cholesterol-mediated interactions between activated EGF receptors in plasma membrane with single-molecule optical tracking,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-016-0030-5
20,Rheological properties of cells measured by optical tweezers,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-016-0031-4
21,Evaluation of the coarse-grained OPEP force field for protein-protein docking,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-016-0029-y
22,BMC Biophysics reviewer acknowledgement 2015,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-016-0028-z
23,A biophysical model of supercoiling dependent transcription predicts a structural aspect to gene regulation,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-016-0027-0
24,"α-synuclein-lanthanide metal ions interaction: binding sites, conformation and fibrillation",http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-016-0026-1
25,Prediction of solution properties and dynamics of RNAs by means of Brownian dynamics simulation of coarse-grained models: Ribosomal 5S RNA and phenylalanine transfer RNA,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-015-0025-7
26,PDE/ODE modeling and simulation to determine the role of diffusion in long-term and -range cellular signaling,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-015-0024-8
27,Copper-free click chemistry for attachment of biomolecules in magnetic tweezers,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-015-0023-9
28,The biophysical nature of cells: potential cell behaviours revealed by analytical and computational studies of cell surface mechanics,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-015-0022-x
29,Numerical calculation of protein-ligand binding rates through solution of the Smoluchowski equation using smoothed particle hydrodynamics,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-015-0021-y
30,A nucleotide-independent cyclic nitroxide label for monitoring segmental motions in nucleic acids,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-015-0019-5
31,A flexible approach to assess fluorescence decay functions in complex energy transfer systems,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-015-0020-z
32,Life at the mesoscale: the self-organised cytoplasm and nucleoplasm,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-015-0018-6
33,BMC Biophysics reviewer acknowledgement 2014,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-015-0017-7
34,Vesicle biomechanics in a time-varying magnetic field,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-014-0016-0
35,"Drift correction for single-molecule imaging by molecular constraint field, a distance minimum metric",http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-014-0015-1
36,A novel delta current method for transport stoichiometry estimation,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-014-0014-2
37,Langevin dynamics simulations of charged model phosphatidylinositol lipids in the presence of diffusion barriers: toward an atomic level understanding of corralling of PIP2 by protein fences in biological membranes,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-014-0013-3
38,Origin of multiple intersubunit rotations before EF-G-catalyzed ribosomal translocation through the mRNA with a downstream secondary structure,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-014-0012-4
39,Simulation tools for particle-based reaction-diffusion dynamics in continuous space,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-014-0011-5
40,Analytical model for macromolecular partitioning during yeast cell division,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-014-0010-6
41,Mathematical modelling of the automated FADU assay for the quantification of DNA strand breaks and their repair in human peripheral mononuclear blood cells,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-014-0009-z
42,The glassy state of crambin and the THz time scale protein-solvent fluctuations possibly related to protein function,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-014-0008-0
43,Insights into the mechanism of C5aR inhibition by PMX53 via implicit solvent molecular dynamics simulations and docking,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/2046-1682-7-5
44,Early integration of the individual student in academic activities: a novel classroom concept for graduate education in molecular biophysics and structural biology,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/2046-1682-7-6
45,AFM detection of biophysical characteristics of specific regulatory T Cells after allogeneic hematopoietic stem cell transplantation,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/s13628-014-0007-1
46,Long range Debye-Hückel correction for computation of grid-based electrostatic forces between biomacromolecules,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/2046-1682-7-4
47,Diffusion-controlled reaction rates for two active sites on a sphere,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/2046-1682-7-3
48,Raman characterization of Avocado Sunblotchviroid and its response to external perturbations and self-cleavage,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/2046-1682-7-2
49,Investigation of nanoscale structural alterations of cell nucleus as an early sign of cancer,http://bmcbiophys.biomedcentral.com/track/pdf/10.1186/2046-1682-7-1
