No.,Title,Link
1,Identification and characterization of an Endo-glucanase secreted from cellulolytic Escherichia coli ZH-4,http://bmcbiotechnol.biomedcentral.com/track/pdf/10.1186/s12896-019-0556-0
2,A new primer construction technique that effectively increases amplification of rare mutant templates in samples,http://bmcbiotechnol.biomedcentral.com/track/pdf/10.1186/s12896-019-0555-1
3,A novel starch-binding laccase from the wheat pathogen Zymoseptoria tritici highlights the functional diversity of ascomycete laccases,http://bmcbiotechnol.biomedcentral.com/track/pdf/10.1186/s12896-019-0552-4
4,Characterization of tethered equine chorionic gonadotropin and its deglycosylated mutants by ovulation stimulation in mice,http://bmcbiotechnol.biomedcentral.com/track/pdf/10.1186/s12896-019-0550-6
5,Structure-based engineering of heparinase I with improved specific activity for degrading heparin,http://bmcbiotechnol.biomedcentral.com/track/pdf/10.1186/s12896-019-0553-3
6,Metabolic flux analysis for metabolome data validation of naturally xylose-fermenting yeasts,http://bmcbiotechnol.biomedcentral.com/track/pdf/10.1186/s12896-019-0548-0
7,Syneresis investigations of lacto-fermented sodium caseinate in a mixed model system,http://bmcbiotechnol.biomedcentral.com/track/pdf/10.1186/s12896-019-0539-1
8,Optimization of a nicotine degrading enzyme for potential use in treatment of nicotine addiction,http://bmcbiotechnol.biomedcentral.com/track/pdf/10.1186/s12896-019-0551-5
9,Lack of specificity associated with using molecular beacons in loop mediated amplification assays,http://bmcbiotechnol.biomedcentral.com/track/pdf/10.1186/s12896-019-0549-z
10,Improved the expression level of active transglutaminase by directional increasing copy of mtg gene in Pichia pastoris,http://bmcbiotechnol.biomedcentral.com/track/pdf/10.1186/s12896-019-0542-6
11,Provision of carbon skeleton for lipid synthesis from the breakdown of intracellular protein and soluble sugar in Phaeodactylum tricornutum under high CO2,http://bmcbiotechnol.biomedcentral.com/track/pdf/10.1186/s12896-019-0544-4
12,Enhancement of using combined packing materials on the removal of mixed sulfur compounds in a biotrickling filter and analysis of microbial communities,http://bmcbiotechnol.biomedcentral.com/track/pdf/10.1186/s12896-019-0540-8
13,Mutagenesis of N-terminal residues confer thermostability on a Penicillium janthinellum MA21601 xylanase,http://bmcbiotechnol.biomedcentral.com/track/pdf/10.1186/s12896-019-0541-7
