No.,Title,Link
1,Prognostic value of miR-221 in human malignancy: evidence from 3041 subjects,http://bmccancer.biomedcentral.com/track/pdf/10.1186/s12885-019-6079-1
2,Modulation of all-trans retinoic acid-induced MiRNA expression in neoplastic cell lines: a systematic review,http://bmccancer.biomedcentral.com/track/pdf/10.1186/s12885-019-6081-7
3,Expression of thioredoxin 1 and peroxiredoxins in squamous cervical carcinoma and its predictive role in NACT,http://bmccancer.biomedcentral.com/track/pdf/10.1186/s12885-019-6046-x
4,Human bronchial carcinoid tumor initiating cells are targeted by the combination of acetazolamide and sulforaphane,http://bmccancer.biomedcentral.com/track/pdf/10.1186/s12885-019-6018-1
5,Impact of prior malignancies on outcome of colorectal cancer; revisiting clinical trial eligibility criteria,http://bmccancer.biomedcentral.com/track/pdf/10.1186/s12885-019-6074-6
6,The effect of metformin use on hypopharyngeal squamous cell carcinoma in diabetes mellitus patients,http://bmccancer.biomedcentral.com/track/pdf/10.1186/s12885-019-6083-5
7,Reconstruction with a novel combined hemipelvic endoprosthesis after resection of periacetabular tumors involving the sacroiliac joint: a report of 25 consecutive cases,http://bmccancer.biomedcentral.com/track/pdf/10.1186/s12885-019-6049-7
8,CA19–9 decrease and survival according to platelet level in patients with advanced pancreatic cancer,http://bmccancer.biomedcentral.com/track/pdf/10.1186/s12885-019-6078-2
9,Ultrasound-guided dual-localization for axillary nodes before and after neoadjuvant chemotherapy with clip and activated charcoal in breast cancer patients: a feasibility study,http://bmccancer.biomedcentral.com/track/pdf/10.1186/s12885-019-6095-1
10,Chronic inflammation markers are associated with risk of pancreatic cancer in the Swedish AMORIS cohort study,http://bmccancer.biomedcentral.com/track/pdf/10.1186/s12885-019-6082-6
11,Sites of metastasis and association with clinical outcome in advanced stage cancer patients treated with immunotherapy,http://bmccancer.biomedcentral.com/track/pdf/10.1186/s12885-019-6073-7
12,Pre-diagnostic colonoscopies reduce cancer mortality - results from linked population-based data in South Australia,http://bmccancer.biomedcentral.com/track/pdf/10.1186/s12885-019-6092-4
13,The MYRACLE protocol study: a multicentric observational prospective cohort study of patients with multiple myeloma,http://bmccancer.biomedcentral.com/track/pdf/10.1186/s12885-019-6080-8
14,ALI multilayered co-cultures mimic biochemical mechanisms of the cancer cell-fibroblast cross-talk involved in NSCLC MultiDrug Resistance,http://bmccancer.biomedcentral.com/track/pdf/10.1186/s12885-019-6038-x
15,Correction to: Dynamic and unpredictable changes in mutant allele fractions of BRAF and NRAS during visceral progression of cutaneous malignant melanoma,http://bmccancer.biomedcentral.com/track/pdf/10.1186/s12885-019-6048-8
