No.,Title,Link
1,Blood pressure predictors of stroke in rural Chinese dwellers with hypertension: a large-scale prospective cohort study,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1186-0
2,"Body composition is a strong predictor of local carotid stiffness in Swedish, young adults – the cross sectional Lifestyle, biomarkers, and atherosclerosis study",http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1180-6
3,Meta-analysis of the growth rates of abdominal aortic aneurysm in the Chinese population,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1160-x
4,"Randomised, double-blind, placebo-controlled clinical trial for evaluating the efficacy of intracoronary injection of autologous bone marrow mononuclear cells in the improvement of the ventricular function in patients with idiopathic dilated myocardiopathy: a study protocol",http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1182-4
5,Association between the XKR6 rs7819412 SNP and serum lipid levels and the risk of coronary artery disease and ischemic stroke,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1179-z
6,Effects of ezetimibe/simvastatin 10/10 mg versus Rosuvastatin 10 mg on carotid atherosclerotic plaque inflammation,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1184-2
7,Ethnic disparities in prevalence and clustering of cardiovascular disease risk factors in rural Southwest China,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1185-1
8,Critical appraisal of international guidelines for the prevention and treatment of pregnancy-associated venous thromboembolism: a systematic review,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1183-3
9,Evaluation of the autonomic nervous system by analysis of heart rate variability in the preterm infants,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1166-4
10,Cardiac pacing challenge in Sub-Saharan Africa environnement: experience of the Cardiology Department of Teaching Hospital Aristide Le Dantec in Dakar,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1176-2
11,Percutaneous retrieval of an embolized left atrial appendage closure device from the left atrium in a patient with previous MitraClips,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1170-8
12,Atrial fibrillation incidence and impact of biventricular pacing on long-term outcome in patients with heart failure treated with cardiac resynchronization therapy,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1169-1
13,Mineralocorticoid receptor antagonist use after hospitalization of patients with heart failure and post-discharge outcomes: a single-center retrospective cohort study,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1175-3
14,Predicting stroke and death in patients with heart failure using CHA2DS2-VASc score in Asia,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1178-0
15,Downregulation of long non-coding RNA nuclear enriched abundant transcript 1 promotes cell proliferation and inhibits cell apoptosis by targeting miR-193a in myocardial ischemia/reperfusion injury,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1122-3
16,Swallow syncope: a case report and review of literature,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1174-4
17,Establishing the interchangeability of arterial stiffness but not endothelial function parameters in healthy individuals,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1167-3
18,Application of strain and other echocardiographic parameters in the evaluation of early and long-term clinical outcomes after cardiac surgery revascularization,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1162-8
19,Prescribing patterns of coronary artery aneurysm in Taiwan,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1172-6
20,Long-term clinical outcomes in patients with untreated non-culprit intermediate coronary lesion and evaluation of predictors by using virtual histology-intravascular ultrasound; a prospective cohort study,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1173-5
21,Long-term effectiveness and safety of self-management of oral anticoagulants in real-world settings,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1168-2
22,Life’s simple 7 and cardiovascular disease risk knowledge in Hong Kong,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1171-7
23,"Study of angiotensin-converting enzyme insertion/deletion polymorphism, enzyme activity and oxidized low density lipoprotein in Western Iranians with atherosclerosis: a case-control study",http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1158-4
24,Endovascular repair of late type IIIb endoleak after endovascular aneurysm repair: a case report,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1138-8
25,Indirect comparison of novel Oral anticoagulants among Asians with non-Valvular atrial fibrillation in the real world setting: a network meta-analysis,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1165-5
26,Renal-aortic ratio as an objective measure of renal artery diameter a computed tomography angiography study,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1163-7
27,Functional aging in health and heart failure: the COmPLETE Study,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1164-6
28,Epicardial cardiac cavernous Haemangioma-a case report,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1156-6
29,Can men with atrial fibrillation really rest easy with a CHA2DS2-VASc score of 0?,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1150-z
30,Homocysteine and education but not lipoprotein (a) predict estimated 10-year risk of cardiovascular disease in blood donors: a community based cross-sectional study,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1157-5
31,Relationship between ALDH2 genotype and in-stent restenosis in Chinese Han patients after percutaneous coronary intervention,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1161-9
32,High red blood cell distribution width is closely associated with in-stent restenosis in patients with unstable angina pectoris,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1159-3
33,Next-generation sequencing using microfluidic PCR enrichment for molecular autopsy,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1154-8
34,Determinants of systemic hypertension in older adults in Africa: a systematic review,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1147-7
35,Balloon-expandable transcatheter aortic valve implantation with or without pre-dilation – results of a meta-analysis of 3 multicenter registries,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1151-y
36,Validity of self blood pressure measurement in the control of the hypertensive patient: factors involved,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1145-9
37,Prognostic significance of factor XIIIA promoter methylation status in aneurysmal subarachnoid haemorrhage (aSAH),http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1146-8
38,Development of anthracycline-induced dilated cardiomyopathy due to mutation on LMNA gene in a breast cancer patient: a case report,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1155-7
39,Prognostic implications of statin intolerance in stable coronary artery disease patients with different levels of high-sensitive troponin,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1152-x
40,Acute myocardial infarction in a patient positive for lupus anticoagulant: a case report,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1153-9
41,The effect of mobile applications for improving adherence in cardiac rehabilitation: a systematic review and meta-analysis,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1149-5
42,Characteristics of patients initiated on edoxaban in Europe: baseline data from edoxaban treatment in routine clinical practice for patients with atrial fibrillation (AF) in Europe (ETNA-AF-Europe),http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1144-x
43,Relationship between circulating microparticles and hypertension and other cardiac disease biomarkers in the elderly,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1148-6
44,High admission glucose levels predict worse short-term clinical outcome in non-diabetic patients with acute myocardial infraction: a retrospective observational study,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1140-1
45,Bilateral pulmonary vein stenting for treatment of massive hemoptysis caused by pulmonary vein stenosis following catheter ablation for atrial fibrillation,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1141-0
46,"Gender but not diabetes, hypertension or smoking affects infarct evolution in ST-elevation myocardial infarction patients – data from the CHILL-MI, MITOCARE and SOCCER trials",http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1139-7
47,Increased urinary adiponectin level is associated with contrast-induced nephropathy in patients undergoing elective percutaneous coronary intervention,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1143-y
48,Spatiotemporal variations in cardiovascular disease mortality in China from 1991 to 2009,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1128-x
49,Non-traumatic chest pain in patients presenting to an urban emergency Department in sub Saharan Africa: a prospective cohort study in Tanzania,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1133-0
50,The left atrial substrate plays a significant role in the development of complex atrial tachycardia in patients with precapillary pulmonary hypertension,http://bmccardiovascdisord.biomedcentral.com/track/pdf/10.1186/s12872-019-1142-z
