No.,Title,Link
1,Optimization-based investigations of a two-phase thermofluidic oscillator for low-grade heat conversion,http://bmcchemeng.biomedcentral.com/track/pdf/10.1186/s42480-019-0019-3
2,The potential of polymers of intrinsic microporosity (PIMs) and PIM/graphene composites for pervaporation membranes,http://bmcchemeng.biomedcentral.com/track/pdf/10.1186/s42480-019-0018-4
3,"Standing-wave Design of Three-Zone, open-loop non-isocratic SMB for purification",http://bmcchemeng.biomedcentral.com/track/pdf/10.1186/s42480-019-0017-5
4,Advances in mechanochemical processes for biomass valorization,http://bmcchemeng.biomedcentral.com/track/pdf/10.1186/s42480-019-0015-7
5,NiMoAl catalysts derived from heptamolybdate-intercalated layered double hydroxides for hydrodeoxygenation of anisole,http://bmcchemeng.biomedcentral.com/track/pdf/10.1186/s42480-019-0016-6
6,On the application of the Spiegler-Kedem model to forward osmosis,http://bmcchemeng.biomedcentral.com/track/pdf/10.1186/s42480-019-0014-8
7,Lipids detection and quantification in oleaginous microorganisms: an overview of the current state of the art,http://bmcchemeng.biomedcentral.com/track/pdf/10.1186/s42480-019-0013-9
8,2D-enabled membranes: materials and beyond,http://bmcchemeng.biomedcentral.com/track/pdf/10.1186/s42480-019-0012-x
9,"Rheological properties of concentrated slurries of harvested, incubated and ruptured Nannochloropsis sp. cells",http://bmcchemeng.biomedcentral.com/track/pdf/10.1186/s42480-019-0011-y
10,"Liquid-phase hydrogenation of bio-refined succinic acid to 1,4-butanediol using bimetallic catalysts",http://bmcchemeng.biomedcentral.com/track/pdf/10.1186/s42480-019-0010-z
11,Energy systems engineering - a guided tour,http://bmcchemeng.biomedcentral.com/track/pdf/10.1186/s42480-019-0009-5
12,Heterogeneous catalysts for catalytic CO2 conversion into value-added chemicals,http://bmcchemeng.biomedcentral.com/track/pdf/10.1186/s42480-019-0007-7
13,"Energy and CO2 management for chemical and related industries: issues, opportunities and challenges",http://bmcchemeng.biomedcentral.com/track/pdf/10.1186/s42480-019-0008-6
14,Application of soda-AQ pulping to agricultural waste (okra stalks) from Sudan,http://bmcchemeng.biomedcentral.com/track/pdf/10.1186/s42480-019-0005-9
15,Chemical engineering role in the use of renewable energy and alternative carbon sources in chemical production,http://bmcchemeng.biomedcentral.com/track/pdf/10.1186/s42480-019-0006-8
16,Integration of aqueous (micellar) two-phase systems on the proteins separation,http://bmcchemeng.biomedcentral.com/track/pdf/10.1186/s42480-019-0004-x
17,Noble gas separation by a MOF with one-dimensional channels,http://bmcchemeng.biomedcentral.com/track/pdf/10.1186/s42480-019-0003-y
18,Incorporation of Cu3BTC2 nanocrystals to increase the permeability of polymeric membranes in O2/N2 separation,http://bmcchemeng.biomedcentral.com/track/pdf/10.1186/s42480-019-0002-z
19,BMC Chemical Engineering: an open access publishing venue for the chemical engineering community,http://bmcchemeng.biomedcentral.com/track/pdf/10.1186/s42480-019-0001-0
