No.,Title,Link
1,A rapid and sensitive UPLC-MS/MS method for the determination of flibanserin in rat plasma: application to a pharmacokinetic study,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0620-9
2,Atom transfer radical polymer-modified paper for improvement in protein fixation in paper-based ELISA,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0622-7
3,"Design, synthesis, and preliminary biological evaluation of catalpol propionates as antiaging drugs",http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0626-3
4,Chemical constituents and coagulation activity of Syringa oblata Lindl flowers,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0621-8
5,Treatment and characterization of phosphorus from synthetic wastewater using aluminum plate electrodes in the electrocoagulation process,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0628-1
6,"A review of bioanalytical techniques for evaluation of cannabis (Marijuana, weed, Hashish) in human hair",http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0627-2
7,Thermodynamic properties of some isomeric 5-(nitrophenyl)-furyl-2 derivatives,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0619-2
8,Protective effect of blackthorn fruits (Prunus spinosa) against tartrazine toxicity development in albino Wistar rats,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0610-y
9,Secondary metabolites from the Aspergillus sp. in the rhizosphere soil of Phoenix dactylifera (Palm tree),http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0624-5
10,"Synthesis, anti-leishmanial and molecular docking study of bis-indole derivatives",http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0617-4
11,Pharmacological significance of heterocyclic 1H-benzimidazole scaffolds: a review,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0625-4
12,"Identification of novel antifungal agents: antimicrobial evaluation, SAR, ADME–Tox and molecular docking studies of a series of imidazole derivatives",http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0623-6
13,Three smart spectrophotometric methods for resolution of severely overlapped binary mixture of Ibuprofen and Paracetamol in pharmaceutical dosage form,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0618-3
14,Sulfonic acid-functionalized polyallylamine (sevelamer) as an efficient reusable strong solid acid catalyst for the synthesis of xanthenes derivatives,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0609-4
15,"Peanut shell as a green biomolecule support for anchoring Cu2O: a biocatalyst for green synthesis of 1,2,3-triazoles under ultrasonic irradiation",http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0612-9
16,"Computational approaches: discovery of GTPase HRas as prospective drug target for 1,3-diazine scaffolds",http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0613-8
17,Binding interaction of sodium benzoate food additive with bovine serum albumin: multi-spectroscopy and molecular docking studies,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0615-6
18,Identification of C-glycosyl flavones by high performance liquid chromatography electrospray ionization mass spectrometry and quantification of five main C-glycosyl flavones in Flickingeria fimbriata,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0616-5
19,Analysis of chemical constituents in mainstream bidi smoke,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0614-7
20,Oligosaccharide-based quality evaluation of Atractylodis rhizome and a strategy for simplifying its quality control,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0605-8
21,"Design, synthesis, and biological evaluation of novel N4-substituted sulfonamides: acetamides derivatives as dihydrofolate reductase (DHFR) inhibitors",http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0603-x
22,In-silico molecular design of heterocyclic benzimidazole scaffolds as prospective anticancer agents,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0608-5
23,"A minireview of hydroamination catalysis: alkene and alkyne substrate selective, metal complex design",http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0606-7
24,Electrodeposition of amorphous molybdenum sulfide thin film for electrochemical hydrogen evolution reaction,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0600-0
25,"Antimicrobial, antioxidant and cytotoxic evaluation of diazenyl chalcones along with insights to mechanism of interaction by molecular docking studies",http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0596-5
26,Removal and extraction efficiency of Quaternary ammonium herbicides paraquat (PQ) from aqueous solution by ketoenol–pyrazole receptor functionalized silica hybrid adsorbent (SiNPz),http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0599-2
27,"Molecular docking, synthesis and biological significance of pyrimidine analogues as prospective antimicrobial and antiproliferative agents",http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0601-z
28,Assessment of lipophilicity of newly synthesized celecoxib analogues using reversed-phase HPLC,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0607-6
29,A UPLC/DAD method for simultaneous determination of empagliflozin and three related substances in spiked human plasma,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0604-9
30,Novel LC–MS/MS method for analysis of metformin and canagliflozin in human plasma: application to a pharmacokinetic study,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0597-4
31,Dynamic changes of secondary metabolites and tyrosinase activity of Malus pumila flowers,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0602-y
32,Variation of ursolic acid content in flowers of ten Iranian pomegranate (Punica granatum L.) cultivars,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0598-3
33,Thermodynamic pathway of lignocellulosic acetylation process,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0593-8
34,"Analytical methods for the determination of paracetamol, pseudoephedrine and brompheniramine in Comtrex tablets",http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0595-6
35,"Formulation, development and evaluation of bifunctionalized nanoliposomes containing Trifolium resupinatum sprout methanolic extract: as effective natural antioxidants on the oxidative stability of soybean oil",http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0594-7
36,"A simple, efficient and rapid HPLC–UV method for the detection of 5-HT in RIN-14B cell extract and cell culture medium",http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0591-x
37,Multiple analytical methods for determination of formoterol and glycopyrronium simultaneously in their novel combined metered dose inhaler,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0592-9
38,A sustainable process for the recovery of volatile constituents from Gracilaria lemaneiformis in agar production and evaluation of their antioxidant activities,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0590-y
39,"Estimated dietary intake of essential elements from four selected staple foods in Najran City, Saudi Arabia",http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0588-5
40,Protective effects of ten oligostilbenes from Paeonia suffruticosa seeds on interleukin-1β-induced rabbit osteoarthritis chondrocytes,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0589-4
41,In silico design and synthesis of targeted rutin derivatives as xanthine oxidase inhibitors,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0585-8
42,Examination of paraben release from baby teethers through migration tests and GC–MS analysis using a stable isotope dilution assay,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0587-6
43,Crystal structures of three cyclohexane-based γ-spirolactams: determination of configurations and conformations,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0586-7
44,Flexibility and thermal dynamic stability increase of dsDNA induced by Ru(bpy)2dppz2+ based on AFM and HRM technique,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0584-9
45,Molecular docking and simulation of Zika virus NS3 helicase,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0582-y
46,Benzimidazole scaffolds as promising antiproliferative agents: a review,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0579-6
47,Determination of immunogenic proteins in biopharmaceuticals by UHPLC–MS amino acid analysis,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0581-z
48,Correction to: One-step templated synthesis of chiral organometallic salicyloxazoline complexes,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0577-8
49,Thiolation and characterization of regenerated Bombyx mori silk fibroin films with reduced glutathione,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0583-x
50,One-step ionic liquid-based ultrasound-assisted dispersive liquid–liquid microextraction coupled with high-performance liquid chromatography for the determination of pyrethroids in traditional Chinese medicine oral liquid preparations,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0578-7
51,A rapid and sensitive UPLC-MS/MS method for the determination of flibanserin in rat plasma: application to a pharmacokinetic study,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0620-9
52,Atom transfer radical polymer-modified paper for improvement in protein fixation in paper-based ELISA,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0622-7
53,"Design, synthesis, and preliminary biological evaluation of catalpol propionates as antiaging drugs",http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0626-3
54,Chemical constituents and coagulation activity of Syringa oblata Lindl flowers,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0621-8
55,Treatment and characterization of phosphorus from synthetic wastewater using aluminum plate electrodes in the electrocoagulation process,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0628-1
56,"A review of bioanalytical techniques for evaluation of cannabis (Marijuana, weed, Hashish) in human hair",http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0627-2
57,Thermodynamic properties of some isomeric 5-(nitrophenyl)-furyl-2 derivatives,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0619-2
58,Protective effect of blackthorn fruits (Prunus spinosa) against tartrazine toxicity development in albino Wistar rats,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0610-y
59,Secondary metabolites from the Aspergillus sp. in the rhizosphere soil of Phoenix dactylifera (Palm tree),http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0624-5
60,"Synthesis, anti-leishmanial and molecular docking study of bis-indole derivatives",http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0617-4
61,Pharmacological significance of heterocyclic 1H-benzimidazole scaffolds: a review,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0625-4
62,"Identification of novel antifungal agents: antimicrobial evaluation, SAR, ADME–Tox and molecular docking studies of a series of imidazole derivatives",http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0623-6
63,Three smart spectrophotometric methods for resolution of severely overlapped binary mixture of Ibuprofen and Paracetamol in pharmaceutical dosage form,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0618-3
64,Sulfonic acid-functionalized polyallylamine (sevelamer) as an efficient reusable strong solid acid catalyst for the synthesis of xanthenes derivatives,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0609-4
65,"Peanut shell as a green biomolecule support for anchoring Cu2O: a biocatalyst for green synthesis of 1,2,3-triazoles under ultrasonic irradiation",http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0612-9
66,"Computational approaches: discovery of GTPase HRas as prospective drug target for 1,3-diazine scaffolds",http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0613-8
67,Binding interaction of sodium benzoate food additive with bovine serum albumin: multi-spectroscopy and molecular docking studies,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0615-6
68,Identification of C-glycosyl flavones by high performance liquid chromatography electrospray ionization mass spectrometry and quantification of five main C-glycosyl flavones in Flickingeria fimbriata,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0616-5
69,Analysis of chemical constituents in mainstream bidi smoke,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0614-7
70,Oligosaccharide-based quality evaluation of Atractylodis rhizome and a strategy for simplifying its quality control,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0605-8
71,"Design, synthesis, and biological evaluation of novel N4-substituted sulfonamides: acetamides derivatives as dihydrofolate reductase (DHFR) inhibitors",http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0603-x
72,In-silico molecular design of heterocyclic benzimidazole scaffolds as prospective anticancer agents,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0608-5
73,"A minireview of hydroamination catalysis: alkene and alkyne substrate selective, metal complex design",http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0606-7
74,Electrodeposition of amorphous molybdenum sulfide thin film for electrochemical hydrogen evolution reaction,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0600-0
75,"Antimicrobial, antioxidant and cytotoxic evaluation of diazenyl chalcones along with insights to mechanism of interaction by molecular docking studies",http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0596-5
76,Removal and extraction efficiency of Quaternary ammonium herbicides paraquat (PQ) from aqueous solution by ketoenol–pyrazole receptor functionalized silica hybrid adsorbent (SiNPz),http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0599-2
77,"Molecular docking, synthesis and biological significance of pyrimidine analogues as prospective antimicrobial and antiproliferative agents",http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0601-z
78,Assessment of lipophilicity of newly synthesized celecoxib analogues using reversed-phase HPLC,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0607-6
79,A UPLC/DAD method for simultaneous determination of empagliflozin and three related substances in spiked human plasma,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0604-9
80,Novel LC–MS/MS method for analysis of metformin and canagliflozin in human plasma: application to a pharmacokinetic study,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0597-4
81,Dynamic changes of secondary metabolites and tyrosinase activity of Malus pumila flowers,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0602-y
82,Variation of ursolic acid content in flowers of ten Iranian pomegranate (Punica granatum L.) cultivars,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0598-3
83,Thermodynamic pathway of lignocellulosic acetylation process,http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0593-8
84,"Analytical methods for the determination of paracetamol, pseudoephedrine and brompheniramine in Comtrex tablets",http://bmcchem.biomedcentral.com/track/pdf/10.1186/s13065-019-0595-6
