No.,Title,Link
1,Epidemiological and histopathological profile of malignant melanoma in Malawi,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-019-0087-6
2,Reference intervals for serum cystatin C and serum creatinine in an adult sub-Saharan African population,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-019-0086-7
3,Clinical significance of HER2 and EGFR expression in colorectal cancer patients with ovarian metastasis,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-019-0085-8
4,Accidental intoxications in toddlers: lack of cross-reactivity of vilazodone and its urinary metabolite M17 with drug of abuse screening immunoassays,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-019-0084-9
5,HER2 overexpression and correlation with other significant clinicopathologic parameters in Ivorian breast cancer women,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-018-0081-4
6,A case report of iatrogenic deterioration of yet undiagnosed Rhombencephalitis; always be careful with corticoids,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-018-0083-2
7,BCL-2 expression aids in the immunohistochemical prediction of the Oncotype DX breast cancer recurrence score,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-018-0082-3
8,Urinary schistosomiasis: report of case diagnosed in bladder biopsy,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-018-0080-5
9,Circulating free plasma tumor DNA in patients with advanced gastric cancer receiving systemic chemotherapy,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-018-0079-y
10,Pelvic radiotherapy for cervical cancer affects importantly the reproducibility of cytological alterations evaluation,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-018-0078-z
11,Biphasic low-grade nasopharyngeal papillary adenocarcinoma: a case report and literature review,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-018-0076-1
12,Prognostic significance of p16 & p53 immunohistochemical expression in triple negative breast cancer,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-018-0077-0
13,Primary cutaneous nocardiosis: a diagnosis of consideration in a renal transplant recipient,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-018-0075-2
14,Diagnostic guidelines for the histological particle algorithm in the periprosthetic neo-synovial tissue,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-018-0074-3
15,"Diagnostic pitfall: primary myoepithelial carcinoma of the lacrimal gland, case report and literature review",http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-018-0073-4
16,"B-chronic lymphocytic leukemia showed triple transformation, to diffuse large B cell, CD20-negative, and T-cell neoplasm during ofatumumab treatment: a case report",http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-018-0072-5
17,Evaluation of SD BIOLINE H. pylori Ag rapid test against double ELISA with SD H. pylori Ag ELISA and EZ-STEP H. pylori Ag ELISA tests,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-018-0071-6
18,Primary hepatic neuroendocrine carcinoma: report of two cases and literature review,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-018-0070-7
19,The expression of MDM2 in gastrointestinal stromal tumors: immunohistochemical analysis of 35 cases,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-018-0069-0
20,Comparison of a microsphere-based platform with a multiplex flow cytometric assay for determination of circulating cytokines in the mouse,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-017-0068-6
21,Impending relapse of myelodysplastic syndrome after allogeneic transplant is difficult to diagnose and requires a multi-modal approach,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-017-0066-8
22,Monocarboxylate Transporter 1 (MCT1) is an independent prognostic biomarker in endometrial cancer,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-017-0067-7
23,"Elevation of small, dense low density lipoprotein cholesterol—a possible antecedent of atherogenic lipoprotein phenotype in type 2 diabetes patients in Jos, North-Central Nigeria",http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-017-0065-9
24,Diagnostic accuracy of touch imprint cytology for head and neck malignancies: a useful intra-operative tool in resource limited countries,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-017-0063-y
25,Lymphoepithelial carcinoma: a case report of a rare tumor of the larynx,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-017-0061-0
26,Posterior cerebral fossa medulloepithelioma: report of a case,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-017-0064-x
27,Solitary fibrous tumor occurring in the parotid gland: a case report,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-017-0062-z
28,De novo acute lymphoblastic leukemia-like disease of high grade B-cell lymphoma with MYC and BCL2 and/or BCL6 rearrangements: a case report and literature review,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-017-0060-1
29,Primary hyperoxaluria detected by bone marrow biopsy: case report,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-017-0059-7
30,Biochemical and histological alterations induced by the smoke of allethrin based mosquito coil on mice model,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-017-0057-9
31,Accuracy of cervical cytology: comparison of diagnoses of 100 Pap smears read by four pathologists at three hospitals in Norway,http://bmcclinpathol.biomedcentral.com/track/pdf/10.1186/s12907-017-0058-8
