No.,Title,Link
1,#MindinBody - feasibility of vigorous exercise (Bikram yoga versus high intensity interval training) to improve persistent pain in women with a history of trauma: a pilot randomized control trial,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2642-1
2,Resveratrol induces apoptosis of benign prostatic hyperplasia epithelial cell line (BPH-1) through p38 MAPK-FOXO3a pathway,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2648-8
3,The effects of Pandanus amaryllifolius (Roxb.) leaf water extracts on fructose-induced metabolic syndrome rat model,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2627-0
4,Ethanol extract of asiasari radix preferentially induces apoptosis in G361 human melanoma cells by differential regulation of p53,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2609-2
5,Glucose-lowering and hypolipidemic activities of polysaccharides from Cordyceps taii in streptozotocin-induced diabetic mice,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2646-x
6,"How do pharmacists use and recommend vitamins, minerals, herbals and other dietary supplements?",http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2637-y
7,Jiang-Zhi granules decrease sensitivity to low-dose CCl4 induced liver injury in NAFLD rats through reducing endoplasmic reticulum stress,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2641-2
8,Larrea divaricata Cav. aqueous extract and nordihydroguariaretic acid modulate oxidative stress in submandibular glands of diabetic rats: a buccal protective in diabetes,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2636-z
9,Comparative effectiveness of six Chinese herb formulas for acute exacerbation of chronic obstructive pulmonary disease: a systematic review and network meta-analysis,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2633-2
10,Research trends of acupuncture therapy on insomnia in two decades (from 1999 to 2018):a bibliometric analysis,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2606-5
11,Evaluation of the in vitro effects of commercial herbal preparations significant in African traditional medicine on platelets,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2644-z
12,Comparing physicians’ and patients’ reporting on adverse reactions in randomized trials on acupuncture—a secondary data analysis,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2638-x
13,Cellular and molecular effects of Baccharis dracunculifolia D.C. and Plectranthus barbatus Andrews medicinal plant extracts on retinoid metabolism in the human hepatic stellate cell LX-2,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2591-8
14,Oxidative stress mediated by gyrophoric acid from the lichen Umbilicaria hirsuta affected apoptosis and stress/survival pathways in HeLa cells,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2631-4
15,The cytotoxic effect and glucose uptake modulation of Baeckea frutescens on breast cancer cells,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2628-z
16,Characterization of the anti-Staphylococcus aureus fraction from Penthorum chinense Pursh stems,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2632-3
17,Antimicrobial characteristics of Berberine against prosthetic joint infection-related Staphylococcus aureus of different multi-locus sequence types,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2558-9
18,Withania somnifera (L.) Dunal ameliorates neurodegeneration and cognitive impairments associated with systemic inflammation,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2635-0
19,Berberine inhibits NLRP3 Inflammasome pathway in human triple-negative breast cancer MDA-MB-231 cell,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2615-4
20,Xiaoyaosan exerts antidepressant-like effects by regulating the functions of astrocytes and EAATs in the prefrontal cortex of mice,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2613-6
21,"Antinociceptive activities of Artocarpus lacucha Buch-ham (Moraceae) and its isolated phenolic compound, catechin, in mice",http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2565-x
22,Pharmacological properties of Centella asiatica hydrogel in accelerating wound healing in rabbits,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2625-2
23,ETM-DB: integrated Ethiopian traditional herbal medicine and phytochemicals database,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2634-1
24,In vitro and in vivo effects of traditional Chinese medicine formula T33 in human breast cancer cells,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2630-5
25,An ethnobotanical study of medicinal plants used to treat skin diseases in northern Pakistan,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2605-6
26,"Traditional tonifying polyherbal infusion, Jatu-Phala-Tiga, exerts antioxidant activities and extends lifespan of Caenorhabditis elegans",http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2626-1
27,Reporting items for systematic reviews and meta-analyses of acupuncture: the PRISMA for acupuncture checklist,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2624-3
28,Water extract of Cnidii Rhizoma suppresses RANKL-induced osteoclastogenesis in RAW 264.7 cell by inhibiting NFATc1/c-Fos signaling and prevents ovariectomized bone loss in SD-rat,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2611-8
29,In vitro α-amylase inhibitory effect of TLC isolates of Aloe megalacantha baker and Aloe monticola Reynolds,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2622-5
30,Therapeutic effects of hydro-alcoholic extract of Achillea wilhelmsii C. Koch on indomethacin-induced gastric ulcer in rats: a proteomic and metabolomic approach,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2623-4
31,Jingfukang induces anti-cancer activity through oxidative stress-mediated DNA damage in circulating human lung cancer cells,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2601-x
32,The synergistic antitumor effect of Huaier combined with 5-Florouracil in human cholangiocarcinoma cells,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2614-5
33,Influence of curcumin supplementation on metabolic and lipid parameters of people living with HIV/AIDS: a randomized controlled trial,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2620-7
34,Self-directed learning and practice of Italian osteopathic students during summer break: a cross-sectional survey,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2619-0
35,"Evaluation of chemical constituents and in vitro antimicrobial, antioxidant and cytotoxicity potential of rhizome of Astilbe rivularis (Bodho-okhati), an indigenous medicinal plant from Eastern Himalayan region of India",http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2621-6
36,Synergistic activity between Triphala and selected antibiotics against drug resistant clinical isolates,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2618-1
37,Triptolide attenuates lipopolysaccharide-induced inflammatory responses in human endothelial cells: involvement of NF-κB pathway,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2616-3
38,Design and study of anticaries effect of different medicinal plants against S.mutans glucosyltransferase,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2608-3
39,Herbal supplements in the print media: communicating benefits and risks,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2602-9
40,Effects of probiotic supplementation on post-infectious irritable bowel syndrome in rodent model,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2610-9
41,Herbal remedies used for the treatment of infertility in males and females by traditional healers in the rural areas of the West Bank/Palestine,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2617-2
42,"Wenshen Jianpi recipe, a blended traditional Chinese medicine, ameliorates proteinuria and renal injury in a rat model of diabetic nephropathy",http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2598-1
43,Distal acupoint stimulation versus peri-incisional stimulation for postoperative pain in open abdominal surgery: a systematic review and implications for clinical practice,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2583-8
44,Velvet antler polypeptide partially rescue facet joint osteoarthritis-like phenotype in adult β-catenin conditional activation mice,http://bmccomplementalternmed.biomedcentral.com/track/pdf/10.1186/s12906-019-2607-4
