No.,Title,Link
1,"Ainhum, a rare mutilating dermatological disease in a female Cameroonian: a case report",http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-019-0092-6
2,Gluteal hidradenitis suppurativa presenting pemphigus-like findings: case report,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-019-0091-7
3,A seven-year retrospective analysis of patch test data in a cohort of patients with contact dermatitis in Sri Lanka,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-019-0090-8
4,Diaper dermatitis: a survey of risk factors in Thai children aged under 24 months,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-019-0089-1
5,"Rationale, objectives and design of PURE, a prospective registry of patients with moderate to severe chronic plaque psoriasis in Canada and Latin America",http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-019-0087-3
6,A multi-item Physician Global Assessment scale to assess psoriasis disease severity: validation based on four phase III tofacitinib studies,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-019-0088-2
7,Sofosbuvir induced leucocytoclasic vasculitis: a case report,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-019-0086-4
8,"Pattern of skin diseases in children attending a dermatology clinic in a referral hospital in Wolaita Sodo, southern Ethiopia",http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-019-0085-5
9,A novel elastin gene frameshift mutation in a Russian family with cutis laxa: a case report,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-019-0084-6
10,Mucous membrane pemphigoid-associated paronychia with onychomadesis,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-019-0083-7
11,Proderm technology: a water- based lipid delivery system for dermatitis that penetrates viable epidermis and has antibacterial effects,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-019-0082-8
12,Differences in microRNA expression between melanoma and healthy adjacent skin,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-018-0081-1
13,Interdisciplinary and multiprofessional outpatient secondary individual prevention of work-related skin diseases in the metalworking industry: 1-year follow-up of a patient cohort,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-018-0080-2
14,Assessing skin disease and associated health-related quality of life in a rural Lao community,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-018-0079-8
15,"Exploratory study of the reproducibility of the SCore for INtrinsic and EXtrinsic skin aging (SCINEXA) scale in “Ruta Escondida de la Mitad del Mundo”, Ecuador, 2017",http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-018-0078-9
16,Cost and effectiveness of prescribing emollient therapy for atopic eczema in UK primary care in children and adults: a large retrospective analysis of the Clinical Practice Research Datalink,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-018-0076-y
17,Patient-reported outcomes in urticarial vasculitis treated with omalizumab: case report,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-018-0077-x
18,"Acne in Lomé, Togo: clinical aspects and quality of life of patients",http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-018-0075-z
19,Expert Consensus on The Management of Dermatophytosis in India (ECTODERM India),http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-018-0073-1
20,Persistence rates and medical costs of biological therapies for psoriasis treatment in Japan: a real-world data study using a claims database,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-018-0074-0
21,"Real-world health outcomes in adults with moderate-to-severe psoriasis in the United States: a population study using electronic health records to examine patient-perceived treatment effectiveness, medication use, and healthcare resource utilization",http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-018-0072-2
22,Elucidating mechanistic insights into drug action for atopic dermatitis: a systems biology approach,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-018-0070-4
23,Can an app supporting psoriasis patients improve adherence to topical treatment? A single-blind randomized controlled trial,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-018-0071-3
24,A novel PLEC nonsense homozygous mutation (c.7159G > T; p.Glu2387*) causes epidermolysis bullosa simplex with muscular dystrophy and diffuse alopecia: a case report,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-018-0069-x
25,A case report of erythroderma in a patient with borderline leprosy on reversal reaction: a result of the exacerbated reaction?,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-017-0068-3
26,Composite hemangioendothelioma of the forehead and right eye; a case report,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-017-0067-4
27,Assessment of the effects of skin microneedling as adjuvant therapy for facial melasma: a pilot study,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-017-0066-5
28,BAP1: case report and insight into a novel tumor suppressor,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-017-0065-6
29,"Daylight photodynamic therapy versus cryosurgery for the treatment and prophylaxis of actinic keratoses of the face − protocol of a multicenter, prospective, randomized, controlled, two-armed study",http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-017-0064-7
30,Rationale and Design of the Brigham Cohort for psoriasis and psoriatic arthritis registry (COPPAR),http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-017-0063-8
31,Prevalence of head lice infestation and pediculicidal effect of permethrine shampoo in primary school girls in a low-income area in southeast of Iran,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-017-0062-9
32,Variation of mutant allele frequency in NRAS Q61 mutated melanomas,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-017-0061-x
33,SIRT1 activation mediates heat-induced survival of UVB damaged Keratinocytes,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-017-0060-y
34,Adult autoimmune enteropathy presenting initially with acquired Acrodermatitis Enteropathica: a case report,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-017-0059-4
35,Tight controlled dose reduction of biologics in psoriasis patients with low disease activity: a randomized pragmatic non-inferiority trial,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-017-0057-6
36,"Evaluation of therapeutic potential of VB-001, a leave-on formulation, for the treatment of moderate adherent dandruff",http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-017-0058-5
37,A prospective analysis of pinch grafting of chronic leg ulcers in a series of elderly patients in rural Cameroon,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-017-0056-7
38,Expression profiling and bioinformatic analyses suggest new target genes and pathways for human hair follicle related microRNAs,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-017-0054-9
39,"Skin cancer knowledge and attitudes in the region of Fez, Morocco: a cross-sectional study",http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-017-0055-8
40,"Knowledge, attitudes and practices of the medical personnel regarding atopic dermatitis in Yaoundé, Cameroon",http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-017-0053-x
41,"Treatment of plaque psoriasis with an ointment formulation of the Janus kinase inhibitor, tofacitinib: a Phase 2b randomized clinical trial",http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-016-0051-4
42,Cutaneous sarcoidosis masquerading as chronic cutaneous lupus erythematosus - case report,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-016-0052-3
43,Risk factors of keloids in Syrians,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-016-0050-5
44,Randomized placebo control study of insulin sensitizers (Metformin and Pioglitazone) in psoriasis patients with metabolic syndrome (Topical Treatment Cohort),http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-016-0049-y
45,"A multicenter, randomized, open-label pilot trial assessing the efficacy and safety of etanercept 50 mg twice weekly followed by etanercept 25 mg twice weekly, the combination of etanercept 25 mg twice weekly and acitretin, and acitretin alone in patients with moderate to severe psoriasis",http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-016-0048-z
46,Patch testing in Iranian children with allergic contact dermatitis,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-016-0047-0
47,Effect of 12-O-tetradecanoylphorbol-13-acetate-induced psoriasis-like skin lesions on systemic inflammation and atherosclerosis in hypercholesterolaemic apolipoprotein E deficient mice,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-016-0046-1
48,Enzymatic debridement for the treatment of severely burned upper extremities – early single center experiences,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-016-0045-2
49,"The first Danish family reported with an AQP5 mutation presenting diffuse non-epidermolytic palmoplantar keratoderma of Bothnian type, hyperhidrosis and frequent Corynebacterium infections: a case report",http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-016-0044-3
50,A case of erythrodermia from exacerbated psoriasis vulgaris due to treatment of acute hepatitis C,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-016-0042-5
51,"Ainhum, a rare mutilating dermatological disease in a female Cameroonian: a case report",http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-019-0092-6
52,Gluteal hidradenitis suppurativa presenting pemphigus-like findings: case report,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-019-0091-7
53,A seven-year retrospective analysis of patch test data in a cohort of patients with contact dermatitis in Sri Lanka,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-019-0090-8
54,Diaper dermatitis: a survey of risk factors in Thai children aged under 24 months,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-019-0089-1
55,"Rationale, objectives and design of PURE, a prospective registry of patients with moderate to severe chronic plaque psoriasis in Canada and Latin America",http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-019-0087-3
56,A multi-item Physician Global Assessment scale to assess psoriasis disease severity: validation based on four phase III tofacitinib studies,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-019-0088-2
57,Sofosbuvir induced leucocytoclasic vasculitis: a case report,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-019-0086-4
58,"Pattern of skin diseases in children attending a dermatology clinic in a referral hospital in Wolaita Sodo, southern Ethiopia",http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-019-0085-5
59,A novel elastin gene frameshift mutation in a Russian family with cutis laxa: a case report,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-019-0084-6
60,Mucous membrane pemphigoid-associated paronychia with onychomadesis,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-019-0083-7
61,Proderm technology: a water- based lipid delivery system for dermatitis that penetrates viable epidermis and has antibacterial effects,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-019-0082-8
62,Differences in microRNA expression between melanoma and healthy adjacent skin,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-018-0081-1
63,Interdisciplinary and multiprofessional outpatient secondary individual prevention of work-related skin diseases in the metalworking industry: 1-year follow-up of a patient cohort,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-018-0080-2
64,Assessing skin disease and associated health-related quality of life in a rural Lao community,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-018-0079-8
65,"Exploratory study of the reproducibility of the SCore for INtrinsic and EXtrinsic skin aging (SCINEXA) scale in “Ruta Escondida de la Mitad del Mundo”, Ecuador, 2017",http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-018-0078-9
66,Cost and effectiveness of prescribing emollient therapy for atopic eczema in UK primary care in children and adults: a large retrospective analysis of the Clinical Practice Research Datalink,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-018-0076-y
67,Patient-reported outcomes in urticarial vasculitis treated with omalizumab: case report,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-018-0077-x
68,"Acne in Lomé, Togo: clinical aspects and quality of life of patients",http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-018-0075-z
69,Expert Consensus on The Management of Dermatophytosis in India (ECTODERM India),http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-018-0073-1
70,Persistence rates and medical costs of biological therapies for psoriasis treatment in Japan: a real-world data study using a claims database,http://bmcdermatol.biomedcentral.com/track/pdf/10.1186/s12895-018-0074-0
