No.,Title,Link
1,Cochlear implantation as a treatment for single-sided deafness and asymmetric hearing loss: a randomized controlled evaluation of cost-utility,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-019-0066-7
2,"Antimicrobial susceptibility patterns of bacteria isolated from patients with ear discharge in Jimma Town, Southwest, Ethiopia",http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-018-0065-0
3,Staphylococcus aureus from patients with chronic rhinosinusitis show minimal genetic association between polyp and non-polyp phenotypes,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-018-0064-1
4,Epithelial-myoepithelial carcinoma: a population-based survival analysis,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-018-0063-2
5,Odontogenic necrotizing fasciitis: a systematic review of the literature,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-018-0059-y
6,Survival in sinonasal and middle ear malignancies: a population-based study using the SEER 1973–2015 database,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-018-0061-4
7,Allergic rhinitis and periodontitis among Korean adults: results from a nationwide population-based study (2013–2015),http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-018-0062-3
8,Is orbital floor a reliable and useful surgical landmark in endoscopic endonasal surgery?: a systematic review,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-018-0060-5
9,The burden of chronic rhinosinusitis and its effect on quality of life among patients re-attending an otolaryngology clinic in south western Uganda,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-018-0058-z
10,A questionnaire using vocal symptoms in quality control of phonosurgery: vocal surgical questionnaire,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-018-0057-0
11,"Isolation and antimicrobial drug susceptibility pattern of bacterial pathogens from pediatric patients with otitis media in selected health institutions, Addis Ababa, Ethiopia: a prospective cross-sectional study",http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-018-0056-1
12,Frequency of mitochondrial m.1555A > G mutation in Syrian patients with non-syndromic hearing impairment,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-018-0055-2
13,Sinonasal adenoid cystic carcinoma-role of on-site FNAC: a case report,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-018-0053-4
14,The effect of transcutaneous neuromuscular electrical stimulation on laryngeal vestibule closure timing in swallowing,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-018-0054-3
15,"Treatment, outcomes, and demographics in sinonasal sarcoma: a systematic review of the literature",http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-018-0052-5
16,"The role of tonsillectomy in the Periodic Fever, Aphthous stomatitis, Pharyngitis and cervical Adenitis syndrome; a literature review",http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-017-0049-5
17,A comparison of symptoms and quality of life before and after nasal septoplasty and radiofrequency therapy of the inferior turbinate,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-017-0050-z
18,Generic quality of life in persons with hearing loss: a systematic literature review,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-018-0051-6
19,Causes of higher symptomatic airway load in patients with chronic rhinosinusitis,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-017-0048-6
20,Reliability and validity study of Sino-nasal outcome test 22 (Thai version) in chronic rhinosinusitis,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-017-0047-7
21,Hibernoma: a rare case of adipocytic tumor in head and neck.,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-017-0046-8
22,An abrupt bleeding of the anteriorly- displaced sigmoid sinus: a rare complication of myringoplasty,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-017-0045-9
23,Endoscopic repair of lateral sphenoid Encephaloceles: a case series,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-017-0044-x
24,Correlation between subjective and objective hearing tests after unilateral and bilateral cochlear implantation,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-017-0043-y
25,Electroencephalographic evaluation of acoustic therapies for the treatment of chronic and refractory tinnitus,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-017-0042-z
26,Glomangiomyoma of the neck in a child in Nepal: a rare case report and literature review,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-017-0041-0
27,"Knowledge and care seeking practices for ear infections among parents of under five children in Kigali, Rwanda: a cross-sectional study",http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-017-0040-1
28,Fluorescein sodium-guided surgery of parotid gland tumors as a technical advance,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-017-0039-7
29,Evaluation of the safety and efficacy of a novel product for the removal of impacted human cerumen,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-017-0038-8
30,Is OperaVOX a clinically useful tool for the assessment of voice in a general ENT clinic?,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-017-0037-9
31,The risk of bias in randomized controlled trials in otorhinolaryngology: hardly any improvement since 1950,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-017-0036-x
32,Lipoma of Columella with septal extension in Pai syndrome: report of a rare case,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-017-0035-y
33,Reliability of inertial sensors in the assessment of patients with vestibular disorders: a feasibility study,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-017-0034-z
34,Quality of life and symptoms before and after nasal septoplasty compared with healthy individuals,http://bmcearnosethroatdisord.biomedcentral.com/track/pdf/10.1186/s12901-016-0031-7
