No.,Title,Link
1,"Habitat requirements of the European brown hare (Lepus europaeus Pallas 1778) in an intensively used agriculture region (Lower Saxony, Germany)",http://bmcecol.biomedcentral.com/track/pdf/10.1186/s12898-019-0247-7
2,The Hermans–Rasson test as a powerful alternative to the Rayleigh test for circular statistics in biology,http://bmcecol.biomedcentral.com/track/pdf/10.1186/s12898-019-0246-8
3,No evidence of flowering synchronization upon floral volatiles for a short lived annual plant species: revisiting an appealing hypothesis,http://bmcecol.biomedcentral.com/track/pdf/10.1186/s12898-019-0245-9
4,"Explosive breeding in tropical anurans: environmental triggers, community composition and acoustic structure",http://bmcecol.biomedcentral.com/track/pdf/10.1186/s12898-019-0243-y
5,Modeling future wildlife habitat suitability: serious climate change impacts on the potential distribution of the Rock Ptarmigan Lagopus muta japonica in Japan’s northern Alps,http://bmcecol.biomedcentral.com/track/pdf/10.1186/s12898-019-0238-8
6,Spatial and temporal dynamics of Antarctic shallow soft-bottom benthic communities: ecological drivers under climate change,http://bmcecol.biomedcentral.com/track/pdf/10.1186/s12898-019-0244-x
7,Light pollution affects space use and interaction of two small mammal species irrespective of personality,http://bmcecol.biomedcentral.com/track/pdf/10.1186/s12898-019-0241-0
8,Are all patches worth exploring? Foraging desert birds do not rely on environmental indicators of seed abundance at small scales,http://bmcecol.biomedcentral.com/track/pdf/10.1186/s12898-019-0242-z
9,"The relative contributions of climate, soil, diversity and interactions to leaf trait variation and spectrum of invasive Solidago canadensis",http://bmcecol.biomedcentral.com/track/pdf/10.1186/s12898-019-0240-1
10,Factors affecting formation of adventitious branches in the seaweeds Fucus vesiculosus and F. radicans,http://bmcecol.biomedcentral.com/track/pdf/10.1186/s12898-019-0239-7
11,"Effect of variation in objective resource value on extreme male combat in a quasi-gregarious species, Anastatus disparis",http://bmcecol.biomedcentral.com/track/pdf/10.1186/s12898-019-0237-9
12,Sources of variation in social tolerance in mouse lemurs (Microcebus spp.),http://bmcecol.biomedcentral.com/track/pdf/10.1186/s12898-019-0236-x
13,Amphibian community structure along elevation gradients in eastern Nepal Himalaya,http://bmcecol.biomedcentral.com/track/pdf/10.1186/s12898-019-0234-z
14,Estimation of vegetation water content using hyperspectral vegetation indices: a comparison of crop water indicators in response to water stress treatments for summer maize,http://bmcecol.biomedcentral.com/track/pdf/10.1186/s12898-019-0233-0
15,No evidence for spatial variation in predation risk following restricted-area fox culling,http://bmcecol.biomedcentral.com/track/pdf/10.1186/s12898-019-0235-y
