No.,Title,Link
1,Do health care professionals’ perceptions help to measure the degree of overcrowding in the emergency department? A pilot study in an Italian University hospital,http://bmcemergmed.biomedcentral.com/track/pdf/10.1186/s12873-019-0259-9
2,Usefulness of a stool to stabilize dental chairs for cardiopulmonary resuscitation (CPR),http://bmcemergmed.biomedcentral.com/track/pdf/10.1186/s12873-019-0258-x
3,"Knowledge, attitudes, and practices of Cameroonian physicians with regards to acute pain management in the emergency department: a multicenter cross-sectional study",http://bmcemergmed.biomedcentral.com/track/pdf/10.1186/s12873-019-0260-3
4,Body temperature measurement in ambulance: a challenge of 21-st century?,http://bmcemergmed.biomedcentral.com/track/pdf/10.1186/s12873-019-0261-2
5,Prehospital characteristics among patients with sepsis: a comparison between patients with or without adverse outcome,http://bmcemergmed.biomedcentral.com/track/pdf/10.1186/s12873-019-0255-0
6,Real-time forecasting of emergency department arrivals using prehospital data,http://bmcemergmed.biomedcentral.com/track/pdf/10.1186/s12873-019-0256-z
7,Patients’ time perception in the waiting room of an ambulatory emergency unit: a cross-sectional study,http://bmcemergmed.biomedcentral.com/track/pdf/10.1186/s12873-019-0254-1
8,Strengths and weaknesses of the acute care systems in the United Kingdom and the Netherlands: what can we learn from each other?,http://bmcemergmed.biomedcentral.com/track/pdf/10.1186/s12873-019-0257-y
9,"Epidemiology of injuries presenting to the accident centre of Korle-Bu Teaching Hospital, Ghana",http://bmcemergmed.biomedcentral.com/track/pdf/10.1186/s12873-019-0252-3
10,The Emergency Medical System (EMS) response to Iraqi pilgrims’ bus crash in Iran: a case report,http://bmcemergmed.biomedcentral.com/track/pdf/10.1186/s12873-019-0253-2
11,Routine creatine kinase testing does not provide clinical utility in the emergency department for diagnosis of acute coronary syndromes,http://bmcemergmed.biomedcentral.com/track/pdf/10.1186/s12873-019-0251-4
12,Public knowledge of people visiting Imam Reza hospital regarding stroke symptoms and risk factors,http://bmcemergmed.biomedcentral.com/track/pdf/10.1186/s12873-019-0250-5
13,Grading and assessment of clinical predictive tools for paediatric head injury: a new evidence-based approach,http://bmcemergmed.biomedcentral.com/track/pdf/10.1186/s12873-019-0249-y
14,The importance of increased awareness for delirium in elderly patients with rib fractures after blunt chest wall trauma: a retrospective cohort study on risk factors and outcomes,http://bmcemergmed.biomedcentral.com/track/pdf/10.1186/s12873-019-0248-z
15,ECG alterations suggestive of hyperkalemia in normokalemic versus hyperkalemic patients,http://bmcemergmed.biomedcentral.com/track/pdf/10.1186/s12873-019-0247-0
16,Influence of patient race on administration of analgesia by student paramedics,http://bmcemergmed.biomedcentral.com/track/pdf/10.1186/s12873-019-0245-2
17,"The MEDEA FAR-EAST Study: Conceptual framework, methods and first findings of a multicenter cross-sectional observational study",http://bmcemergmed.biomedcentral.com/track/pdf/10.1186/s12873-019-0240-7
