No.,Title,Link
1,Severe hypertriglyceridemia in a subject with disturbed life style and poor glycemic control without recurrence of acute pancreatitis: a case report,http://bmcendocrdisord.biomedcentral.com/track/pdf/10.1186/s12902-019-0425-9
2,"Determinants of poor glycemic control among adult patients with type 2 diabetes mellitus in Jimma University Medical Center, Jimma zone, south west Ethiopia: a case control study",http://bmcendocrdisord.biomedcentral.com/track/pdf/10.1186/s12902-019-0421-0
3,Endothelial cell-specific molecule-1 as an invasiveness marker for pituitary null cell adenoma,http://bmcendocrdisord.biomedcentral.com/track/pdf/10.1186/s12902-019-0418-8
4,Association of diabetes-related kidney disease with cardiovascular and non-cardiovascular outcomes: a retrospective cohort study,http://bmcendocrdisord.biomedcentral.com/track/pdf/10.1186/s12902-019-0417-9
5,"An in-depth analysis of glycosylated haemoglobin level, body mass index and left ventricular diastolic dysfunction in patients with type 2 diabetes",http://bmcendocrdisord.biomedcentral.com/track/pdf/10.1186/s12902-019-0419-7
6,Glycated hemoglobin versus oral glucose tolerance test in the identification of subjects with prediabetes in Qatari population,http://bmcendocrdisord.biomedcentral.com/track/pdf/10.1186/s12902-019-0412-1
7,Thyroid primary and metastatic malignant tumours of poor prognosis may mimic subacute thyroiditis - time to change the diagnostic criteria: case reports and a review of the literature,http://bmcendocrdisord.biomedcentral.com/track/pdf/10.1186/s12902-019-0415-y
8,Distinction of cardiometabolic profiles among people ≥75 years with type 2 diabetes: a latent profile analysis,http://bmcendocrdisord.biomedcentral.com/track/pdf/10.1186/s12902-019-0411-2
9,The longitudinal effect of subclinical hypothyroidism on urine microalbumin-to-urine creatinine ratio in patients with type 2 diabetes mellitus,http://bmcendocrdisord.biomedcentral.com/track/pdf/10.1186/s12902-019-0405-0
10,Association between lifestyle and thyroid dysfunction: a cross-sectional epidemiologic study in the She ethnic minority group of Fujian Province in China,http://bmcendocrdisord.biomedcentral.com/track/pdf/10.1186/s12902-019-0414-z
11,A rare lethal case of severe acute necrotizing pancreatitis due to a parathyroid adenoma in a third-trimester pregnant woman,http://bmcendocrdisord.biomedcentral.com/track/pdf/10.1186/s12902-019-0409-9
12,Investigating the risk of bone fractures in elderly patients with type 2 diabetes mellitus: a retrospective study,http://bmcendocrdisord.biomedcentral.com/track/pdf/10.1186/s12902-019-0413-0
13,Hyperkalemia in a patient with myasthenia gravis: case presentation,http://bmcendocrdisord.biomedcentral.com/track/pdf/10.1186/s12902-019-0406-z
14,Evaluation and refinement of the PRESTARt tool for identifying 12–14 year olds at high lifetime risk of developing type 2 diabetes compared to a clinicians assessment of risk: a cross-sectional study,http://bmcendocrdisord.biomedcentral.com/track/pdf/10.1186/s12902-019-0410-3
15,The effect of insulin degludec on risk of symptomatic nocturnal hypoglycaemia in adults with type 1 diabetes and high risk of nocturnal severe hypoglycaemia (the HypoDeg trial): study rationale and design,http://bmcendocrdisord.biomedcentral.com/track/pdf/10.1186/s12902-019-0408-x
16,C - reactive protein and interleukin - 6 levels among human immunodeficiency virus -infected patients with dysglycemia in Tanzania,http://bmcendocrdisord.biomedcentral.com/track/pdf/10.1186/s12902-019-0407-y
17,The relationship between non-alcoholic fatty liver and skeletal muscle mass to visceral fat area ratio in women with type 2 diabetes,http://bmcendocrdisord.biomedcentral.com/track/pdf/10.1186/s12902-019-0404-1
18,"Association of insulin, C-peptide and blood lipid patterns in patients with impaired glucose regulation",http://bmcendocrdisord.biomedcentral.com/track/pdf/10.1186/s12902-019-0400-5
19,Protocol: investigating the effectiveness and cost benefit of a lifestyle intervention targeting type 2 diabetes in Australia,http://bmcendocrdisord.biomedcentral.com/track/pdf/10.1186/s12902-019-0396-x
20,Relationship between inflammatory markers and mild cognitive impairment in Chinese patients with type 2 diabetes: a case-control study,http://bmcendocrdisord.biomedcentral.com/track/pdf/10.1186/s12902-019-0402-3
21,The pubertal development mode of Chinese girls with turner syndrome undergoing hormone replacement therapy,http://bmcendocrdisord.biomedcentral.com/track/pdf/10.1186/s12902-019-0403-2
22,Metabolic encephalopathy secondary to diabetic ketoacidosis: a case report,http://bmcendocrdisord.biomedcentral.com/track/pdf/10.1186/s12902-019-0398-8
23,Polycystic ovary syndrome is a risk factor for sarcopenic obesity: a case control study,http://bmcendocrdisord.biomedcentral.com/track/pdf/10.1186/s12902-019-0381-4
24,Associations between cardiorespiratory fitness and weight loss in patients with severe obesity undergoing an intensive lifestyle intervention program: retrospective cohort study,http://bmcendocrdisord.biomedcentral.com/track/pdf/10.1186/s12902-019-0394-z
