No.,Title,Link
1,Convergent reduction of V1R genes in subterranean rodents,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1502-4
2,"Elevated mutation rates are unlikely to evolve in sexual species, not even under rapid environmental change",http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1494-0
3,Characterization of the melanopsin gene (Opn4x) of diurnal and nocturnal snakes,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1500-6
4,The anatomy and development of the nervous system in Magelonidae (Annelida) – insights into the evolution of the annelid brain,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1498-9
5,Somatic maintenance impacts the evolution of mutation rate,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1496-y
6,Genetic variation at MHC class II loci influences both olfactory signals and scent discrimination in ring-tailed lemurs,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1486-0
7,Molecular phylogenetics of the African horseshoe bats (Chiroptera: Rhinolophidae): expanded geographic and taxonomic sampling of the Afrotropics,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1485-1
8,A little bit of sex prevents mutation accumulation even in apomictic polyploid plants,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1495-z
9,Evolution of female promiscuity in Passerides songbirds,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1493-1
10,Evolutionary patterns of diadromy in fishes: more than a transitional state between marine and freshwater,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1492-2
11,The multi-peak adaptive landscape of crocodylomorph body size evolution,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1466-4
12,"The appendicular morphology of Sinoburius lunaris and the evolution of the artiopodan clade Xandarellida (Euarthropoda, early Cambrian) from South China",http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1491-3
13,Population genomics of an exceptional hybridogenetic system of Pelophylax water frogs,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1482-4
14,PastView: a user-friendly interface to explore ancestral scenarios,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1490-4
15,Patterns of conservation of spliceosomal intron structures and spliceosome divergence in representatives of the diplomonad and parabasalid lineages,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1488-y
16,Deep south-north genetic divergence in Godlewski’s bunting (Emberiza godlewskii) related to uplift of the Qinghai-Tibet Plateau and habitat preferences,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1487-z
17,Landscape genetics reveals that adaptive genetic divergence in Pinus bungeana (Pinaceae) is driven by environmental variables relating to ecological habitats,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1489-x
18,Phylogeographic analysis of the genus Platycephalus along the coastline of the northwestern Pacific inferred by mitochondrial DNA,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1477-1
19,Reduced alphabet of prebiotic amino acids optimally encodes the conformational space of diverse extant protein folds,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1464-6
20,Insights into body size variation in cetaceans from the evolution of body-size-related genes,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1461-9
21,The genome of the live-bearing fish Heterandria formosa implicates a role of conserved vertebrate genes in the evolution of placental fish,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1484-2
22,From low to high latitudes: changes in fatty acid desaturation in mammalian fat tissue suggest a thermoregulatory role,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1473-5
23,Molecular evolution of mammalian genes with epistatic interactions in fertilization,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1480-6
24,Rare coral under the genomic microscope: timing and relationships among Hawaiian Montipora,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1476-2
25,Identification and assessment of variable single-copy orthologous (SCO) nuclear loci for low-level phylogenomics: a case study in the genus Rosa (Rosaceae),http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1479-z
26,Genomic differentiation tracks earth-historic isolation in an Indo-Australasian archipelagic pitta (Pittidae; Aves) complex,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1481-5
27,Divergence in larval jaw gene expression reflects differential trophic adaptation in haplochromine cichlids prior to foraging,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1483-3
28,A-to-I editing of Malacoherpesviridae RNAs supports the antiviral role of ADAR1 in mollusks,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1472-6
29,Adaptations of early development to local spawning temperature in anadromous populations of pike (Esox lucius),http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1475-3
30,To save or not to save your family member’s life? Evolutionary stability of self-sacrificing life history strategy in monogamous sexual populations,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1478-0
31,"Lacking catalase, a protistan parasite draws on its photosynthetic ancestry to complete an antioxidant repertoire with ascorbate peroxidase",http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1465-5
32,"Diversity of the Bosmina (Cladocera: Bosminidae) in China, revealed by analysis of two genetic markers (mtDNA 16S and a nuclear ITS)",http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1474-4
33,GC content of vertebrate exome landscapes reveal areas of accelerated protein evolution,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1469-1
34,ADGRL4/ELTD1 is a highly conserved angiogenesis-associated orphan adhesion GPCR that emerged with the first vertebrates and comprises 3 evolutionary variants,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1445-9
35,"Variation and correlations between sexual, asexual and natural enemy resistance life-history traits in a natural plant pathogen population",http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1468-2
36,The evolutionary history of LysM-RLKs (LYKs/LYRs) in wild tomatoes,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1467-3
37,Multiple origins of melanism in two species of North American tree squirrel (Sciurus),http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1471-7
38,Host specialisation and disparate evolution of Pyrenophora teres f. teres on barley and barley grass,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1446-8
39,Indication of ongoing amphipod speciation in Lake Baikal by genetic structures within endemic species,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1470-8
40,"An evolutionary approach to recover genes predominantly expressed in the testes of the zebrafish, chicken and mouse",http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1462-8
41,Genomic sequence analyses of classical and non-classical lamprey progesterone receptor genes and the inference of homologous gene evolution in metazoans,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1463-7
42,"Genetic, phenotypic and ecological differentiation suggests incipient speciation in two Charadrius plovers along the Chinese coast",http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1449-5
43,Low genetic diversity in a critically endangered primate: shallow evolutionary history or recent population bottleneck?,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1451-y
44,On estimating evolutionary probabilities of population variants,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1455-7
45,Serotype-specific evolutionary patterns of antimicrobial-resistant Salmonella enterica,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1457-5
46,Widespread occurrence of asexual reproduction in higher termites of the Termes group (Termitidae: Termitinae),http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1459-3
47,"Outstanding intraindividual genetic diversity in fissiparous planarians (Dugesia, Platyhelminthes) with facultative sex",http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1440-1
48,Substrate cross-feeding affects the speed and trajectory of molecular evolution within a synthetic microbial assemblage,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1458-4
49,Evolutionary history of the human multigene families reveals widespread gene duplications throughout the history of animals,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1441-0
50,"Selection for small body size favours contrasting sex-specific life histories, boldness and feeding in medaka, Oryzias latipes",http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1460-x
51,Convergent reduction of V1R genes in subterranean rodents,http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1502-4
52,"Elevated mutation rates are unlikely to evolve in sexual species, not even under rapid environmental change",http://bmcevolbiol.biomedcentral.com/track/pdf/10.1186/s12862-019-1494-0
