No.,Title,Link
1,"Self-management support for chronic disease in primary care: frequency of patient self-management problems and patient reported priorities, and alignment with ultimate behavior goal selection",http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-1012-x
2,General practitioners’ perspectives on chronic care consultations for patients with a history of cancer: a qualitative interview study,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-1009-5
3,Direct access CT for suspicion of brain tumour: an analysis of referral pathways in a population-based patient group,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-1003-y
4,Feasibility of referral to a therapist for assessment of psychiatric problems in primary care – an interview study,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-1007-7
5,Psychological intervention at a primary health care center: predictors of success,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-1005-9
6,Are German family practitioners and psychiatrists sufficiently trained to diagnose and treat patients with alcohol problems?,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-1006-8
7,General practitioners who never perform Pap smear: the medical offer and the socio-economic context around their office could limit their involvement in cervical cancer screening,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-1004-x
8,Which positive factors give general practitioners job satisfaction and make general practice a rewarding career? A European multicentric qualitative research by the European general practice research network,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-0985-9
9,Preventive Evidence into Practice: what factors matter in a facilitation intervention to prevent vascular disease in family practice?,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-0995-7
10,The association between PaTz and improved palliative care in the primary care setting: a cross-sectional survey,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-1002-z
11,Communication practices for delivering health behaviour change conversations in primary care: a systematic review and thematic synthesis,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-0992-x
12,Medication errors in primary health care records; a cross-sectional study in Southern Sweden,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-1001-0
13,Patient perspectives on colorectal cancer screening and the role of general practice,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-0997-5
14,Process evaluation of a cluster randomised intervention in Swedish primary care: using care managers in collaborative care to improve care quality for patients with depression,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-0998-4
15,"Effectiveness of training general practitioners to improve the implementation of brief stop-smoking advice in German primary care: study protocol of a pragmatic, 2-arm cluster randomised controlled trial (the ABCII trial)",http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-0986-8
16,Prioritising physical and psychological symptoms: what are the barriers and facilitators to the discussion of anxiety in the primary care consultation?,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-0996-6
17,Discontinuation of antidepressant medication in primary care supported by monitoring plus mindfulness-based cognitive therapy versus monitoring alone: design and protocol of a cluster randomized controlled trial,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-0989-5
18,Prevalence of hazardous alcohol use among Spanish primary care providers,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-0999-3
19,Assessing quality improvement capacity in primary care practices,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-1000-1
20,Understanding the influence of parent-clinician communication on antibiotic prescribing for children with respiratory tract infections in primary care: a qualitative observational study using a conversation analysis approach,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-0993-9
21,Can patients with low health literacy be identified from routine primary care health records? A cross-sectional and prospective analysis,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-0994-8
22,Barriers and facilitators to screening and treating malnutrition in older adults living in the community: a mixed-methods synthesis,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-0983-y
23,Difficult-to-treat and severe asthma in general practice: delivery and evaluation of an educational program,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-0991-y
24,Awareness of limited joint mobility in type 2 diabetes in general practice in the Netherlands: an online questionnaire survey,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-0987-7
25,Shared medical appointments and patient-centered experience: a mixed-methods systematic review,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-0972-1
26,Factors affecting the work competency and stability of family doctors in Shanghai: a tracking study,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-0988-6
27,Patients’ health literacy in relation to the preference for a general practitioner as the source of health information,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-0975-y
28,"The effects of gatekeeping on the quality of primary care in Guangdong Province, China: a cross-sectional study using primary care assessment tool-adult edition",http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-0982-z
29,Concordance of care processes between medical records and patient self-administered questionnaires,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-0979-7
30,Antibiotic prescribing for acute respiratory tract infections in the United States outpatient setting,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-0980-1
31,Understanding the diagnosis of pre-diabetes in patients aged over 85 in English primary care: a qualitative study,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-0981-0
32,Danish general practitioners have found their own way of using point-of-care ultrasonography in primary care: a qualitative study,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-0984-x
33,Factors associated with patients’ and GPs’ assessment of the burden of treatment in multimorbid patients: a cross-sectional study in primary care,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-0974-z
34,Patient-centered communication and shared decision making to reduce HbA1c levels of patients with poorly controlled type 2 diabetes mellitus - results of the cluster-randomized controlled DEBATE trial,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-0977-9
35,"Improving continuity by bringing the cancer patient, general practitioner and oncologist together in a shared video-based consultation – protocol for a randomised controlled trial",http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-0978-8
36,Assessing system-based trainings for primary care teams and quality-of-life of patients with multimorbidity in Thailand: patient and provider surveys,http://bmcfampract.biomedcentral.com/track/pdf/10.1186/s12875-019-0951-6
