No.,Title,Link
1,Clinical benefit of oral lactulose for postoperative care of pateints with complicated appendicitis using propensity score matching analysis,http://bmcgastroenterol.biomedcentral.com/track/pdf/10.1186/s12876-019-1073-2
2,Global research trends in microbiome-gut-brain axis during 2009–2018: a bibliometric and visualized study,http://bmcgastroenterol.biomedcentral.com/track/pdf/10.1186/s12876-019-1076-z
3,Indications for and complications of intestinal stomas in the children and adults at a tertiary care hospital in a resource-limited setting: a Tanzanian experience,http://bmcgastroenterol.biomedcentral.com/track/pdf/10.1186/s12876-019-1070-5
4,Haemolytic uraemic syndrome - a rare case report of bloody diarrhoea in adults,http://bmcgastroenterol.biomedcentral.com/track/pdf/10.1186/s12876-019-1071-4
5,Complete excision of esophageal bronchogenic cyst by endoscopic submucosal tunnel dissection: a case presentation,http://bmcgastroenterol.biomedcentral.com/track/pdf/10.1186/s12876-019-1072-3
6,Lupus enteritis masquerading as Crohn’s disease,http://bmcgastroenterol.biomedcentral.com/track/pdf/10.1186/s12876-019-1058-1
7,Association between serum IgG level and clinical course in primary sclerosing cholangitis,http://bmcgastroenterol.biomedcentral.com/track/pdf/10.1186/s12876-019-1075-0
8,Correction to: Hepatic metastatic paraganglioma 12 years after retroperitoneal paraganglioma resection: a case report,http://bmcgastroenterol.biomedcentral.com/track/pdf/10.1186/s12876-019-1068-z
9,A giant Brunner’s gland hamartoma being treated as a pedunculated polyp: a case report,http://bmcgastroenterol.biomedcentral.com/track/pdf/10.1186/s12876-019-1074-1
10,Alcohol relapse and its predictors after liver transplantation for alcoholic liver disease: a systematic review and meta-analysis,http://bmcgastroenterol.biomedcentral.com/track/pdf/10.1186/s12876-019-1050-9
11,Current role of colonoscopy in infants and young children: a multicenter study,http://bmcgastroenterol.biomedcentral.com/track/pdf/10.1186/s12876-019-1060-7
12,The different expression of caspase-1 in HBV-related liver disease and acts as a biomarker for acute-on-chronic liver failure,http://bmcgastroenterol.biomedcentral.com/track/pdf/10.1186/s12876-019-1064-3
13,Prior hepatitis B virus infection as a co-factor of chronic hepatitis C patient survival after resection of hepatocellular carcinoma,http://bmcgastroenterol.biomedcentral.com/track/pdf/10.1186/s12876-019-1069-y
14,Prognostic value of microvessel density in stage II and III colon cancer patients: a retrospective cohort study,http://bmcgastroenterol.biomedcentral.com/track/pdf/10.1186/s12876-019-1063-4
15,Current diagnosis and management of Crohn’s disease in China: results from a multicenter prospective disease registry,http://bmcgastroenterol.biomedcentral.com/track/pdf/10.1186/s12876-019-1057-2
16,Splenic abscesses as a first manifestation of Crohn’s disease: a case report,http://bmcgastroenterol.biomedcentral.com/track/pdf/10.1186/s12876-019-1066-1
17,Water exchange colonoscopy decreased adenoma miss rates compared with literature data and local data with CO2 insufflation: an observational study,http://bmcgastroenterol.biomedcentral.com/track/pdf/10.1186/s12876-019-1065-2
18,Hepatic metastatic paraganglioma 12 years after retroperitoneal paraganglioma resection: a case report,http://bmcgastroenterol.biomedcentral.com/track/pdf/10.1186/s12876-019-1061-6
19,Decompressive laparotomy for abdominal compartment syndrome resulting from severe acute pancreatitis: a case report,http://bmcgastroenterol.biomedcentral.com/track/pdf/10.1186/s12876-019-1059-0
20,The analysis of virulence factors and antibiotic resistance between Helicobacter pylori strains isolated from gastric antrum and body,http://bmcgastroenterol.biomedcentral.com/track/pdf/10.1186/s12876-019-1062-5
21,Classification of the cystic duct patterns and endoscopic transpapillary cannulation of the gallbladder to prevent post-ERCP cholecystitis,http://bmcgastroenterol.biomedcentral.com/track/pdf/10.1186/s12876-019-1053-6
