No.,Title,Link
1,Bos taurus–indicus hybridization correlates with intralocus sexual-conflict effects of PRDM9 on male and female fertility in Holstein cattle,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0773-5
2,Preliminary study on microR-148a and microR-10a in dermal papilla cells of Hu sheep,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0770-8
3,"Polymorphisms and genetic effects of PRLR, MOGAT1, MINPP1 and CHUK genes on milk fatty acid traits in Chinese Holstein",http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0769-1
4,The first genetic map for yellow lupin enables genetic dissection of adaptation traits in an orphan grain legume crop,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0767-3
5,Genome-wide association analysis of egg production performance in chickens across the whole laying period,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0771-7
6,"Genetic diversity and population structure of the Sapsaree, a native Korean dog breed",http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0757-5
7,Identification and characterization of cherry (Cerasus pseudocerasus G. Don) genes responding to parthenocarpy induced by GA3 through transcriptome analysis,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0746-8
8,Copy number variation of Ppd-B1 is the major determinant of heading time in durum wheat,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0768-2
9,Meta-analysis of the effects of overexpression of WRKY transcription factors on plant responses to drought stress,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0766-4
10,GWAS of habitual coffee consumption reveals a sex difference in the genetic effect of the 12q24 locus in the Japanese population,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0763-7
11,Functional characterization of Gh_A08G1120 (GH3.5) gene reveal their significant role in enhancing drought and salt stress tolerance in cotton,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0756-6
12,Rapid identification of inflorescence type markers by genotyping-by-sequencing of diploid and triploid F1 plants of Hydrangea macrophylla,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0764-6
13,Meta-analysis of GWA studies provides new insights on the genetic architecture of skin pigmentation in recently admixed populations,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0765-5
14,Phasing quality assessment in a brown layer population through family- and population-based software,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0759-3
15,Genome-wide association analysis for β-hydroxybutyrate concentration in Milk in Holstein dairy cattle,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0761-9
16,Genetic diversity of Bm86 sequences in Rhipicephalus (Boophilus) microplus ticks from Mexico: analysis of haplotype distribution patterns,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0754-8
17,Comparative transcriptome analysis of two reproductive modes in Adiantum reniforme var. sinense targeted to explore possible mechanism of apogamy,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0762-8
18,Hepatic transcriptome profile of sheep (Ovis aries) in response to overgrazing: novel genes and pathways revealed,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0760-x
19,A post-GWAS confirming effects of PRKG1 gene on milk fatty acids in a Chinese Holstein dairy population,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0755-7
20,Genome-wide analysis indicates association between heterozygote advantage and healthy aging in humans,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0758-4
21,Estimation of the genetic parameters for semen traits in Chinese Holstein bulls,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0752-x
22,The genome profiling method can be applied for species identification of biological materials collected at crime scenes,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0753-9
23,Identification and evaluation of a core microsatellite panel for use in white-tailed deer (Odocoileus virginianus),http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0750-z
24,Determination of genetic associations between indels in 11 candidate genes and milk composition traits in Chinese Holstein population,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0751-y
25,Identification and mapping of expressed genes associated with the 2DL QTL for fusarium head blight resistance in the wheat line Wuhan 1,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0748-6
26,In silico genome-wide miRNA-QTL-SNPs analyses identify a functional SNP associated with mastitis in Holsteins,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0749-5
27,Gene expression profiles that shape high and low oil content sesames,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0747-7
28,The influence of vgll3 genotypes on sea age at maturity is altered in farmed mowi strain Atlantic salmon,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0745-9
29,Joint analyses of multi-tissue Hi-C and eQTL data demonstrate close spatial proximity between eQTLs and their target genes,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0744-x
30,Molecular markers based on sequence variation in BoFLC1.C9 for characterizing early- and late-flowering cabbage genotypes,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0740-1
31,"Genome-wide identification, structural and gene expression analysis of the bZIP transcription factor family in sweet potato wild relative Ipomoea trifida",http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0743-y
32,An integrative U method for joint analysis of multi-level omic data,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0742-z
33,Genome-wide association study of four yield-related traits at the R6 stage in soybean,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0737-9
34,Characterization of molecular diversity and genome-wide association study of stripe rust resistance at the adult plant stage in Northern Chinese wheat landraces,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0736-x
35,Karyotypic and mtDNA based characterization of Malaysian water buffalo,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0741-0
36,Identifying and exploiting gene-pathway interactions from RNA-seq data for binary phenotype,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0739-7
37,Genome-wide identification and expression analysis of HSP90 gene family in Nicotiana tabacum,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0738-8
38,"Favorable alleles mining for gelatinization temperature, gel consistency and amylose content in Oryza sativa by association mapping",http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0735-y
39,A toolset to study functions of Cytosolic non-specific dipeptidase 2 (CNDP2) using Drosophila as a model organism,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0726-z
40,Organization and evolution of the chalcone synthase gene family in bread wheat and relative species,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0727-y
41,Starch phosphorylation associated SNPs found by genome-wide association studies in the potato (Solanum tuberosum L.),http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0729-9
42,Computational models in genetics at BGRS-2018,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0724-1
43,Genetic control of anthocyanin pigmentation of potato tissues,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0728-x
44,Genome-wide association study and scan for signatures of selection point to candidate genes for body temperature maintenance under the cold stress in Siberian cattle populations,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0725-0
45,Interspecific delimitation and relationships among four Ostrya species based on plastomes,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0733-0
46,Identification of genomic regions and diagnostic markers for resistance to aflatoxin contamination in peanut (Arachis hypogaea L.),http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0734-z
47,Structural organization and functional divergence of high isoelectric point α-amylase genes in bread wheat (Triticum aestivum L.) and barley (Hordeum vulgare L.),http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0732-1
48,Inheritance of coat colour in the cane Corso Italiano dog,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0731-2
49,QTL for spike-layer uniformity and their influence on yield-related traits in wheat,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0730-3
50,Evaluation of fecal samples as a valid source of DNA by comparing paired blood and fecal samples from American bison (Bison bison),http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0722-3
51,Bos taurus–indicus hybridization correlates with intralocus sexual-conflict effects of PRDM9 on male and female fertility in Holstein cattle,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0773-5
52,Preliminary study on microR-148a and microR-10a in dermal papilla cells of Hu sheep,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0770-8
53,"Polymorphisms and genetic effects of PRLR, MOGAT1, MINPP1 and CHUK genes on milk fatty acid traits in Chinese Holstein",http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0769-1
54,The first genetic map for yellow lupin enables genetic dissection of adaptation traits in an orphan grain legume crop,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0767-3
55,Genome-wide association analysis of egg production performance in chickens across the whole laying period,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0771-7
56,"Genetic diversity and population structure of the Sapsaree, a native Korean dog breed",http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0757-5
57,Identification and characterization of cherry (Cerasus pseudocerasus G. Don) genes responding to parthenocarpy induced by GA3 through transcriptome analysis,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0746-8
58,Copy number variation of Ppd-B1 is the major determinant of heading time in durum wheat,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0768-2
59,Meta-analysis of the effects of overexpression of WRKY transcription factors on plant responses to drought stress,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0766-4
60,GWAS of habitual coffee consumption reveals a sex difference in the genetic effect of the 12q24 locus in the Japanese population,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0763-7
61,Functional characterization of Gh_A08G1120 (GH3.5) gene reveal their significant role in enhancing drought and salt stress tolerance in cotton,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0756-6
62,Rapid identification of inflorescence type markers by genotyping-by-sequencing of diploid and triploid F1 plants of Hydrangea macrophylla,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0764-6
63,Meta-analysis of GWA studies provides new insights on the genetic architecture of skin pigmentation in recently admixed populations,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0765-5
64,Phasing quality assessment in a brown layer population through family- and population-based software,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0759-3
65,Genome-wide association analysis for β-hydroxybutyrate concentration in Milk in Holstein dairy cattle,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0761-9
66,Genetic diversity of Bm86 sequences in Rhipicephalus (Boophilus) microplus ticks from Mexico: analysis of haplotype distribution patterns,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0754-8
67,Comparative transcriptome analysis of two reproductive modes in Adiantum reniforme var. sinense targeted to explore possible mechanism of apogamy,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0762-8
68,Hepatic transcriptome profile of sheep (Ovis aries) in response to overgrazing: novel genes and pathways revealed,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0760-x
69,A post-GWAS confirming effects of PRKG1 gene on milk fatty acids in a Chinese Holstein dairy population,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0755-7
70,Genome-wide analysis indicates association between heterozygote advantage and healthy aging in humans,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0758-4
71,Estimation of the genetic parameters for semen traits in Chinese Holstein bulls,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0752-x
72,The genome profiling method can be applied for species identification of biological materials collected at crime scenes,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0753-9
73,Identification and evaluation of a core microsatellite panel for use in white-tailed deer (Odocoileus virginianus),http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0750-z
74,Determination of genetic associations between indels in 11 candidate genes and milk composition traits in Chinese Holstein population,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0751-y
75,Identification and mapping of expressed genes associated with the 2DL QTL for fusarium head blight resistance in the wheat line Wuhan 1,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0748-6
76,In silico genome-wide miRNA-QTL-SNPs analyses identify a functional SNP associated with mastitis in Holsteins,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0749-5
77,Gene expression profiles that shape high and low oil content sesames,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0747-7
78,The influence of vgll3 genotypes on sea age at maturity is altered in farmed mowi strain Atlantic salmon,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0745-9
79,Joint analyses of multi-tissue Hi-C and eQTL data demonstrate close spatial proximity between eQTLs and their target genes,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0744-x
80,Molecular markers based on sequence variation in BoFLC1.C9 for characterizing early- and late-flowering cabbage genotypes,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0740-1
81,"Genome-wide identification, structural and gene expression analysis of the bZIP transcription factor family in sweet potato wild relative Ipomoea trifida",http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0743-y
82,An integrative U method for joint analysis of multi-level omic data,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0742-z
83,Genome-wide association study of four yield-related traits at the R6 stage in soybean,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0737-9
84,Characterization of molecular diversity and genome-wide association study of stripe rust resistance at the adult plant stage in Northern Chinese wheat landraces,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0736-x
85,Karyotypic and mtDNA based characterization of Malaysian water buffalo,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0741-0
86,Identifying and exploiting gene-pathway interactions from RNA-seq data for binary phenotype,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0739-7
87,Genome-wide identification and expression analysis of HSP90 gene family in Nicotiana tabacum,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0738-8
88,"Favorable alleles mining for gelatinization temperature, gel consistency and amylose content in Oryza sativa by association mapping",http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0735-y
89,A toolset to study functions of Cytosolic non-specific dipeptidase 2 (CNDP2) using Drosophila as a model organism,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0726-z
90,Organization and evolution of the chalcone synthase gene family in bread wheat and relative species,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0727-y
91,Starch phosphorylation associated SNPs found by genome-wide association studies in the potato (Solanum tuberosum L.),http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0729-9
92,Computational models in genetics at BGRS-2018,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0724-1
93,Genetic control of anthocyanin pigmentation of potato tissues,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0728-x
94,Genome-wide association study and scan for signatures of selection point to candidate genes for body temperature maintenance under the cold stress in Siberian cattle populations,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0725-0
95,Interspecific delimitation and relationships among four Ostrya species based on plastomes,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0733-0
96,Identification of genomic regions and diagnostic markers for resistance to aflatoxin contamination in peanut (Arachis hypogaea L.),http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0734-z
97,Structural organization and functional divergence of high isoelectric point α-amylase genes in bread wheat (Triticum aestivum L.) and barley (Hordeum vulgare L.),http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0732-1
98,Inheritance of coat colour in the cane Corso Italiano dog,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0731-2
99,QTL for spike-layer uniformity and their influence on yield-related traits in wheat,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0730-3
100,Evaluation of fecal samples as a valid source of DNA by comparing paired blood and fecal samples from American bison (Bison bison),http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0722-3
101,Increasing accuracy of genomic selection in presence of high density marker panels through the prioritization of relevant polymorphisms,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0720-5
102,No genetic erosion after five generations for Impatiens glandulifera populations across the invaded range in Europe,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0721-4
103,Subcongenic analysis of a quantitative trait locus affecting body weight and glucose metabolism in zinc transporter 7 (znt7)-knockout mice,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0715-2
104,Characterization of the extra copy of TPOX locus with tri-allelic pattern,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0723-2
105,"The epigenetic regulation of HsMar1, a human DNA transposon",http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0719-y
106,Uncovering a multitude of human glucocorticoid receptor variants: an expansive survey of a single gene,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0718-z
107,Dissecting closely linked association signals in combination with the mammalian phenotype database can identify candidate genes in dairy cattle,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0717-0
108,The main WAP isoform usually found in camel milk arises from the usage of an improbable intron cryptic splice site in the precursor to mRNA in which a GC-AG intron occurs,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0704-x
109,Genetic diversity and structure in Arapaima gigas populations from Amazon and Araguaia-Tocantins river basins,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0711-y
110,"Tissue expression profiles unveil the gene interaction of hepatopancreas, eyestalk, and ovary in the precocious female Chinese mitten crab, Eriocheir sinensis",http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0716-1
111,Dispersal route of the Asian house rat (Rattus tanezumi) on mainland China: insights from microsatellite and mitochondrial DNA,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0714-3
112,p.E95K mutation in Indian hedgehog causing brachydactyly type A1 impairs IHH/Gli1 downstream transcriptional regulation,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0697-5
113,Comparative transcriptome analysis of two selenium-accumulating genotypes of Aegilops tauschii Coss. in response to selenium,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0700-1
114,Sliding window haplotype approaches overcome single SNP analysis limitations in identifying genes for meat tenderness in Nelore cattle,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-019-0713-4
115,Vps4b heterozygous mice do not develop tooth defects that replicate human dentin dysplasia I,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0699-3
116,Genome-wide association study for response to vaccination in Angus calves1,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0709-5
117,A panel of 32 AIMs suitable for population stratification correction and global ancestry estimation in Mexican mestizos,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0707-7
118,A genome wide association study for the number of animals born dead in domestic pigs,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0692-x
119,Evidence for paternal DNA transmission to gynogenetic grass carp,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0712-x
120,funbarRF: DNA barcode-based fungal species prediction using multiclass Random Forest supervised learning model,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0710-z
121,Methylation of the first exon in the erythropoietin receptor gene does not correlate with its mRNA and protein level in cancer cells,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0706-8
122,Characterization and functional analyses of the human HTR1A gene: 5’ regulatory region modulates gene expression in vitro,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0708-6
123,Genome-wide assessment of genetic diversity and population structure insights into admixture and introgression in Chinese indigenous cattle,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0705-9
124,Associations of sex hormone-binding globulin and testosterone with genome-wide DNA methylation,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0703-y
125,The transcription factor PRO44 and the histone chaperone ASF1 regulate distinct aspects of multicellular development in the filamentous fungus Sordaria macrospora,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0702-z
126,Retraction Note: Dissecting closely linked association signals in combination with the mammalian phenotype database can identify candidate genes in dairy cattle,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0698-4
127,Polymorphisms of HOMER1 gene are associated with piglet splay leg syndrome and one significant SNP can affect its intronic promoter activity in vitro,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0701-0
128,A statistical measure for the skewness of X chromosome inactivation based on family trios,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0694-8
129,Design of low density SNP chips for genotype imputation in layer chicken,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0695-7
130,Investigation of allele-specific expression of genes involved in adipogenesis and lipid metabolism suggests complex regulatory mechanisms of PPARGC1A expression in porcine fat tissues,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0696-6
131,Seedless mutant ‘Wuzi Ougan’ (Citrus suavissima Hort. ex Tanaka ‘seedless’) and the wild type were compared by iTRAQ-based quantitative proteomics and integratedly analyzed with transcriptome to improve understanding of male sterility,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0693-9
132,Quantifying the genetic parameters of feed efficiency in juvenile Nile tilapia Oreochromis niloticus,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0691-y
133,A preliminary integrated genetic map distinguishes every chromosome pair and locates essential genes related to abiotic adaptation of Crassostrea angulata/gigas,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0689-5
134,SNP markers associated with body size and pelt length in American mink (Neovison vison),http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0688-6
135,Identification and validation of QTL and their associated genes for pre-emergent metribuzin tolerance in hexaploid wheat (Triticum aestivum L.),http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0690-z
136,Unexpected patterns of segregation distortion at a selfish supergene in the fire ant Solenopsis invicta,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0685-9
137,Exploring the genetic basis of gene transcript abundance and metabolite levels in loblolly pine (Pinus taeda L.) using association mapping and network construction,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0687-7
138,Single-nucleotide polymorphisms(SNPs) in a sucrose synthase gene are associated with wood properties in Catalpa fargesii bur,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0686-8
139,An improved statistical model for taxonomic assignment of metagenomics,http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0680-1
140,Sequence characterization of the 5S ribosomal DNA and the internal transcribed spacer (ITS) region in four European Donax species (Bivalvia: Donacidae),http://bmcgenet.biomedcentral.com/track/pdf/10.1186/s12863-018-0684-x
