No.,Title,Link
1,Minor intron splicing revisited: identification of new minor intron-containing genes and tissue-dependent retention and alternative splicing of minor introns,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6046-x
2,SigProfilerMatrixGenerator: a tool for visualizing and exploring patterns of small mutational events,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6041-2
3,The Komodo dragon (Varanus komodoensis) genome and identification of innate immunity genes and clusters,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6029-y
4,Comparative transcriptome and coexpression network analysis of carpel quantitative variation in Paeonia rockii,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6036-z
5,Combining next-generation sequencing and single-molecule sequencing to explore brown plant hopper responses to contrasting genotypes of japonica rice,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6049-7
6,iTRAQ-based quantitative proteomic and physiological analysis of the response to N deficiency and the compensation effect in rice,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6031-4
7,Natural allelic variations of Saccharomyces cerevisiae impact stuck fermentation due to the combined effect of ethanol and temperature; a QTL-mapping study,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-5959-8
8,Differential transcriptome dynamics during the onset of conceptus elongation and between female and male porcine embryos,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6044-z
9,Comparative transcription analysis of photosensitive and non-photosensitive eggplants to identify genes involved in dark regulated anthocyanin synthesis,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6023-4
10,Evidence for a non-canonical JAK/STAT signaling pathway in the synthesis of the brain’s major ion channels and neurotransmitter receptors,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6033-2
11,RNA-seq of eight different poplar clones reveals conserved up-regulation of gene expression in response to insect herbivory,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6048-8
12,"Single Cell Explorer, collaboration-driven tools to leverage large-scale single cell RNA-seq data",http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6053-y
13,Proteomic informed by transcriptomic for salivary glands components of the camel tick Hyalomma dromedarii,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6042-1
14,Genome-wide identification and interactome analysis of members of two-component system in Banana,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6050-1
15,Transcriptomics analysis revealing candidate genes and networks for sex differentiation of yesso scallop (Patinopecten yessoensis),http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6021-6
16,Arm-less mitochondrial tRNAs conserved for over 30 millions of years in spiders,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6026-1
17,MiR-190a potentially ameliorates postoperative cognitive dysfunction by regulating Tiam1,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6035-0
18,Genome-wide association scan for QTL and their positional candidate genes associated with internal organ traits in chickens,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6040-3
19,Comparative transcriptomics of early petal development across four diverse species of Aquilegia reveal few genes consistently associated with nectar spur development,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6002-9
20,Genome-wide identification of histone methylation (H3K9me2) and acetylation (H4K12ac) marks in two ecotypes of switchgrass (Panicum virgatum L.),http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6038-x
21,Genome-wide and evolutionary analysis of the class III peroxidase gene family in wheat and Aegilops tauschii reveals that some members are involved in stress responses,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6006-5
22,De novo profiling of RNA viruses in Anopheles malaria vector mosquitoes from forest ecological zones in Senegal and Cambodia,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6034-1
23,Transcriptome profile of Corynebacterium pseudotuberculosis in response to iron limitation,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6018-1
24,The importance of genome sequence quality to microbial comparative genomics,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6014-5
25,Long non-coding RNAs and their potential functions in Ligon-lintless-1 mutant cotton during fiber development,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-5978-5
26,Tracking the adoption of bread wheat varieties in Afghanistan using DNA fingerprinting,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6015-4
27,Investigation of muscle transcriptomes using gradient boosting machine learning identifies molecular predictors of feed efficiency in growing pigs,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6010-9
28,Investigation into the underlying regulatory mechanisms shaping inflorescence architecture in Chenopodium quinoa,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6027-0
29,Transcriptome-wide association study and eQTL analysis to assess the genetic basis of bulb-yield traits in garlic (Allium sativum),http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6025-2
30,Genome-wide identification of AGO18b-bound miRNAs and phasiRNAs in maize by cRIP-seq,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6028-z
31,ITRAQ-based proteomic analysis reveals possible target-related proteins in human adrenocortical adenomas,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6030-5
32,Evaluating the quality of the 1000 genomes project data,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-5957-x
33,"Differences in gene expression in whitefly associated with CYSDV-infected and virus-free melon, and comparison with expression in whiteflies fed on ToCV- and TYLCV-infected tomato",http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-5999-0
34,Genome-wide identification of circular RNAs in peanut (Arachis hypogaea L.),http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6020-7
35,Stoichiometric gene-to-reaction associations enhance model-driven analysis performance: Metabolic response to chronic exposure to Aldrin in prostate cancer,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-5979-4
36,"Genome-wide analysis of the cotton G-coupled receptor proteins (GPCR) and functional analysis of GTOM1, a novel cotton GPCR gene under drought and cold stress",http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-5972-y
37,Validation and delineation of a locus conferring Fusarium crown rot resistance on 1HL in barley by analysing transcriptomes from multiple pairs of near isogenic lines,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6011-8
38,Characterization and expression profiles of miRNAs in the triploid hybrids of Brassica napus and Brassica rapa,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6001-x
39,Genome wide association mapping and candidate gene analysis for hundred seed weight in soybean [Glycine max (L.) Merrill],http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6009-2
40,Transcriptomic analysis of immune response to bacterial lipopolysaccharide in zebra finch (Taeniopygia guttata),http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6016-3
41,"Candidates for chemosensory genes identified in the Chinese citrus fly, Bactrocera minax, through a transcriptomic analysis",http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6022-5
42,Transcriptome annotation and characterization of novel toxins in six scorpion species,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6013-6
43,Transcriptomic analysis reveals the mechanism of thermosensitive genic male sterility (TGMS) of Brassica napus under the high temperature inducement,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6008-3
44,The genome of Ensifer alkalisoli YIC4027 provides insights for host specificity and environmental adaptations,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6004-7
45,Complete genome sequence analysis of the thermoacidophilic verrucomicrobial methanotroph “Candidatus Methylacidiphilum kamchatkense” strain Kam1 and comparison with its closest relatives,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-5995-4
46,DiscoverY: a classifier for identifying Y chromosome sequences in male assemblies,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-5996-3
47,Genome-wide association study reveals new loci for yield-related traits in Sichuan wheat germplasm under stripe rust stress,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6005-6
48,RNAi based transcriptome suggests genes potentially regulated by HSF1 in the Pacific oyster Crassostrea gigas under thermal stress,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6003-8
49,HetEnc: a deep learning predictive model for multi-type biological dataset,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-5997-2
50,A seed-extended algorithm for detecting protein complexes based on density and modularity with topological structure and GO annotations,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-5956-y
51,Minor intron splicing revisited: identification of new minor intron-containing genes and tissue-dependent retention and alternative splicing of minor introns,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6046-x
52,SigProfilerMatrixGenerator: a tool for visualizing and exploring patterns of small mutational events,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6041-2
53,The Komodo dragon (Varanus komodoensis) genome and identification of innate immunity genes and clusters,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6029-y
54,Comparative transcriptome and coexpression network analysis of carpel quantitative variation in Paeonia rockii,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6036-z
55,Combining next-generation sequencing and single-molecule sequencing to explore brown plant hopper responses to contrasting genotypes of japonica rice,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6049-7
56,iTRAQ-based quantitative proteomic and physiological analysis of the response to N deficiency and the compensation effect in rice,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6031-4
57,Natural allelic variations of Saccharomyces cerevisiae impact stuck fermentation due to the combined effect of ethanol and temperature; a QTL-mapping study,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-5959-8
58,Differential transcriptome dynamics during the onset of conceptus elongation and between female and male porcine embryos,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6044-z
59,Comparative transcription analysis of photosensitive and non-photosensitive eggplants to identify genes involved in dark regulated anthocyanin synthesis,http://bmcgenomics.biomedcentral.com/track/pdf/10.1186/s12864-019-6023-4
