No.,Title,Link
1,"A randomized, crossover study of the acute effects of acarbose and gastric distension, alone and combined, on postprandial blood pressure in healthy older adults",http://bmcgeriatr.biomedcentral.com/track/pdf/10.1186/s12877-019-1251-7
2,"An augmented prescribed exercise program (APEP) to improve mobility of older acute medical patients – a randomized, controlled pilot and feasibility trial",http://bmcgeriatr.biomedcentral.com/track/pdf/10.1186/s12877-019-1246-4
3,The impact of the absorbent products distribution system on family caregivers of older people with incontinence in Italy: perception of the support received,http://bmcgeriatr.biomedcentral.com/track/pdf/10.1186/s12877-019-1254-4
4,Females fall more from heights but males survive less among a geriatric population: insights from an American level 1 trauma center,http://bmcgeriatr.biomedcentral.com/track/pdf/10.1186/s12877-019-1252-6
5,Effectiveness of a group-based psychosocial program to prevent depression and anxiety in older people attending primary health care centres: a randomised controlled trial,http://bmcgeriatr.biomedcentral.com/track/pdf/10.1186/s12877-019-1255-3
6,Understanding changes and stability in the long-term use of technologies by seniors who are aging in place: a dynamical framework,http://bmcgeriatr.biomedcentral.com/track/pdf/10.1186/s12877-019-1241-9
7,Effects of individualized Tai-Chi on balance and lower-limb strength in older adults,http://bmcgeriatr.biomedcentral.com/track/pdf/10.1186/s12877-019-1250-8
8,Objective and perceived food environment and household economic resources related to food insecurity in older adults living alone in rural areas,http://bmcgeriatr.biomedcentral.com/track/pdf/10.1186/s12877-019-1231-y
9,Erythrocyte sedimentation rate and albumin as markers of inflammation are associated with measures of sarcopenia: a cross-sectional study,http://bmcgeriatr.biomedcentral.com/track/pdf/10.1186/s12877-019-1253-5
10,The benefits of and barriers to using a social robot PARO in care settings: a scoping review,http://bmcgeriatr.biomedcentral.com/track/pdf/10.1186/s12877-019-1244-6
11,The course of depressive symptoms with decline in cognitive function - a longitudinal study of older adults receiving in-home care at baseline,http://bmcgeriatr.biomedcentral.com/track/pdf/10.1186/s12877-019-1226-8
