No.,Title,Link
1,Inequality in geographical distribution of hospitals and hospital beds in densely populated metropolitan cities of Iran,http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4443-0
2,Implementing a survey for patients to provide safety experience feedback following a care transition: a feasibility study,http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4447-9
3,Evaluation of a shared decision-making communication skills training for physicians treating patients with asthma: a mixed methods study using simulated patients,http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4445-y
4,"Strengthening the “P” in Maternal and Perinatal Death Surveillance and Response in Bungoma county, Kenya: implications for scale-up",http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4431-4
5,What has driven the spatial spillover of China’s out-of-pocket payments?,http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4451-0
6,"A needs assessment for a minor eye condition service within Leeds, Bradford and Airedale, UK",http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4448-8
7,The use of modelling studies to inform planning of health services: case study of rapidly increasing endoscopy services in Australia,http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4438-x
8,Employees’ perceptions of patient safety culture in Norwegian nursing homes and home care services,http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4456-8
9,Does gynaecological cancer care meet the needs of Indigenous Australian women? Qualitative interviews with patients and care providers,http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4455-9
10,Patients’ perspective on self-management: type 2 diabetes in daily life,http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4384-7
11,Implementing eScreening technology in four VA clinics: a mixed-method study,http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4436-z
12,Understanding patients’ satisfaction with physician assistant/associate encounters through communication experiences: a qualitative study in acute hospitals in England,http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4410-9
13,"The knowledge, ability, and skills of primary health care providers in SEANERN countries: a multi-national cross-sectional study",http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4402-9
14,Type 2 diabetes mellitus in Bangladesh: a prevalence based cost-of-illness study,http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4440-3
15,Injection practices in 2011–2015: a review using data from the demographic and health surveys (DHS),http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4366-9
16,"Participation in the state led ‘Janani Sahayogi Yojana’ public private partnership program to promote facility births in Madhya Pradesh, India: views from private obstetrician partners",http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4409-2
17,Predictors of loss to follow up among patients with type 2 diabetes mellitus attending a private not for profit urban diabetes clinic in Uganda – a descriptive retrospective study,http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4415-4
18,Informed consent at stake? Language barriers in medical interactions with immigrant anaesthetists: a conversation analytical study,http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4389-2
19,Competency building for lay health workers is an intangible force driving basic public health services in Southwest China,http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4433-2
20,Why are fewer women rising to the top? A life history gender analysis of Cambodia’s health workforce,http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4424-3
21,Improving outcomes for multi-drug-resistant tuberculosis in the Peruvian Amazon – a qualitative study exploring the experiences and perceptions of patients and healthcare professionals,http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4429-y
22,Effects of non-medical health coaching on multimorbid patients in primary care: a difference-in-differences analysis,http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4367-8
23,Parental and health professional evaluations of a support service for parents of excessively crying infants,http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4430-5
24,Self-reported healthcare waste segregation practice and its correlate among healthcare workers in hospitals of Southeast Ethiopia,http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4439-9
25,Prevalence and determinants of dental visits among older adults: findings of a nationally representative longitudinal study,http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4427-0
26,Development of the Patient’s Experience and Attitude Colposcopy Eindhoven Questionnaire (PEACE-q),http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4425-2
27,An evaluation of the implementation of cascade training for suicide prevention during the ‘Choose Life’ initiative in Scotland - utilizing Normalization Process Theory,http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4398-1
28,"Service use, unmet needs, and barriers to services among adolescents and young adults with autism spectrum disorder in Poland",http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4432-3
29,Health care professional’s communication through an interpreter where language barriers exist in neonatal care: a national study,http://bmchealthservres.biomedcentral.com/track/pdf/10.1186/s12913-019-4428-z
