No.,Title,Link
1,Correction to: Patterns of bone marrow aspiration confirmed hematological malignancies in Eritrean National Health Laboratory,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-019-0143-6
2,Correction to: The impact of helicobacter pylori eradication on platelet counts of adult patients with idiopathic thrombocytopenic purpura,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-019-0142-7
3,"Assessment of knowledge, attitude and practice and associated factors of blood donation among health care workers in Ethiopia: a cross-sectional study",http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-019-0140-9
4,Health-related quality of life of adolescents with sickle cell disease in sub-Saharan Africa: a cross-sectional study,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-019-0141-8
5,Patterns of bone marrow aspiration confirmed hematological malignancies in Eritrean National Health Laboratory,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-019-0138-3
6,Response to Imatinib therapy is inferior for e13a2 BCR-ABL1 transcript type in comparison to e14a2 transcript type in chronic myeloid leukaemia,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-019-0139-2
7,"Anemia and its associated factors among school-age children living in different climatic zones of Arba Minch Zuria District, Southern Ethiopia",http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-019-0137-4
8,"Seroprevalence of transfusion transmitted infections among blood donors in Gash Barka Zonal Blood Transfusion Center, Barentu, Eritrea, 2014 through 2017",http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-019-0136-5
9,"Molecular characterization of β-thalassemia intermedia in the West Bank, Palestine",http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-019-0135-6
10,Magnitude of elevated iron stores and risk associated in steady state sickle cell anemia Congolese children: a cross sectional study,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-019-0134-7
11,"Effect of iron deficiency anemia on HbA1c in diabetic patients at Tikur Anbessa specialized teaching hospital, Addis Ababa Ethiopia",http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0132-1
12,"Prevalence of anemia among adults at Hawassa University referral hospital, Southern Ethiopia",http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0133-0
13,Risk factors of metabolic syndrome among adult Sudanese sickle cell anemia patients,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0110-7
14,The role of haematological indices in predicting early iron deficiency among pregnant women in an urban area of Sri Lanka,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0131-2
15,"Motivational factors for blood donation, potential barriers, and knowledge about blood donation in first-time and repeat blood donors",http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0130-3
16,Infections in patients with aplastic Anemia in Chiang Mai University,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0129-9
17,Recombinant activated factor VII (rFVIIa) in refractory haemorrhage for non-haemophiliacs: an eleven-year single-centre experience,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0126-z
18,"A ten year review of the sickle cell program in Muhimbili National Hospital, Tanzania",http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0125-0
19,Prevalence of anemia and its associated factors in human immuno deficiency virus infected adult individuals in Ethiopia. A systematic review and meta-analysis,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0127-y
20,"Prevalence, types and determinants of anemia among pregnant women in Sudan: a systematic review and meta-analysis",http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0124-1
21,Storage related haematological and biochemical changes in Plasmodium falciparum infected and sickle cell trait donor blood,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0128-x
22,Effect of iron-folic acid supplementation on change of hemoglobin among visceral Leishmaniasis patients in northwest Ethiopia: a retrospective follow up study,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0123-2
23,The impact of helicobacter pylori eradication on platelet counts of adult patients with idiopathic thrombocytopenic purpura,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0119-y
24,"Biochemical and hematological changes among anemic and non-anemic pregnant women attending antenatal clinic at the Bolgatanga regional hospital, Ghana",http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0121-4
25,Diagnostic accuracy in field conditions of the sickle SCAN® rapid test for sickle cell disease among children and adults in two West African settings: the DREPATEST study,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0120-5
26,"The clinical presentation, utilization, and outcome of individuals with sickle cell anaemia presenting to urban emergency department of a tertiary hospital in Tanzania",http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0122-3
27,"Seroprevalence and trends of transfusion transmitted infections at Harar blood bank in Harari regional state, Eastern Ethiopia: eight years retrospective study",http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0115-2
28,"Albumin, copper, manganese and cobalt levels in children suffering from sickle cell anemia at Kasumbalesa, in Democratic Republic of Congo",http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0118-z
29,"Evaluation and characterization of tumor lysis syndrome before and after chemotherapy among pediatric oncology patients in Tikur Anbessa specialized hospital, Addis Ababa, Ethiopia",http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0117-0
30,"A new adult AML case with an extremely complex karyotype, remission and relapse combined with high hyperdiploidy of a normal chromosome set in secondary AML",http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0114-3
31,Useful clinical features and hematological parameters for the diagnosis of dengue infection in patients with acute febrile illness: a retrospective study,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0116-1
32,Rapid access clinic for unexplained lymphadenopathy and suspected malignancy: prospective analysis of 1000 patients,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0109-0
33,Rare and unusual case of anti-factor XI antibodies in patient with plasma cell leukemia,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0100-9
34,Identification of a novel mutation in the factor VIII gene causing severe haemophilia A,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0113-4
35,Demographic characteristics of blood and blood components transfusion recipients and pattern of blood utilization in a tertiary health institution in southern Nigeria,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0112-5
36,"Hematological profile of pregnant women at St. Paul’s Hospital Millennium Medical College, Addis Ababa, Ethiopia",http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0111-6
37,"Anemia and associated factors among children aged 6–23 months in Damot Sore District, Wolaita Zone, South Ethiopia",http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0108-1
38,Experimental folate deficiency in human subjects: what is the influence of vitamin C status on time taken to develop megaloblastic anaemia?,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0107-2
39,Adapting medical guidelines to be patient-centered using a patient-driven process for individuals with sickle cell disease and their caregivers,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0106-3
40,Hemostatic state augmented with platelet indices among Sudanese diabetic septic foot,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0104-5
41,Blood factory: which stem cells?,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0105-4
42,"Prevalence of thrombocytopenia before and after initiation of HAART among HIV infected patients at black lion specialized hospital, Addis Ababa, Ethiopia: a cross sectional study",http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0103-6
43,Prevalence of cytopenias in both HAART and HAART naïve HIV infected adult patients in Ethiopia: a cross sectional study,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0102-7
44,"Prevalence of anemia before and after initiation of antiretroviral therapy among HIV infected patients at Black Lion Specialized Hospital, Addis Ababa, Ethiopia: a cross sectional study",http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0099-y
45,A pilot study on the usefulness of peripheral blood flow cytometry for the diagnosis of lower risk myelodysplastic syndromes: the “MDS thermometer”,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0101-8
46,A rare case of avascular necrosis in sickle cell trait: a case report,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0098-z
47,"More is less, less is more, or does it really matter? The curious case of impact of azacitidine administration schedules on outcomes in patients with myelodysplastic syndromes",http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0095-2
48,Systematic review of azacitidine regimens in myelodysplastic syndrome and acute myeloid leukemia,http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-017-0094-8
49,"Pregnant mothers are more anemic than lactating mothers, a comparative cross-sectional study, Bahir Dar, Ethiopia",http://bmchematol.biomedcentral.com/track/pdf/10.1186/s12878-018-0096-1
