No.,Title,Link
1,The predictive role of CD4+ cell count and CD4/CD8 ratio in immune reconstitution outcome among HIV/AIDS patients receiving antiretroviral therapy: an eight-year observation in China,http://bmcimmunol.biomedcentral.com/track/pdf/10.1186/s12865-019-0311-2
2,"Genetic polymorphisms and epigenetic regulation of survivin encoding gene, BIRC5, in multiple sclerosis patients",http://bmcimmunol.biomedcentral.com/track/pdf/10.1186/s12865-019-0312-1
3,Pneumococcal vaccination responses in adults with subnormal IgG subclass concentrations,http://bmcimmunol.biomedcentral.com/track/pdf/10.1186/s12865-019-0310-3
4,Comprehensive analyses of long non-coding RNA expression profiles by RNA sequencing and exploration of their potency as biomarkers in psoriatic arthritis patients,http://bmcimmunol.biomedcentral.com/track/pdf/10.1186/s12865-019-0297-9
5,CD4+ T cell exhaustion revealed by high PD-1 and LAG-3 expression and the loss of helper T cell function in chronic hepatitis B,http://bmcimmunol.biomedcentral.com/track/pdf/10.1186/s12865-019-0309-9
6,Increased circulating Tfh to Tfr ratio in chronic renal allograft dysfunction: a pilot study,http://bmcimmunol.biomedcentral.com/track/pdf/10.1186/s12865-019-0308-x
7,Identification of adjuvants for clinical trials performed with Plasmodium falciparum AMA1 in rabbits,http://bmcimmunol.biomedcentral.com/track/pdf/10.1186/s12865-019-0307-y
8,Changes of B cell subsets in central pathological process of autoimmune encephalomyelitis in mice,http://bmcimmunol.biomedcentral.com/track/pdf/10.1186/s12865-019-0301-4
9,Association of proinflammatory genes expression with serum interleukin 1β and free fatty acids in metabolically healthy and unhealthy abdominally obese individuals: a case-control study,http://bmcimmunol.biomedcentral.com/track/pdf/10.1186/s12865-019-0303-2
10,Macrophage migration inhibitory factor is involved in antineutrophil cytoplasmic antibody-mediated activation of C5a-primed neutrophils,http://bmcimmunol.biomedcentral.com/track/pdf/10.1186/s12865-019-0306-z
11,A comprehensive autoantigen-ome of autoimmune liver diseases identified from dermatan sulfate affinity enrichment of liver tissue proteins,http://bmcimmunol.biomedcentral.com/track/pdf/10.1186/s12865-019-0304-1
12,Lack of the hyaluronan receptor CD44 affects the course of bacterial otitis media and reduces leukocyte recruitment to the middle ear,http://bmcimmunol.biomedcentral.com/track/pdf/10.1186/s12865-019-0302-3
13,Longitudinal immunosequencing in healthy people reveals persistent T cell receptors rich in highly public receptors,http://bmcimmunol.biomedcentral.com/track/pdf/10.1186/s12865-019-0300-5
14,Similar immune mechanisms control experimental airway eosinophilia elicited by different allergens and treatment protocols,http://bmcimmunol.biomedcentral.com/track/pdf/10.1186/s12865-019-0295-y
15,Soluble CD14 subtype (sCD14-ST) as biomarker in neonatal early-onset sepsis and late-onset sepsis: a systematic review and meta-analysis,http://bmcimmunol.biomedcentral.com/track/pdf/10.1186/s12865-019-0298-8
16,Distinct variations of antibody secreting cells and memory B cells during the course of Kawasaki disease,http://bmcimmunol.biomedcentral.com/track/pdf/10.1186/s12865-019-0299-7
17,Clinical and laboratory associations of mannose-binding lectin in 219 adults with IgG subclass deficiency,http://bmcimmunol.biomedcentral.com/track/pdf/10.1186/s12865-019-0296-x
18,Identification and characterisation of transient receptor potential melastatin 2 and CD38 channels on natural killer cells using the novel application of flow cytometry,http://bmcimmunol.biomedcentral.com/track/pdf/10.1186/s12865-019-0293-0
19,Tristetraprolin specifically regulates the expression and alternative splicing of immune response genes in HeLa cells,http://bmcimmunol.biomedcentral.com/track/pdf/10.1186/s12865-019-0292-1
20,Immunoglobulin G responses against falciparum malaria specific antigens are higher in children with homozygous sickle cell trait than those with normal hemoglobin,http://bmcimmunol.biomedcentral.com/track/pdf/10.1186/s12865-019-0294-z
21,A novel approach reveals that HLA class 1 single antigen bead-signatures provide a means of high-accuracy pre-transplant risk assessment of acute cellular rejection in renal transplantation,http://bmcimmunol.biomedcentral.com/track/pdf/10.1186/s12865-019-0291-2
22,"Patients with idiopathic recurrent miscarriage have abnormally high TGFß+ blood NK, NKT and T cells in the presence of abnormally low TGFß plasma levels",http://bmcimmunol.biomedcentral.com/track/pdf/10.1186/s12865-019-0290-3
23,Active immunization with norovirus P particle-based amyloid-β chimeric protein vaccine induces high titers of anti-Aβ antibodies in mice,http://bmcimmunol.biomedcentral.com/track/pdf/10.1186/s12865-019-0289-9
24,Expression of ligands for activating natural killer cell receptors on cell lines commonly used to assess natural killer cell function,http://bmcimmunol.biomedcentral.com/track/pdf/10.1186/s12865-018-0272-x
25,CEACAM1 regulates the IL-6 mediated fever response to LPS through the RP105 receptor in murine monocytes,http://bmcimmunol.biomedcentral.com/track/pdf/10.1186/s12865-019-0287-y
26,Monoclonal antibody against EV71 3Dpol inhibits the polymerase activity of RdRp and virus replication,http://bmcimmunol.biomedcentral.com/track/pdf/10.1186/s12865-019-0288-x
27,Phenotypic and functional stability of leukocytes from human peripheral blood samples: considerations for the design of immunological studies,http://bmcimmunol.biomedcentral.com/track/pdf/10.1186/s12865-019-0286-z
