No.,Title,Link
1,Presepsin as a diagnostic marker of sepsis in children and adolescents: a systemic review and meta-analysis,http://bmcinfectdis.biomedcentral.com/track/pdf/10.1186/s12879-019-4397-1
2,"Changing face of Candida colonization pattern in pediatric patients with hematological malignancy during repeated hospitalizations, results of a prospective observational study (2016–2017) in shiraz, Iran",http://bmcinfectdis.biomedcentral.com/track/pdf/10.1186/s12879-019-4372-x
3,Association of TGF-ß1 polymorphisms and chronic hepatitis C infection: a Meta-analysis,http://bmcinfectdis.biomedcentral.com/track/pdf/10.1186/s12879-019-4390-8
4,"Human metapneumovirus prevalence and patterns of subgroup persistence identified through surveillance of pediatric pneumonia hospital admissions in coastal Kenya, 2007–2016",http://bmcinfectdis.biomedcentral.com/track/pdf/10.1186/s12879-019-4381-9
5,The utility of endotracheal aspirate bacteriology in identifying mechanically ventilated patients at risk for ventilator associated pneumonia: a single-center prospective observational study,http://bmcinfectdis.biomedcentral.com/track/pdf/10.1186/s12879-019-4367-7
6,Editorial: the airborne microbiome - implications for aerosol transmission and infection control – special issue,http://bmcinfectdis.biomedcentral.com/track/pdf/10.1186/s12879-019-4399-z
7,Risk factors for mortality in patients with Stenotrophomonas maltophilia bacteremia and clinical impact of quinolone–resistant strains,http://bmcinfectdis.biomedcentral.com/track/pdf/10.1186/s12879-019-4394-4
8,Development of a combined RLEP/16S rRNA (RT) qPCR assay for the detection of viable M. leprae from nasal swab samples,http://bmcinfectdis.biomedcentral.com/track/pdf/10.1186/s12879-019-4349-9
9,"Surgical site infections after cesarean sections at the University Clinical Center of Kosovo: rates, microbiological profile and risk factors",http://bmcinfectdis.biomedcentral.com/track/pdf/10.1186/s12879-019-4383-7
10,"Assessing rates and contextual predictors of 5-year mortality among HIV-infected and HIV-uninfected individuals following HIV testing in Durban, South Africa",http://bmcinfectdis.biomedcentral.com/track/pdf/10.1186/s12879-019-4373-9
11,Systematic review of dengue vaccine efficacy,http://bmcinfectdis.biomedcentral.com/track/pdf/10.1186/s12879-019-4369-5
12,Childhood tuberculosis and treatment outcomes in Accra: a retrospective analysis,http://bmcinfectdis.biomedcentral.com/track/pdf/10.1186/s12879-019-4392-6
13,Cerebral sparganosis presenting with atypical postcontrast magnetic resonance imaging findings: a case report and literature review,http://bmcinfectdis.biomedcentral.com/track/pdf/10.1186/s12879-019-4396-2
14,Evaluation of four rapid diagnostic tests for canine and human visceral Leishmaniasis in Colombia,http://bmcinfectdis.biomedcentral.com/track/pdf/10.1186/s12879-019-4353-0
15,"Trends in antimicrobial resistance of bacterial pathogens in Harare, Zimbabwe, 2012–2017: a secondary dataset analysis",http://bmcinfectdis.biomedcentral.com/track/pdf/10.1186/s12879-019-4295-6
16,Comparison of pleural effusion features and biomarkers between talaromycosis and tuberculosis in non-human immunodeficiency virus-infected patients,http://bmcinfectdis.biomedcentral.com/track/pdf/10.1186/s12879-019-4376-6
17,"High incidence of virulence determinants, aminoglycoside and vancomycin resistance in enterococci isolated from hospitalized patients in Northwest Iran",http://bmcinfectdis.biomedcentral.com/track/pdf/10.1186/s12879-019-4395-3
18,Spatial and temporal patterns of dengue incidence in northeastern Thailand 2006–2016,http://bmcinfectdis.biomedcentral.com/track/pdf/10.1186/s12879-019-4379-3
19,Trends in resistant Enterobacteriaceae and Acinetobacter species in hospitalized patients in the United States: 2013–2017,http://bmcinfectdis.biomedcentral.com/track/pdf/10.1186/s12879-019-4387-3
20,Trend of HIV transmitted drug resistance before and after implementation of HAART regimen restriction in the treatment of HIV-1 infected patients in southern Taiwan,http://bmcinfectdis.biomedcentral.com/track/pdf/10.1186/s12879-019-4389-1
21,HCV-infected individuals have higher prevalence of comorbidity and multimorbidity: a retrospective cohort study,http://bmcinfectdis.biomedcentral.com/track/pdf/10.1186/s12879-019-4315-6
22,Persistence of cervical high-risk human papillomavirus in women living with HIV in Denmark – the SHADE,http://bmcinfectdis.biomedcentral.com/track/pdf/10.1186/s12879-019-4377-5
