No.,Title,Link
1,Perceptions of brazilian nursing faculty members regarding literacy of human rights related to health in nursing undergraduate programs,http://bmcinthealthhumrights.biomedcentral.com/track/pdf/10.1186/s12914-019-0213-7
2,Health care providers’ and mothers’ perceptions about the medicalization of female genital mutilation or cutting in Egypt: a cross-sectional qualitative study,http://bmcinthealthhumrights.biomedcentral.com/track/pdf/10.1186/s12914-019-0202-x
3,Child marriage among boys in high-prevalence countries: an analysis of sexual and reproductive health outcomes,http://bmcinthealthhumrights.biomedcentral.com/track/pdf/10.1186/s12914-019-0212-8
4,Effects of the Convention on the Rights of the Child on child mortality and vaccination rates: a synthetic control analysis,http://bmcinthealthhumrights.biomedcentral.com/track/pdf/10.1186/s12914-019-0211-9
5,Studying the impoverishing effects of procuring medicines: a national study,http://bmcinthealthhumrights.biomedcentral.com/track/pdf/10.1186/s12914-019-0210-x
6,A model explaining refugee experiences of the Australian healthcare system: a systematic review of refugee perceptions,http://bmcinthealthhumrights.biomedcentral.com/track/pdf/10.1186/s12914-019-0206-6
7,Current care for victims of sexual violence and future sexual assault care centres in Belgium: the perspective of victims,http://bmcinthealthhumrights.biomedcentral.com/track/pdf/10.1186/s12914-019-0207-5
8,Quality of health care for refugees – a systematic review,http://bmcinthealthhumrights.biomedcentral.com/track/pdf/10.1186/s12914-019-0205-7
9,Community-based surveillance of unaccompanied and separated children in drought-affected northern Ethiopia,http://bmcinthealthhumrights.biomedcentral.com/track/pdf/10.1186/s12914-019-0203-9
10,"Coping with ill-health: health care facility, chemist or medicinal plants? Health-seeking behaviour in a Kenyan wetland",http://bmcinthealthhumrights.biomedcentral.com/track/pdf/10.1186/s12914-019-0199-1
11,Prison health situation and health rights of young people incarcerated in sub-Saharan African prisons and detention centres: a scoping review of extant literature,http://bmcinthealthhumrights.biomedcentral.com/track/pdf/10.1186/s12914-019-0200-z
12,"Assessing the influence of conflict on the dynamics of sex work and the HIV and HCV epidemics in Ukraine: protocol for an observational, ethnographic, and mathematical modeling study",http://bmcinthealthhumrights.biomedcentral.com/track/pdf/10.1186/s12914-019-0201-y
13,An investigation into the association of pre- and post-migration experiences on the self-rated health status among new resettled adult humanitarian refugees to Australia: a protocol for a mixed methods study,http://bmcinthealthhumrights.biomedcentral.com/track/pdf/10.1186/s12914-019-0198-2
14,Human rights’ interdependence and indivisibility: a glance over the human rights to water and sanitation,http://bmcinthealthhumrights.biomedcentral.com/track/pdf/10.1186/s12914-019-0197-3
15,‘Mankind owes to the child the best that it has to give’: prison conditions and the health situation and rights of children incarcerated with their mothers in sub-Saharan African prisons,http://bmcinthealthhumrights.biomedcentral.com/track/pdf/10.1186/s12914-019-0194-6
16,Leishmaniasis patients' pilgrimage to access health care in rural Bolivia: a qualitative study using human rights to health approach,http://bmcinthealthhumrights.biomedcentral.com/track/pdf/10.1186/s12914-019-0196-4
17,"The relationship between depression and sexual health service utilization among men who have sex with men (MSM) in Côte d'Ivoire, West Africa",http://bmcinthealthhumrights.biomedcentral.com/track/pdf/10.1186/s12914-019-0186-6
18,Impact of health insurance status among migrants from sub-Saharan Africa on access to health care and HIV testing in Germany: a participatory cross-sectional survey,http://bmcinthealthhumrights.biomedcentral.com/track/pdf/10.1186/s12914-019-0189-3
