No.,Title,Link
1,Fostering cultural responsiveness in physiotherapy: curricula survey of Australian and Aotearoa New Zealand physiotherapy programs,http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1766-9
2,"Training to reduce LGBTQ-related bias among medical, nursing, and dental students and providers: a systematic review",http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1727-3
3,"“Perceptions, expectations and satisfaction levels of occupational therapy students prior to and after practice placement and comparison of practice placement models”",http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1762-0
4,Educational efficacy of high-fidelity simulation in neonatal resuscitation training: a systematic review and meta-analysis,http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1763-z
5,Using simulation to explore medical students’ understanding of integrated care within geriatrics,http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1758-9
6,The utilization of peer feedback during collaborative learning in undergraduate medical education: a systematic review,http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1755-z
7,The journey of thesis supervisors from novice to expert: a grounded theory study,http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1739-z
8,Exploring the introduction of entrustment rating scales in an existing objective structured clinical examination,http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1736-2
9,The effect of repeated full immersion simulation training in ureterorenoscopy on mental workload of novice operators,http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1752-2
10,Is your mind set? – how are intra- and interpersonal competences dealt with in medical education? A multi-professional qualitative study,http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1748-y
11,Exploring undergraduate students achievement emotions during ward round simulation: a mixed-method study,http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1753-1
12,The relation of dental students’ learning styles to their satisfaction with traditional and inverted classroom models,http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1749-x
13,Rapid cycle deliberate practice vs. traditional simulation in a resource-limited setting,http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1742-4
14,Correction to: How does ‘banter’ influence trainee doctors’ choice of career? A qualitative study,http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1707-7
15,Stressors and resources related to academic studies and improvements suggested by medical students: a qualitative study,http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1747-z
16,Changing prescribing behaviours with educational outreach: an overview of evidence and practice,http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1735-3
17,Video feedback and e-Learning enhances laboratory skills and engagement in medical laboratory science students,http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1745-1
18,Trust in Group Decisions: a scoping review,http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1726-4
19,Professional identity measures for student health professionals – a systematic review of psychometric properties,http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1660-5
20,"Pain curricula across healthcare professions undergraduate degrees: a cross-sectional study in Catalonia, Spain",http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1741-5
21,"Three zones of cultural competency: surface competency, bias twilight, and the confronting midnight zone",http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1746-0
22,Development of an e-learning prototype for assessing occupational stress-related disorders: a qualitative study,http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1743-3
23,Evaluation of Constructing Care Collaboration - nurturing empathy and peer-to-peer learning in medical students who participate in voluntary structured service learning programmes for migrant workers,http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1740-6
24,Practice scope and job confidence of two-year trained optometry technicians in Eritrea,http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1738-0
25,"Motives, experiences and psychological strain in medical students engaged in refugee care in a reception center– a mixed-methods approach",http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1730-8
26,Does academic interest play a more important role in medical sciences than in other disciplines? A nationwide cross-sectional study in China,http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1737-1
27,Influencing factors in the implementation of postgraduate medical e-learning: a thematic analysis,http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1720-x
28,Influencing nursing students’ perceptions of community care with curriculum-redesign; a quasi-experimental cohort study,http://bmcmededuc.biomedcentral.com/track/pdf/10.1186/s12909-019-1733-5
