No.,Title,Link
1,Umbrella and basket trials in oncology: ethical challenges,http://bmcmedethics.biomedcentral.com/track/pdf/10.1186/s12910-019-0395-5
2,"What Egyptians think. Knowledge, attitude, and opinions of Egyptian patients towards biobanking issues",http://bmcmedethics.biomedcentral.com/track/pdf/10.1186/s12910-019-0394-6
3,"Parental decision-making following a prenatal diagnosis that is lethal, life-limiting, or has long term implications for the future child and family: a meta-synthesis of qualitative literature",http://bmcmedethics.biomedcentral.com/track/pdf/10.1186/s12910-019-0393-7
4,Regulatory and policy tools to address unproven stem cell interventions in Canada: the need for action,http://bmcmedethics.biomedcentral.com/track/pdf/10.1186/s12910-019-0388-4
5,Model consent clauses for rare disease research,http://bmcmedethics.biomedcentral.com/track/pdf/10.1186/s12910-019-0390-x
6,Informed consent and community engagement in open field research: lessons for gene drive science,http://bmcmedethics.biomedcentral.com/track/pdf/10.1186/s12910-019-0389-3
7,"Global health ethics: critical reflections on the contours of an emerging field, 1977–2015",http://bmcmedethics.biomedcentral.com/track/pdf/10.1186/s12910-019-0391-9
8,Do codes of ethics and position statements help guide ethical decision making in Australian immigration detention centres?,http://bmcmedethics.biomedcentral.com/track/pdf/10.1186/s12910-019-0392-8
9,Experiences from a community advisory Board in the Implementation of early access to ART for all in Eswatini: a qualitative study,http://bmcmedethics.biomedcentral.com/track/pdf/10.1186/s12910-019-0384-8
10,Implementing ethics reflection groups in hospitals: an action research study evaluating barriers and promotors,http://bmcmedethics.biomedcentral.com/track/pdf/10.1186/s12910-019-0387-5
11,Do we understand the intervention? What complex intervention research can teach us for the evaluation of clinical ethics support services (CESS),http://bmcmedethics.biomedcentral.com/track/pdf/10.1186/s12910-019-0381-y
12,A reflection on ethical and methodological challenges of using separate interviews with adolescent-older carer dyads in rural South Africa,http://bmcmedethics.biomedcentral.com/track/pdf/10.1186/s12910-019-0383-9
13,Is the non-identity problem relevant to public health and policy? An online survey,http://bmcmedethics.biomedcentral.com/track/pdf/10.1186/s12910-019-0379-5
14,The challenge of community engagement and informed consent in rural Zambia: an example from a pilot study,http://bmcmedethics.biomedcentral.com/track/pdf/10.1186/s12910-019-0382-x
15,Bioethical reflexivity and requirements of valid consent: conceptual tools,http://bmcmedethics.biomedcentral.com/track/pdf/10.1186/s12910-019-0385-7
16,Trust and the ethical challenges in the use of whole genome sequencing for tuberculosis surveillance: a qualitative study of stakeholder perspectives,http://bmcmedethics.biomedcentral.com/track/pdf/10.1186/s12910-019-0380-z
17,Ethical challenges of integration across primary and secondary care: a qualitative and normative analysis,http://bmcmedethics.biomedcentral.com/track/pdf/10.1186/s12910-019-0386-6
18,Who should decide about children’s and adolescents’ participation in health research? The views of children and adults in rural Kenya,http://bmcmedethics.biomedcentral.com/track/pdf/10.1186/s12910-019-0375-9
19,Mention of ethical review and informed consent in the reports of research undertaken during the armed conflict in Darfur (2004–2012): a systematic review,http://bmcmedethics.biomedcentral.com/track/pdf/10.1186/s12910-019-0377-7
20,Huge variation in obtaining ethical permission for a non-interventional observational study in Europe,http://bmcmedethics.biomedcentral.com/track/pdf/10.1186/s12910-019-0373-y
21,A survey in Mexico about ethics dumping in clinical research,http://bmcmedethics.biomedcentral.com/track/pdf/10.1186/s12910-019-0378-6
22,"Ethical issues in denial of church wedding based on couple’s hemoglobin genotype in Enugu, south eastern Nigeria",http://bmcmedethics.biomedcentral.com/track/pdf/10.1186/s12910-019-0376-8
23,Attitudes of Iranian students about organ donation: a qualitative study,http://bmcmedethics.biomedcentral.com/track/pdf/10.1186/s12910-019-0372-z
