No.,Title,Link
1,"Stoichioproteomics reveal oxygen usage bias, key proteins and pathways in glioma",http://bmcmedgenomics.biomedcentral.com/track/pdf/10.1186/s12920-019-0571-y
2,"Transcriptome sequencing of lncRNA, miRNA, mRNA and interaction network constructing in coronary heart disease",http://bmcmedgenomics.biomedcentral.com/track/pdf/10.1186/s12920-019-0570-z
3,Criteria for reporting incidental findings in clinical exome sequencing – a focus group study on professional practices and perspectives in Belgian genetic centres,http://bmcmedgenomics.biomedcentral.com/track/pdf/10.1186/s12920-019-0561-0
4,Genome-wide association study identifies new susceptible loci of IgA nephropathy in Koreans,http://bmcmedgenomics.biomedcentral.com/track/pdf/10.1186/s12920-019-0568-6
5,Characterization of disease-specific cellular abundance profiles of chronic inflammatory skin conditions from deconvolution of biopsy samples,http://bmcmedgenomics.biomedcentral.com/track/pdf/10.1186/s12920-019-0567-7
6,"Genome-wide association studies of severe P. falciparum malaria susceptibility: progress, pitfalls and prospects",http://bmcmedgenomics.biomedcentral.com/track/pdf/10.1186/s12920-019-0564-x
7,Correction to: Predicting drug response of tumors from integrated genomic profiles by deep neural networks,http://bmcmedgenomics.biomedcentral.com/track/pdf/10.1186/s12920-019-0569-5
8,Discovery of stroke-related blood biomarkers from gene expression network models,http://bmcmedgenomics.biomedcentral.com/track/pdf/10.1186/s12920-019-0566-8
9,Clustering analysis of microRNA and mRNA expression data from TCGA using maximum edge-weighted matching algorithms,http://bmcmedgenomics.biomedcentral.com/track/pdf/10.1186/s12920-019-0562-z
10,Disruption of chromatin organisation causes MEF2C gene overexpression in intellectual disability: a case report,http://bmcmedgenomics.biomedcentral.com/track/pdf/10.1186/s12920-019-0558-8
11,Identification of single nucleotide variants using position-specific error estimation in deep sequencing data,http://bmcmedgenomics.biomedcentral.com/track/pdf/10.1186/s12920-019-0557-9
12,Correction to: Sequencing and curation strategies for identifying candidate glioblastoma treatments,http://bmcmedgenomics.biomedcentral.com/track/pdf/10.1186/s12920-019-0563-y
13,Analysis of genetic networks regulating refractive eye development in collaborative cross progenitor strain mice reveals new genes and pathways underlying human myopia,http://bmcmedgenomics.biomedcentral.com/track/pdf/10.1186/s12920-019-0560-1
14,Humanized yeast genetic interaction mapping predicts synthetic lethal interactions of FBXW7 in breast cancer,http://bmcmedgenomics.biomedcentral.com/track/pdf/10.1186/s12920-019-0554-z
15,Systematic analysis of the intersection of disease mutations with protein modifications,http://bmcmedgenomics.biomedcentral.com/track/pdf/10.1186/s12920-019-0543-2
16,Integrative analysis of loss-of-function variants in clinical and genomic data reveals novel genes associated with cardiovascular traits,http://bmcmedgenomics.biomedcentral.com/track/pdf/10.1186/s12920-019-0542-3
17,"Elevated neoantigen levels in tumors with somatic mutations in the HLA-A, HLA-B, HLA-C and B2M genes",http://bmcmedgenomics.biomedcentral.com/track/pdf/10.1186/s12920-019-0544-1
18,Modeling breast cancer progression to bone: how driver mutation order and metabolism matter,http://bmcmedgenomics.biomedcentral.com/track/pdf/10.1186/s12920-019-0541-4
19,The clinical benefit of array-based comparative genomic hybridization for detection of copy number variants in Czech children with intellectual disability and developmental delay,http://bmcmedgenomics.biomedcentral.com/track/pdf/10.1186/s12920-019-0559-7
20,Copy number variation profiling in pharmacogenetics CYP-450 and GST genes in Colombian population,http://bmcmedgenomics.biomedcentral.com/track/pdf/10.1186/s12920-019-0556-x
21,Meta-Qtest: meta-analysis of quadratic test for rare variants,http://bmcmedgenomics.biomedcentral.com/track/pdf/10.1186/s12920-019-0516-5
