No.,Title,Link
1,Value of virtual monochromatic spectral image of dual-layer spectral detector CT with noise reduction algorithm for image quality improvement in obese simulated body phantom,http://bmcmedimaging.biomedcentral.com/track/pdf/10.1186/s12880-019-0367-8
2,Perfusion imaging with 320-slice spiral computed tomography and color-coded digital subtraction angiography for assessing acute skeletal muscle ischemia-reperfusion injury in a rabbit model,http://bmcmedimaging.biomedcentral.com/track/pdf/10.1186/s12880-019-0353-1
3,Relation between carotid vulnerable plaques and peripheral leukocyte: a case-control study of comparison utilizing multi-parametric contrast-enhanced ultrasound,http://bmcmedimaging.biomedcentral.com/track/pdf/10.1186/s12880-019-0374-9
4,Automatic glioma segmentation based on adaptive superpixel,http://bmcmedimaging.biomedcentral.com/track/pdf/10.1186/s12880-019-0369-6
5,"Sonographic estimation of gestational age from 20 to 40 weeks by fetal kidney lengths’ measurements among pregnant women in Portharcourt, Nigeria",http://bmcmedimaging.biomedcentral.com/track/pdf/10.1186/s12880-019-0371-z
6,Quantitative margin assessment of radiofrequency ablation of a solitary colorectal hepatic metastasis using MIRADA RTx on CT scans: a feasibility study,http://bmcmedimaging.biomedcentral.com/track/pdf/10.1186/s12880-019-0360-2
7,Diagnostic value of whole-body MRI in Opsoclonus-myoclonus syndrome: a clinical case series (3 case reports),http://bmcmedimaging.biomedcentral.com/track/pdf/10.1186/s12880-019-0372-y
8,Assessment of peripheral muscle thickness and architecture in healthy volunteers using hand-held ultrasound devices; a comparison study with standard ultrasound,http://bmcmedimaging.biomedcentral.com/track/pdf/10.1186/s12880-019-0373-x
9,Non-contrast-enhanced magnetic resonance angiography of facial arteries for pre-operative evaluation of vascularized submental lymph node flaps,http://bmcmedimaging.biomedcentral.com/track/pdf/10.1186/s12880-019-0368-7
10,Radiomic features from MRI distinguish myxomas from myxofibrosarcomas,http://bmcmedimaging.biomedcentral.com/track/pdf/10.1186/s12880-019-0366-9
11,Evaluation of an optimized metal artifact reduction algorithm for flat-detector angiography compared to DSA imaging in follow-up after neurovascular procedures,http://bmcmedimaging.biomedcentral.com/track/pdf/10.1186/s12880-019-0352-2
12,Unenhanced multidetector computed tomography findings in acute central pulmonary embolism,http://bmcmedimaging.biomedcentral.com/track/pdf/10.1186/s12880-019-0364-y
