No.,Title,Link
1,“You have to know why you're doing this”: a mixed methods study of the benefits and burdens of self-tracking in Parkinson's disease,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0896-7
2,Strategies to reduce diagnostic errors: a systematic review,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0901-1
3,Using an analogical reasoning framework to infer language patterns for negative life events,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0895-8
4,"The relationship between user interface problems of an admission, discharge and transfer module and usability features: a usability testing method",http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0893-x
5,Using artificial intelligence to reduce diagnostic workload without compromising detection of urinary tract infections,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0878-9
6,Health timeline: an insight-based study of a timeline visualization of clinical data,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0885-x
7,Applying machine learning to predict future adherence to physical activity programs,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0890-0
8,Delivering person-centered care with an electronic health record,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0897-6
9,Thrombophilia testing in the inpatient setting: impact of an educational intervention,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0889-6
10,Clinical MetaData ontology: a simple classification scheme for data elements of clinical data based on semantics,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0877-x
11,The impact of an online patient decision aid for women with breast cancer considering immediate breast reconstruction: study protocol of a multicenter randomized controlled trial,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0873-1
12,Automated detection of altered mental status in emergency department clinical notes: a deep learning approach,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0894-9
13,What do healthcare professionals need to turn risk models for type 2 diabetes into usable computerized clinical decision support systems? Lessons learned from the MOSAIC project,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0887-8
14,Personalised profiling to identify clinically relevant changes in tremor due to multiple sclerosis,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0881-1
15,Effects of a computerised guideline support tool on child healthcare professionals’ response to suspicions of child abuse and neglect: a community-based intervention trial,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0884-y
16,Experienced time pressure and stress: electronic health records usability and information technology competence play a role,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0891-z
17,The effect of ICU-tailored drug-drug interaction alerts on medication prescribing and monitoring: protocol for a cluster randomized stepped-wedge trial,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0888-7
18,Collective intelligence in medical decision-making: a systematic scoping review,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0882-0
19,Patients’ willingness to share digital health and non-health data for research: a cross-sectional study,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0886-9
20,"Architecture and usability of OntoKeeper, an ontology evaluation tool",http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0859-z
21,Ontology-based venous thromboembolism risk assessment model developing from medical records,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0856-2
22,ALOHA: developing an interactive graph-based visualization for dietary supplement knowledge graph through user-centered design,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0857-1
23,Early temporal characteristics of elderly patient cognitive impairment in electronic health records,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0858-0
24,Selected articles from the Third International Workshop on Semantics-Powered Data Analytics (SEPDA 2018),http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0855-3
25,Comparing drug safety of hepatitis C therapies using post-market data,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0860-6
26,Detection of medical text semantic similarity based on convolutional neural network,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0880-2
27,Smartphone use by government dermatology practitioners in Kuwait: a self-reported questionnaire based cross-sectional study,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0883-z
28,Effectiveness of decision aids for female BRCA1 and BRCA2 mutation carriers: a systematic review,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0872-2
29,Correction to: Two-stage framework for optic disc localization and glaucoma classification in retinal fundus images using deep learning,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0876-y
30,On the interpretability of machine learning-based model for predicting hypertension,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0874-0
31,How to improve eRehabilitation programs in stroke care? A focus group study to identify requirements of end-users,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0871-3
32,Correction to: Primary health information standard system based on semantic interoperability,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0861-5
33,Assessing data availability and quality within an electronic health record system through external validation against an external clinical data source,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0864-2
34,Building a tobacco user registry by extracting multiple smoking behaviors from clinical notes,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0863-3
35,A clustering approach for detecting implausible observation values in electronic health records data,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0852-6
36,Multi-part quality evaluation of a customized mobile application for monitoring elderly patients with functional loss and helping caregivers,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0839-3
37,"Connected diagnostics: linking digital rapid diagnostic tests and mobile health wallets to diagnose and treat brucellosis in Samburu, Kenya",http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0854-4
38,Development and validation of a pragmatic natural language processing approach to identifying falls in older adults in the emergency department,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0843-7
39,Patient decision aids: a content analysis based on a decision tree structure,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0840-x
40,Two-stage framework for optic disc localization and glaucoma classification in retinal fundus images using deep learning,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0842-8
41,Alerts for community pharmacist-provided medication therapy management: recommendations from a heuristic evaluation,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0866-0
42,Harnessing mobile devices to support the delivery of community-based clinical care: a participatory evaluation,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0869-x
43,"Stillbirths: how should its rate be reported, its disability-adjusted-life-years (DALY), and stillbirths adjusted life expectancy",http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0850-8
44,Precursor-induced conditional random fields: connecting separate entities by induction for improved clinical named entity recognition,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0865-1
45,Expenditure variations analysis using residuals for identifying high health care utilizers in a state Medicaid program,http://bmcmedinformdecismak.biomedcentral.com/track/pdf/10.1186/s12911-019-0870-4
