No.,Title,Link
1,Methods of identifying and recruiting older people at risk of social isolation and loneliness: a mixed methods review,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0825-6
2,Insufficient uptake of systematic search methods in oncological clinical practice guideline: a systematic review,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0818-5
3,How to measure the need for transition to adult services among young people with Attention Deficit Hyperactivity Disorder (ADHD): a comparison of surveillance versus case note review methods,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0820-y
4,Hierarchies of evidence applied to lifestyle Medicine (HEALM): introduction of a strength-of-evidence approach based on a methodological systematic review,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0811-z
5,Validation of diagnosis codes to identify side of colon in an electronic health record registry,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0824-7
6,Pragmatic trials and implementation science: grounds for divorce?,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0814-9
7,Dynamic risk prediction for diabetes using biomarker change measurements,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0812-y
8,Chart validation of an algorithm for identifying hereditary progressive muscular dystrophy in healthcare claims,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0816-7
9,Consolidated criteria for strengthening reporting of health research involving indigenous peoples: the CONSIDER statement,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0815-8
10,Indigenous traumatic brain injury research: responding to recruitment challenges in the hospital environment,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0813-x
11,High-performing physicians are more likely to participate in a research study: findings from a quality improvement study,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0809-6
12,Risk of bias judgments for random sequence generation in Cochrane systematic reviews were frequently not in line with Cochrane Handbook,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0804-y
13,How to analyse longitudinal data from multiple sources in qualitative health research: the pen portrait analytic technique,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0810-0
14,Constructing treatment selection rules based on an estimated treatment effect function: different approaches to take stochastic uncertainty into account have a substantial effect on performance,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0805-x
15,Refining scores based on patient reported outcomes – statistical and medical perspectives,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0806-9
16,How unmeasured confounding in a competing risks setting can affect treatment effect estimates in observational studies,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0808-7
17,Using marginal standardisation to estimate relative risk without dichotomising continuous outcomes,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0778-9
18,Methodological steps used by authors of systematic reviews and meta-analyses of clinical trials: a cross-sectional study,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0780-2
19,Using joint models to disentangle intervention effect types and baseline confounding: an application within an intervention study in prodromal Alzheimer’s disease with Fortasyn Connect,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0791-z
20,A plea for taking all available clinical information into account when assessing the predictive value of omics data,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0802-0
21,Imputation strategies when a continuous outcome is to be dichotomized for responder analysis: a simulation study,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0793-x
22,Figure Interpretation Assessment Tool-Health (FIAT-health) 2.0: from a scoring instrument to a critical appraisal tool,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0797-6
23,Patient recruitment strategies for adaptive enrichment designs with time-to-event endpoints,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0800-2
24,Correction to: Methods to adjust for multiple comparisons in the analysis and sample size calculation of randomised controlled trials with multiple primary outcomes,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0807-8
25,An information-motivation-behavioural skills analysis of long-lasting insecticidal net use among pregnant women in a hospital in North-Eastern Nigeria,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0803-z
26,Readiness assessment for pragmatic trials (RAPT): a model to assess the readiness of an intervention for testing in a pragmatic trial,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0794-9
27,Current approaches to identify sections within clinical narratives from electronic health records: a systematic review,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0792-y
28,Quality of maternal obstetric and neonatal care in low-income countries: development of a composite index,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0790-0
29,The association between influenza vaccination and socioeconomic status in high income countries varies by the measure used: a systematic review,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0801-1
30,Explainable statistical learning in public health for policy development: the case of real-world suicide data,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0796-7
31,Can targeted cover letters improve participation in health surveys? Results from a randomized controlled trial,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0799-4
32,Adaptive propensity score procedure improves matching in prospective observational trials,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0763-3
33,“Spatial heterogeneity of environmental risk in randomized prevention trials: consequences and modeling”,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0759-z
34,Assessment of the abstract reporting of systematic reviews of dose-response meta-analysis: a literature survey,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0798-5
35,A community-based intervention to increase participation in cervical cancer screening among immigrants in Norway,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0795-8
36,Development and initial psychometric evaluation of the computer-based prostate Cancer screening decision aid acceptance scale for African-American men,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0776-y
37,Illustration of different modelling assumptions for estimation of loss in expectation of life due to cancer,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0785-x
38,Means of increasing response rates in a Norwegian dietary survey among infants – results from a pseudo-randomized pilot study,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0789-6
39,Sequence symmetry analysis graphic adjustment for prescribing trends,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0781-1
40,Incidence of advanced colorectal cancer in Germany: comparing claims data and cancer registry data,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0784-y
41,Test equating sleep scales: applying the Leunbach’s model,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0768-y
42,Health technology assessment (HTA) of optoelectronic biosensors for oncology by analytic hierarchy process (AHP) and Likert scale,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0775-z
43,Development of a measurement system for complex oral information transfer in medical consultations,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0788-7
44,Effect of prepaid and promised financial incentive on follow-up survey response in cigarette smokers: a randomized controlled trial,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0786-9
45,Methodology and reporting characteristics of studies using interrupted time series design in healthcare,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0777-x
46,Ideal vs. real: a systematic review on handling covariates in randomized controlled trials,http://bmcmedresmethodol.biomedcentral.com/track/pdf/10.1186/s12874-019-0787-8
