No.,Title,Link
1,Gene–environment interactions and vitamin D effects on cardiovascular risk,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1402-x
2,"Vitamin D and cause-specific vascular disease and mortality: a Mendelian randomisation study involving 99,012 Chinese and 106,911 European adults",http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1401-y
3,"The implications of three major new trials for the effect of water, sanitation and hygiene on childhood diarrhea and stunting: a consensus statement",http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1410-x
4,Dissecting genetic factors affecting phenylephrine infusion rates during anesthesia: a genome-wide association study employing EHR data,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1405-7
5,Persistent C-peptide secretion in Type 1 diabetes and its relationship to the genetic architecture of diabetes,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1392-8
6,A novel sub-epidemic modeling framework for short-term forecasting epidemic waves,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1406-6
7,Guidelines for multi-model comparisons of the impact of infectious disease interventions,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1403-9
8,New approaches for detecting cancer with circulating cell-free DNA,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1400-z
9,Clinical and cost-effectiveness of contingency management for cannabis use in early psychosis: the CIRCLE randomised clinical trial,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1395-5
10,"RTS,S/AS01E immunization increases antibody responses to vaccine-unrelated Plasmodium falciparum antigens associated with protection against clinical malaria in African children: a case-control study",http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1378-6
11,Two dose levels of rabbit antithymocyte globulin as graft-versus-host disease prophylaxis in haploidentical stem cell transplantation: a multicenter randomized study,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1393-7
12,Correction to: The uncertainty with using risk prediction models for individual decision making: an exemplar cohort study examining the prediction of cardiovascular disease in English primary care,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1404-8
13,Antibiotic use and the risk of rheumatoid arthritis: a population-based case-control study,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1394-6
14,Informing decision-making for universal access to quality tuberculosis diagnosis in India: an economic-epidemiological model,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1384-8
15,"Understanding the interactions between iron supplementation, infectious disease and adverse birth outcomes is essential to guide public health recommendations",http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1376-8
16,When to keep it simple – adaptive designs are not always useful,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1391-9
17,The haematological consequences of Plasmodium vivax malaria after chloroquine treatment with and without primaquine: a WorldWide Antimalarial Resistance Network systematic review and individual patient data meta-analysis,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1386-6
18,Mortality following myocardial infarction among HIV-infected persons: the Center for AIDS Research Network Of Integrated Clinical Systems (CNICS),http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1385-7
19,Current opportunities to catalyze research in nutrition and cancer prevention – an interdisciplinary perspective,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1383-9
20,The long-term survival characteristics of a cohort of colorectal cancer patients and baseline variables associated with survival outcomes with or without time-varying effects,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1379-5
21,Correction to: Three randomized controlled trials evaluating the impact of “spin” in health news stories reporting studies of pharmacologic treatments on patients’/caregivers’ interpretation of treatment benefit,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1388-4
22,Antenatal iron supplementation and birth weight in conditions of high exposure to infectious diseases,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1375-9
23,"The comorbidity burden of type 2 diabetes mellitus: patterns, clusters and predictions from a large English primary care cohort",http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1373-y
24,Delirium detection in older acute medical inpatients: a multicentre prospective comparative diagnostic test accuracy study of the 4AT and the confusion assessment method,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1367-9
25,Celiac disease: a comprehensive current review,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1380-z
26,Low serum IGF1 is associated with hypertension and predicts early cardiovascular events in women with rheumatoid arthritis,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1374-x
27,"Correction to: How can clinicians, specialty societies and others evaluate and improve the quality of apps for patient use?",http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1381-y
28,Distinct mortality patterns at 0–2 days versus the remaining neonatal period: results from population-based assessment in the Indian state of Bihar,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1372-z
29,Health professions digital education on clinical practice guidelines: a systematic review by Digital Health Education collaboration,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1370-1
30,Beyond the hype of big data and artificial intelligence: building foundations for knowledge and wisdom,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1382-x
31,Building the case for actionable ethics in digital health research supported by artificial intelligence,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1377-7
32,GWAS and enrichment analyses of non-alcoholic fatty liver disease identify new trait-associated genes and pathways across eMERGE Network,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1364-z
33,The uncertainty with using risk prediction models for individual decision making: an exemplar cohort study examining the prediction of cardiovascular disease in English primary care,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1368-8
34,Why we need a small data paradigm,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1366-x
35,Medication management support in diabetes: a systematic assessment of diabetes self-management apps,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1362-1
36,Validations of verbal autopsies – comment on ‘automated versus physician assignment of cause of death for verbal autopsies: randomized trial of 9374 deaths in 117 villages in India’,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1371-0
37,Hospitalisation rates and predictors in people with dementia: a systematic review and meta-analysis,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1369-7
38,"Sex differences in the association between diabetes and risk of cardiovascular disease, cancer, and all-cause and cause-specific mortality: a systematic review and meta-analysis of 5,162,654 participants",http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1355-0
39,Next-generation sequencing identifies monogenic diabetes in 16% of patients with late adolescence/adult-onset diabetes selected on a clinical basis: a cross-sectional analysis,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1363-0
40,The TABLET trial: limitations and implications,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1365-y
41,Landmark models to define the age-adjusted risk of developing stage 1 type 1 diabetes across childhood and adolescence,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1360-3
42,"Observational study: 27 years of severe malaria surveillance in Kilifi, Kenya",http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1359-9
43,The global impact and cost-effectiveness of a melioidosis vaccine,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1358-x
44,Assessing the disease burden of non-alcoholic fatty liver disease in the real world – big data and big numbers,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1357-y
45,Tobacco smoking and risk of 36 cardiovascular disease subtypes: fatal and non-fatal outcomes in a large prospective Australian study,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1351-4
46,"A multi-centre, UK-based, non-inferiority randomised controlled trial of 4 follow-up assessment methods in stroke survivors",http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1350-5
47,Gastroenteritis aggressive versus slow treatment for rehydration (GASTRO): a phase II rehydration trial for severe dehydration: WHO plan C versus slow rehydration,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1356-z
48,DIABRISK-SL trial: further consideration of age and impact of imputations,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1361-2
49,Automated versus physician assignment of cause of death for verbal autopsies: randomized trial of 9374 deaths in 117 villages in India,http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1353-2
50,"Effect of body mass index on pregnancy outcomes in a freeze-all policy: an analysis of 22,043 first autologous frozen-thawed embryo transfer cycles in China",http://bmcmedicine.biomedcentral.com/track/pdf/10.1186/s12916-019-1354-1
