No.,Title,Link
1,Detection of Candidatus Neoehrlichia mikurensis in Norway up to the northern limit of Ixodes ricinus distribution using a novel real time PCR test targeting the groEL gene,http://bmcmicrobiol.biomedcentral.com/track/pdf/10.1186/s12866-019-1502-y
2,Contrasting diversity of vaginal lactobacilli among the females of Northeast India,http://bmcmicrobiol.biomedcentral.com/track/pdf/10.1186/s12866-019-1568-6
3,"Comparative diversity of microbiomes and Resistomes in beef feedlots, downstream environments and urban sewage influent",http://bmcmicrobiol.biomedcentral.com/track/pdf/10.1186/s12866-019-1548-x
4,Toxigenic potential and antimicrobial susceptibility of Bacillus cereus group bacteria isolated from Tunisian foodstuffs,http://bmcmicrobiol.biomedcentral.com/track/pdf/10.1186/s12866-019-1571-y
5,Involvement of multiple influx and efflux transporters in the accumulation of cationic fluorescent dyes by Escherichia coli,http://bmcmicrobiol.biomedcentral.com/track/pdf/10.1186/s12866-019-1561-0
6,Comparative assessment of methicillin resistant Staphylococcus aureus diagnostic assays for use in resource-limited settings,http://bmcmicrobiol.biomedcentral.com/track/pdf/10.1186/s12866-019-1566-8
7,Dietary fat intake and age modulate the composition of the gut microbiota and colonic inflammation in C57BL/6J mice,http://bmcmicrobiol.biomedcentral.com/track/pdf/10.1186/s12866-019-1557-9
8,Effects of water recirculation rate on the microbial community and water quality in relation to the growth and survival of white shrimp (Litopenaeus vannamei),http://bmcmicrobiol.biomedcentral.com/track/pdf/10.1186/s12866-019-1564-x
9,Change of intestinal microbiota in cerebral ischemic stroke patients,http://bmcmicrobiol.biomedcentral.com/track/pdf/10.1186/s12866-019-1552-1
10,Correction to: Mutations in the nucleotide binding and hydrolysis domains of helicobacter pylori MutS2 lead to altered biochemical activities and inactivation of its in vivo function,http://bmcmicrobiol.biomedcentral.com/track/pdf/10.1186/s12866-019-1567-7
11,"The prevalence of the culturable human skin aerobic bacteria in Riyadh, Saudi Arabia",http://bmcmicrobiol.biomedcentral.com/track/pdf/10.1186/s12866-019-1569-5
12,Analysis of nifH DNA and RNA reveals a disproportionate contribution to nitrogenase activities by rare plankton-associated diazotrophs,http://bmcmicrobiol.biomedcentral.com/track/pdf/10.1186/s12866-019-1565-9
13,Laboratory contamination in airway microbiome studies,http://bmcmicrobiol.biomedcentral.com/track/pdf/10.1186/s12866-019-1560-1
14,Development and evaluation of a rapid and sensitive RPA assay for specific detection of Vibrio parahaemolyticus in seafood,http://bmcmicrobiol.biomedcentral.com/track/pdf/10.1186/s12866-019-1562-z
15,"Phenotypic and genetic differences among group B Streptococcus recovered from neonates and pregnant women in Shenzhen, China: 8-year study",http://bmcmicrobiol.biomedcentral.com/track/pdf/10.1186/s12866-019-1551-2
