No.,Title,Link
1,MiR-32-5p influences high glucose-induced cardiac fibroblast proliferation and phenotypic alteration by inhibiting DUSP1,http://bmcmolbiol.biomedcentral.com/track/pdf/10.1186/s12867-019-0135-x
2,Correction to: A protocol for custom CRISPR Cas9 donor vector construction to truncate genes in mammalian cells using pcDNA3 backbone,http://bmcmolbiol.biomedcentral.com/track/pdf/10.1186/s12867-019-0138-7
3,Comparison of miRNA-101a-3p and miRNA-144a-3p regulation with the key genes of alpaca melanocyte pigmentation,http://bmcmolbiol.biomedcentral.com/track/pdf/10.1186/s12867-019-0137-8
4,Correction to: MicroRNA-325-3p protects the heart after myocardial infarction by inhibiting RIPK3 and programmed necrosis in mice,http://bmcmolbiol.biomedcentral.com/track/pdf/10.1186/s12867-019-0136-9
5,MicroRNA-325-3p protects the heart after myocardial infarction by inhibiting RIPK3 and programmed necrosis in mice,http://bmcmolbiol.biomedcentral.com/track/pdf/10.1186/s12867-019-0133-z
6,Giant group I intron in a mitochondrial genome is removed by RNA back-splicing,http://bmcmolbiol.biomedcentral.com/track/pdf/10.1186/s12867-019-0134-y
7,Exploration of carbohydrate binding behavior and anti-proliferative activities of Arisaema tortuosum lectin,http://bmcmolbiol.biomedcentral.com/track/pdf/10.1186/s12867-019-0132-0
8,Characterization of cadmium-responsive MicroRNAs and their target genes in maize (Zea mays) roots,http://bmcmolbiol.biomedcentral.com/track/pdf/10.1186/s12867-019-0131-1
9,Identification and validation of reference genes for real-time quantitative RT-PCR analysis in jute,http://bmcmolbiol.biomedcentral.com/track/pdf/10.1186/s12867-019-0130-2
10,Small nucleolar RNA Sf-15 regulates proliferation and apoptosis of Spodoptera frugiperda Sf9 cells,http://bmcmolbiol.biomedcentral.com/track/pdf/10.1186/s12867-019-0128-9
11,Key genes differential expressions and pathway involved in salt and water-deprivation stresses for renal cortex in camel,http://bmcmolbiol.biomedcentral.com/track/pdf/10.1186/s12867-019-0129-8
12,Development of a novel selection/counter-selection system for chromosomal gene integrations and deletions in lactic acid bacteria,http://bmcmolbiol.biomedcentral.com/track/pdf/10.1186/s12867-019-0127-x
