No.,Title,Link
1,Comparison of polymerization and structural behavior of microtubules in rat brain and sperm affected by the extremely low-frequency electromagnetic field,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0224-1
2,Human embryonic stem cells display a pronounced sensitivity to the cyclin dependent kinase inhibitor Roscovitine,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0222-3
3,NFE2/miR-423-5p/TFF1 axis regulates high glucose-induced apoptosis in retinal pigment epithelial cells,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0223-2
4,The Flot2 component of the lipid raft changes localization during neural differentiation of P19C6 cells,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0225-0
5,Improved homology modeling of the human & rat EP4 prostanoid receptors,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0212-5
6,Localization-specific distributions of protein pI in human proteome are governed by local pH and membrane charge,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0221-4
7,In silico prediction of structural changes in human papillomavirus type 16 (HPV16) E6 oncoprotein and its variants,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0217-0
8,In silico evidence of de novo interactions between ribosomal and Epstein - Barr virus proteins,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0219-y
9,Temporal integration of mitochondrial stress signals by the PINK1:Parkin pathway,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0220-5
10,"Isolation of fresh endothelial cells from porcine heart for cardiovascular studies: a new fast protocol suitable for genomic, transcriptomic and cell biology studies",http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0215-2
11,Characterization and engineering of a DNA polymerase reveals a single amino-acid substitution in the fingers subdomain to increase strand-displacement activity of A-family prokaryotic DNA polymerases,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0216-1
12,Identification of potential binding pocket on viral oncoprotein HPV16 E6: a promising anti-cancer target for small molecule drug discovery,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0214-3
13,CD40/anti-CD40 antibody complexes which illustrate agonist and antagonist structural switches,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0213-4
14,Metabolic profiles to predict long-term cancer and mortality: the use of latent class analysis,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0210-7
15,Protective effect of silencing Stat1 on high glucose-induced podocytes injury via Forkhead transcription factor O1-regulated the oxidative stress response,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0209-0
16,DNA supercoiling and transcription in bacteria: a two-way street,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0211-6
17,Cited2 regulates proliferation and survival in young and old mouse cardiac stem cells,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0207-2
18,Publisher Correction: The role of Patronin in Drosophila mitosis,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0196-1
19,The binding affinity of PTPN13’s tandem PDZ2/3 domain is allosterically modulated,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0203-6
20,"Alternative splicing of the Wnt trafficking protein, Wntless and its effects on protein-protein interactions",http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0208-1
21,Ridge regression estimated linear probability model predictions of O-glycosylation in proteins with structural and sequence data,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0200-9
22,Single cell RNA-Seq reveals pre-cDCs fate determined by transcription factor combinatorial dose,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0199-y
23,Role of tbc1 in Drosophila embryonic salivary glands,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0198-z
24,ECOD: identification of distant homology among multidomain and transmembrane domain proteins,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0204-5
25,New STAT3-FOXL2 pathway and its function in cancer cells,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0206-3
26,An Electron paramagnetic resonance (EPR) spin labeling study in HT-29 Colon adenocarcinoma cells after Hypericin-mediated photodynamic therapy,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0205-4
27,SAA1 increases NOX4/ROS production to promote LPS-induced inflammation in vascular smooth muscle cells through activating p38MAPK/NF-κB pathway,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0197-0
28,ERK1/2 communicates GPCR and EGFR signaling pathways to promote CTGF-mediated hypertrophic cardiomyopathy upon Ang-II stimulation,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0202-7
29,Effect of dose and dose rate on temporal γ-H2AX kinetics in mouse blood and spleen mononuclear cells in vivo following Cesium-137 administration,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0195-2
30,MicroRNA suppression of stress-responsive NDRG2 during dexamethasone treatment in skeletal muscle cells,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0194-3
31,Lamin A/C and Emerin depletion impacts chromatin organization and dynamics in the interphase nucleus,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0192-5
32,High resolution crystal structure of the FAK FERM domain reveals new insights on the Druggability of tyrosine 397 and the Src SH3 binding site,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0193-4
33,Downregulation of lncRNA CCAT1 enhances 5-fluorouracil sensitivity in human colon cancer cells,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0188-1
34,The role of Patronin in Drosophila mitosis,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0189-0
35,Dlx5 and Dlx6 can antagonize cell division at the G1/S checkpoint,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0191-6
36,Compression and tension variably alter Osteoprotegerin expression via miR-3198 in periodontal ligament cells,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0187-2
37,Short telomeres correlate with a strong induction of cellular senescence in human dental follicle cells,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0185-4
38,Highly efficient correction of structural mutations of 450 kb KIT locus in kidney cells of Yorkshire pig by CRISPR/Cas9,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0184-5
39,Genes involved in mitochondrial biogenesis and function may not show synchronised responses to mitochondria in shell gland of laying chickens under infectious bronchitis virus challenge,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0190-7
40,Generation and maintenance of acentric stable double minutes from chromosome arms in inter-species hybrid cells,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-019-0186-3
41,Fission yeast type 2 node proteins Blt1p and Gef2p cooperate to ensure timely completion of cytokinesis,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-018-0182-z
42,Mitotic activity patterns and cytoskeletal changes throughout the progression of diapause developmental program in Daphnia,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-018-0181-0
43,"Shikonin sensitizes A549 cells to TRAIL-induced apoptosis through the JNK, STAT3 and AKT pathways",http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-018-0179-7
44,Post-treatment de-phosphorylation of p53 correlates with dasatinib responsiveness in malignant melanoma,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-018-0180-1
45,Comparative evaluation of mesenchymal stromal cells from umbilical cord and amniotic membrane in xeno-free conditions,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-018-0178-8
46,The STRIPAK complex components FAM40A and FAM40B regulate endothelial cell contractility via ROCKs,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-018-0175-y
47,Kif17 phosphorylation regulates photoreceptor outer segment turnover,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-018-0177-9
48,PIAS1 protects against myocardial ischemia-reperfusion injury by stimulating PPARγ SUMOylation,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-018-0176-x
49,Inflammation caused by peripheral immune cells across into injured mouse blood brain barrier can worsen postoperative cognitive dysfunction induced by isoflurane,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-018-0172-1
50,Acetylation of C-terminal lysines modulates protein turnover and stability of Connexin-32,http://bmcmolcellbiol.biomedcentral.com/track/pdf/10.1186/s12860-018-0173-0
