No.,Title,Link
1,"Effect of medications on prevention of secondary osteoporotic vertebral compression fracture, non-vertebral fracture, and discontinuation due to adverse events: a meta-analysis of randomized controlled trials",http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2769-8
2,Development and evaluation of a tailored e-self-management intervention (dr. Bart app) for knee and/or hip osteoarthritis: study protocol,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2768-9
3,Open versus minimally invasive percutaneous surgery for surgical treatment of thoracolumbar spine fractures- a multicenter randomized controlled trial: study protocol,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2763-1
4,Silicate-substituted strontium apatite nano coating improves osteogenesis around artificial ligament,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2777-8
5,Functional movement analysis in patients with chronic nonspecific low back pain: a reliability and validity study,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2779-6
6,What is the quality of clinical practice guidelines for the treatment of acute lateral ankle ligament sprains in adults? A systematic review,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2750-6
7,Correlational analysis between neutrophil granulocyte levels and osteonecrosis of the femoral head,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2778-7
8,A complicated path to the CRMO diagnosis – case of a 9 year old girl whose story comes full circle,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2776-9
9,Risk factor analysis for delayed union after subtrochanteric femur fracture: quality of reduction and valgization are the key to success,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2775-x
10,Efficacy and safety of tranexamic acid usage in patients undergoing posterior lumbar fusion: a meta-analysis,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2762-2
11,"Perceptions of using lithium in fracture management: a survey of orthopaedic surgeons, fracture patients and the general public",http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2772-0
12,Primary outcome measures used in interventional trials for ankle fractures: a systematic review,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2770-2
13,Hand therapy or not following collagenase treatment for Dupuytren’s contracture? Protocol for a randomised controlled trial,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2712-z
14,Technical variation of trans-articular sacroiliac joint (SIJ) fusion using three screws considering the effects of sacral dysplasia in patients with non-traumatic SIJ pain,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2771-1
15,"The risk of revision after total hip arthroplasty in young patients depends on surgical approach, femoral head size and bearing type; an analysis of 19,682 operations in the Dutch arthroplasty register",http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2765-z
16,3D spinal and rib cage predictors of brace effectiveness in adolescent idiopathic scoliosis,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2754-2
17,Magnetic resonance imaging reproducibility for rotator cuff partial tears in patients up to 60 years,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2760-4
18,Comparison of the French and CARDS classifications for lumbar degenerative spondylolisthesis: reliability and validity,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2753-3
19,Narrow locking compression plate vs long philos plate for minimally invasive plate osteosynthesis of spiral humerus shaft fractures,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2757-z
20,The methods for inserting lumbar bicortical pedicle screws from the anatomical perspective of the prevertebral great vessels,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2756-0
21,Relationship between X-ray findings of lumbar spondylosis and knee pain,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2755-1
22,Corticosteroid injection for plantar heel pain: a systematic review and meta-analysis,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2749-z
23,Isolated and early-onset cerebral fat embolism syndrome in a multiply injured patient: a rare case,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2736-4
24,"Impact of obesity, structural severity and their combination on the efficacy of viscosupplementation in patients with knee osteoarthritis",http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2748-0
25,Predictors for outcome in acute lateral epicondylitis,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2758-y
26,"Patient-reported outcome measures (PROMs) after elective hip, knee and shoulder arthroplasty: protocol for a prospective cohort study",http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2745-3
27,Determining known-group validity and test-retest reliability in the PEQ (personalized exercise questionnaire),http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2761-3
28,Mechanical failure of articulating polymethylmethacrylate (PMMA) spacers in two-stage revision hip arthroplasty: the risk factors and the impact on interim function,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2759-x
29,Low bone density and high morbidity in patients between 55 and 70 years with displaced femoral neck fractures: a case-control study of 50 patients vs 150 normal controls,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2732-8
30,Differential response to vibration of three forms of scoliosis during axial cyclic loading: a finite element study,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2728-4
31,Reducing the extent of facetectomy may decrease morbidity in failed back surgery syndrome,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2751-5
32,Isolated palmar dislocation of distal radioulnar joint: a new mechanism of injury: a case report,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2734-6
33,Novel “double-strut” fibula ankle arthrodesis for large tumor-related bone defect of distal tibia,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2742-6
34,The migration percentage measured on EOS® standing full-leg radiographs: equivalent and advantageous in ambulant children with cerebral palsy,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2746-2
35,Younger age is associated with greater pain expression among patients with knee or hip osteoarthritis scheduled for a joint arthroplasty,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2740-8
36,Metabolic profiling of serum and tissue from the rotator interval and anterior capsule in shoulder stiffness: a preliminary study,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2709-7
37,"Long-term radiographic and clinical-functional outcomes of isolated, displaced, closed talar neck and body fractures treated by ORIF: the timing of surgical management",http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2738-2
38,Concomitant Fahr’s syndrome and thoracic ossification of the posterior longitudinal ligament caused by idiopathic hypoparathyroidism – case report,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2747-1
39,Analysis of the effect of tibial torsion on tibial osteotomy in knee arthroplasty using a three-dimensional computed tomography-based modelling technique,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2744-4
40,Validity and reliability of serratus anterior hand held dynamometry,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2741-7
41,Imaging features in incident radiographic patellofemoral osteoarthritis: the Beijing Shunyi osteoarthritis (BJS) study,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2730-x
42,The trend of radiological severity of hip fractures over a 30 years period: a cohort study,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2739-1
43,Comparison of SCAphoid fracture osteosynthesis by MAGnesium-based headless Herbert screws with titanium Herbert screws: protocol for the randomized controlled SCAMAG clinical trial,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2723-9
44,Fibrous hamartoma of infancy: radiologic features and literature review,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2743-5
45,Effects of femoral bone defect morphology on initial polished tapered stem stability in massive defect model: a biomechanical study,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2716-8
46,Arthroscopic reduction of an irreducible distal radioulnar joint in Galeazzi fracture-dislocation due to a fragment of the ulnar styloid: a case report,http://bmcmusculoskeletdisord.biomedcentral.com/track/pdf/10.1186/s12891-019-2735-5
