No.,Title,Link
1,"The incidence, prevalence and trends of Chronic Kidney Disease and Chronic Kidney Disease of uncertain aetiology (CKDu) in the North Central Province of Sri Lanka: an analysis of 30,566 patients",http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1501-0
2,PKD1-associated autosomal dominant polycystic kidney disease with glomerular cysts presenting with nephrotic syndrome caused by focal segmental glomerulosclerosis,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1524-6
3,Intrarenal microRNA signature related to the fibrosis process in chronic kidney disease: identification and functional validation of key miRNAs,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1512-x
4,A case report of immunoglobulin M nephropathy manifesting as crescentic glomerulonephritis and nephrotic syndrome in an adult,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1528-2
5,"Clinico-pathological considerations in a 48-years-old female with acute kidney injury: is it lupus nephritis, ANCA-associated vasculitis or something else?",http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1531-7
6,Efficacy and safety of immunosuppressive treatment in IgA nephropathy: a meta-analysis of randomized controlled trials,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1519-3
7,Expression of THSD7A in neoplasm tissues and its relationship with proteinuria,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1489-5
8,"An evaluation of phase angle, bioelectrical impedance vector analysis and impedance ratio for the assessment of disease status in children with nephrotic syndrome",http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1511-y
9,Isolated proteinuria due to CUBN homozygous mutation – challenging the investigative paradigm,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1474-z
10,BMI and its association with death and the initiation of renal replacement therapy (RRT) in a cohort of patients with chronic kidney disease (CKD),http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1513-9
11,"Focal segmental glomerulosclerosis, excluding atypical lesion, is a predictor of renal outcome in patients with membranous nephropathy: a retrospective analysis of 716 cases",http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1498-4
12,Intravenous iron supplementation does not increase infectious disease risk in hemodialysis patients: a nationwide cohort-based case-crossover study,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1495-7
13,Case report: a peculiar glomerulopathy in a patient suffering from nephrotic syndrome,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1478-8
14,Use of estimated glomerular filtration rate to predict incident chronic kidney disease in patients at risk of cardiovascular disease: a retrospective study,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1494-8
15,Cardiac function assessed by myocardial deformation in adult polycystic kidney disease patients,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1500-1
16,Identifying risk groups of infectious spondylitis in patients with end-stage renal disease under hemodialysis: a propensity score-matched case-control study,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1504-x
17,A novel single amino acid deletion impairs fibronectin function and causes familial glomerulopathy with fibronectin deposits: case report of a family,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1507-7
18,Association of plasma macrophage colony-stimulating factor with cardiovascular morbidity and all-cause mortality in chronic hemodialysis patients,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1510-z
19,Differential methylation as a diagnostic biomarker of rare renal diseases: a systematic review,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1517-5
20,Uric acid regulates NLRP3/IL-1β signaling pathway and further induces vascular endothelial cells injury in early CKD through ROS activation and K+ efflux,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1506-8
21,Analysis of survival after initiation of continuous renal replacement therapy in patients with extracorporeal membrane oxygenation,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1516-6
22,Physical performance in patients treated with nocturnal hemodialysis - a systematic review of the evidence,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1518-4
23,Relationship between protein-energy wasting in adults with chronic hemodialysis and the response to treatment with erythropoietin,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1457-0
24,Acute kidney injury in hospitalized patients who underwent percutaneous kidney biopsy for histological diagnosis of their renal disease,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1514-8
25,Effects of immunotherapy induction on outcome and graft survival of kidney-transplanted patients with different immunological risk of rejection,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1497-5
26,Complement activation products in the circulation and urine of primary membranous nephropathy,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1509-5
27,Correction to: CO2 and O2 removal during continuous veno-venous hemofiltration: a pilot study,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1480-1
28,Admission serum sodium and potassium levels predict survival among critically ill patients with acute kidney injury: a cohort study,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1505-9
29,Hereditary renal amyloidosis with a variant lysozyme p.Trp82Arg in a Chinese family: case report and literature review,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1496-6
30,Effect of antiplatelet therapy on cardiovascular and kidney outcomes in patients with chronic kidney disease: a systematic review and meta-analysis,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1499-3
31,Racial disparities in end-stage renal disease in a high-risk population: the Southern Community Cohort Study,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1502-z
32,Reduced membrane attack complex formation in umbilical cord blood during Eculizumab treatment of the mother: a case report,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1469-9
33,"Spot urine protein/creatinine ratio as a reliable estimate of 24-hour proteinuria in patients with immunoglobulin A nephropathy, but not membranous nephropathy",http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1486-8
34,A case report of successfully treated nephrotic syndrome after renal angioplasty,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1503-y
35,Association of Constipation with risk of end-stage renal disease in patients with chronic kidney disease,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1481-0
36,Urinary podocyte microparticles are associated with disease activity and renal injury in systemic lupus erythematosus,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1482-z
37,Association of serum chromium levels with malnutrition in hemodialysis patients,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1476-x
38,The difference of T cell phenotypes in end stage renal disease patients under different dialysis modality,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1475-y
39,Investigation of the variants at the binding site of inflammatory transcription factor NF-κB in patients with end-stage renal disease,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1471-2
40,The vascular access questionnaire: a single centre UK experience,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1493-9
41,Normality data of eGFR and validity of commonly used screening tests for CKD in an area with endemic CKD of unknown etiology; need for age and sex based precise cutoff values,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1477-9
42,Comparison of the effects of hydroxychloroquine and corticosteroid treatment on proteinuria in IgA nephropathy: a case-control study,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1488-6
43,A case report of recurrent membranoproliferative glomerulonephritis after kidney transplantation due to ventriculoatrial shunt infection,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1472-1
44,Usefulness of mid-week hemoglobin measurement for anemia management in patients undergoing hemodialysis: a retrospective cohort study,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1492-x
45,Effect of hemodialysis on extracellular vesicles and circulating submicron particles,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1459-y
46,"Study protocol: multicenter double-blind, randomized, placebo-controlled trial of rituximab for the treatment of childhood-onset early-stage uncomplicated frequently relapsing or steroid-dependent nephrotic syndrome (JSKDC10 trial)",http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1470-3
47,Role of sodium/glucose cotransporter inhibition on a rat model of angiotensin II–dependent kidney damage,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1490-z
48,Comparison of urine and blood NGAL for early prediction of delayed graft function in adult kidney transplant recipients: a meta-analysis of observational studies,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1491-y
49,Changes in microparticle profiles by vitamin D receptor activation in chronic kidney disease – a randomized trial,http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1445-4
50,"Bacterial urinary tract infection among adult renal transplant recipients at St. Paul’s hospital millennium medical college, Addis Ababa, Ethiopia",http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1485-9
51,"The incidence, prevalence and trends of Chronic Kidney Disease and Chronic Kidney Disease of uncertain aetiology (CKDu) in the North Central Province of Sri Lanka: an analysis of 30,566 patients",http://bmcnephrol.biomedcentral.com/track/pdf/10.1186/s12882-019-1501-0
