No.,Title,Link
1,Anti-NMDAR encephalitis with simultaneous hypertrophic pachymeningitis in a 68-year-old male: a rare case report,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1444-x
2,Posterior reversible encephalopathy syndrome with lumbar drainage and surgery: coincidence or correlation? A case report,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1438-8
3,"Burden, clinical outcomes and predictors of time to in hospital mortality among adult patients admitted to stroke unit of Jimma university medical center: a prospective cohort study",http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1439-7
4,Bismuth encephalopathy- a rare complication of long-standing use of bismuth subsalicylate,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1437-9
5,THK5351 and flortaucipir PET with pathological correlation in a Creutzfeldt-Jakob disease patient: a case report,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1434-z
6,Brain astrocytoma misdiagnosed as anti-NMDAR encephalitis: a case report,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1436-x
7,Adaptation and validation of a Spanish version of the treatment burden questionnaire in patients with multiple sclerosis,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1441-0
8,Patterns of pontine strokes mimicking Bell’s palsy,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1440-1
9,A systematic review of cytokines in chronic fatigue syndrome/myalgic encephalomyelitis/systemic exertion intolerance disease (CFS/ME/SEID),http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1433-0
10,Remote ischemic conditioning improves cognition in patients with subcortical ischemic vascular dementia,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1435-y
11,Prevalence of sleep disorders in Parkinson’s disease patients in two neurology referral hospitals in Ethiopia,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1431-2
12,Intentions of Canadian health professionals towards recommending exercise for people living with ALS,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1426-z
13,Adult-onset vanishing white matter disease with the EIF2B2 gene mutation presenting as menometrorrhagia,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1429-9
14,"Intravenous thrombolytic therapy for acute ischemic stroke in Hubei, China: a survey of thrombolysis rate and barriers",http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1418-z
15,Four collateral circulation pathways were observed after common carotid artery occlusion,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1425-0
16,Primary central nervous system small lymphocytic lymphoma in the bilateral ventricles: two case reports,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1430-3
17,"Correction to: ParkProTrain: an individualized, tablet-based physiotherapy training programme aimed at improving quality of life and participation restrictions in PD patients–a study protocol for a quasi-randomized, longitudinal and sequential multi-method study",http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1423-2
18,A mutation in the filamin c gene causes myofibrillar myopathy with lower motor neuron syndrome: a case report,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1410-7
19,Intracranial mechanical thrombectomy of large vessel occlusions in the posterior circulation using SAVE,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1428-x
20,Effect of aerobic exercise prior to modified constraint-induced movement therapy outcomes in individuals with chronic hemiparesis: a study protocol for a randomized clinical trial,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1421-4
21,The prevalence of obstructive sleep apnea in mild cognitive impairment: a systematic review,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1422-3
22,Gender-dependent effect of coffee consumption on tremor severity in de novo Parkinson’s disease,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1427-y
23,Fear and disgust: case report of two uncommon emotional disturbances evoked by visual disperceptions after a right temporal-insular stroke,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1417-0
24,"Spectrum of neurological disorders in neurology outpatients clinics in urban and rural Sindh, Pakistan: a cross sectional study",http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1424-1
25,Effect of a rescue or recurrence dose of lasmiditan on efficacy and safety in the acute treatment of migraine: findings from the phase 3 trials (SAMURAI and SPARTAN),http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1420-5
26,Extensive immune reconstitution inflammatory syndrome in Fingolimod-associated PML: a case report with 7 Tesla MRI data,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1407-2
27,Acute presentations of intradural lipomas: case reports and a review of the literature,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1413-4
28,A pathogenic PSEN1 Trp165Cys mutation associated with early-onset Alzheimer’s disease,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1419-y
29,"Risk factors, clinical presentations and predictors of stroke among adult patients admitted to stroke unit of Jimma university medical center, south west Ethiopia: prospective observational study",http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1409-0
30,Topographic location of unisolated pontine infarction,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1411-6
31,Increased serum IL-36β and IL-36γ levels in patients with neuromyelitis optica spectrum disorders: association with disease activity,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1415-2
32,Pembrolizumab-related systemic myositis involving ocular and hindneck muscles resembling myasthenic gravis: a case report,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1416-1
33,"Risk factors, clinical presentations and predictors of stroke among adult patients admitted to stroke unit of Jimma university medical center, south west Ethiopia: prospective observational study",http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1412-5
34,Sudden onset of sleep caused by hypothalamic infarction: a case report,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1414-3
35,In vitro examination of the thrombolytic efficacy of tenecteplase and therapeutic ultrasound compared to rt-PA,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1404-5
36,Risk factors outperform intracranial large artery stenosis predicting unfavorable outcomes in patients with stroke,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1408-1
37,"COGTIPS: a double-blind randomized active controlled trial protocol to study the effect of home-based, online cognitive training on cognition and brain networks in Parkinson’s disease",http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1403-6
38,Assessment of carotid artery ultrasonography in the presence of an acoustic shadow artifact,http://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-019-1405-4
