No.,Title,Link
1,TNF-α antagonist attenuates systemic lipopolysaccharide-induced brain white matter injury in neonatal rats,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0529-1
2,"Behavior, protein, and dendritic changes after model traumatic brain injury and treatment with nanocoffee particles",http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0525-5
3,Brain arousal regulation and depressive symptomatology in adults with attention-deficit/hyperactivity disorder (ADHD),http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0526-4
4,Comparative study of striatum GABA concentrations and magnetic resonance spectroscopic imaging in Parkinson's disease monkeys,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0522-8
5,Isoliquiritigenin attenuates lipopolysaccharide-induced cognitive impairment through antioxidant and anti-inflammatory activity,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0520-x
6,A safety study of 500 μA cathodal transcranial direct current stimulation in rat,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0523-7
7,Morphologic changes in the visual cortex of patients with anisometropic amblyopia: a surface-based morphometry study,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0524-6
8,Exploration of time–frequency reassignment and homologous inter-hemispheric asymmetry analysis of MCI–AD brain activity,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0519-3
9,Cardiovascular risk and encoding-related hippocampal connectivity in older adults,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0518-4
10,Post-surgical inhibition of phosphatidylinositol 3-kinase attenuates the plantar incision-induced postoperative pain behavior via spinal Akt activation in male mice,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0521-9
11,Short-term dynamics of input and output of CA1 network greatly differ between the dorsal and ventral rat hippocampus,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0517-5
12,Impact of inflammation on brain subcellular energetics in anesthetized rats,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0514-8
13,Chronic exposure to high fat diet triggers myelin disruption and interleukin-33 upregulation in hypothalamus,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0516-6
14,An enhanced staining method K-B-2R staining for three-dimensional nerve reconstruction,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0515-7
15,Gastrodin protects dopaminergic neurons via insulin-like pathway in a Parkinson’s disease model,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0512-x
16,Abnormal resting-state cerebral-limbic functional connectivity in bipolar depression and unipolar depression,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0508-6
17,Evaluation of IL-1β levels in epilepsy and traumatic brain injury in dogs,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0509-5
18,The involvement of spinal annexin A10/NF-κB/MMP-9 pathway in the development of neuropathic pain in rats,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0513-9
19,Live calcium imaging of Aedes aegypti neuronal tissues reveals differential importance of chemosensory systems for life-history-specific foraging strategies,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0511-y
20,Neuro-genetic plasticity of Caenorhabditis elegans behavioral thermal tolerance,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0510-z
21,Iron concentrations in neurons and glial cells with estimates on ferritin concentrations,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0507-7
22,"Effects of MUL1 and PARKIN on the circadian clock, brain and behaviour in Drosophila Parkinson’s disease models",http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0506-8
23,Iron deposition in Parkinson’s disease by quantitative susceptibility mapping,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0505-9
24,In vitro characterization of odorranalectin for peptide-based drug delivery across the blood–brain barrier,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0504-x
25,Notch signalling defines dorsal root ganglia neuroglial fate choice during early neural crest cell migration,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0501-0
26,Electric stimulation of the medial forebrain bundle influences sensorimotor gaiting in humans,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0503-y
27,"Effect of photobiomodulation therapy on neuronal injuries by ouabain: the regulation of Na, K-ATPase; Src; and mitogen-activated protein kinase signaling pathway",http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0499-3
28,Subclinical lipopolysaccharide from Salmonella Enteritidis induces neuropeptide dysregulation in the spinal cord and the dorsal root ganglia,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0502-z
29,Involvement of brain-derived neurotrophic factor (BDNF) in chronic intermittent stress-induced enhanced mechanical allodynia in a rat model of burn pain,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0500-1
30,Affective and cognitive behavior is not altered by chronic constriction injury in B7-H1 deficient and wildtype mice,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0498-4
31,Assessing the protective effect of rosiglitazone against electronic cigarette/tobacco smoke-induced blood–brain barrier impairment,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0497-5
32,Additive effect of 5-HT2C and CB1 receptor blockade on the regulation of sleep–wake cycle,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0495-7
33,Amyloid-β plaque formation and reactive gliosis are required for induction of cognitive deficits in App knock-in mouse models of Alzheimer’s disease,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0496-6
34,Non-invasive measurement of hemodynamic change during 8 MHz transcranial focused ultrasound stimulation using near-infrared spectroscopy,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0493-9
35,Pretreatment with a CRF antagonist amplifies feeding inhibition induced by fourth ventricular cocaine- and amphetamine-regulated transcript peptide,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0494-8
36,Effect of lesion proximity on the regenerative response of long descending propriospinal neurons after spinal transection injury,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0491-y
37,The short-term recovery of corticomotor responses in elbow flexors,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0492-x
38,Enhanced setup for wired continuous long-term EEG monitoring in juvenile and adult rats: application for epilepsy and other disorders,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0490-z
39,Exercise challenge alters Default Mode Network dynamics in Gulf War Illness,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0488-6
40,Astrocytes infected with Chlamydia pneumoniae demonstrate altered expression and activity of secretases involved in the generation of β-amyloid found in Alzheimer disease,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0489-5
41,Time dependent degeneration of the nigrostriatal tract in mice with 6-OHDA lesioned medial forebrain bundle and the effect of activin A on l-Dopa induced dyskinesia,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0487-7
42,Correction to: Computing reward prediction errors and learning valence in the insect mushroom body,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-019-0486-8
43,Inhibitory effect of ultrasonic stimulation on the voltage-dependent potassium currents in rat hippocampal CA1 neurons,http://bmcneurosci.biomedcentral.com/track/pdf/10.1186/s12868-018-0485-1
